author_name	painting_name	image_url	Genre	Style	Nationality	Painting School	Art Movement	Field	Date	Media	Tag	Period	Theme	Path	ColorTagsHex	ColorTagsPct	ColorBinIds
Orazio de Ferrari	The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ	http://lh3.ggpht.com/uFIb8YFe1pfD9LoHhafswO5Z4ircQPMZMIXN-2Aujdp_5g4EPk27GVBckCY					Baroque	Painting		Oil on canvas	Religion			Artists1/Baroque/The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ.jpg	#2a2523,#805040,#2a2823,#2a1a15,#803116	0.5122,0.1104,0.0868,0.0719,0.0401	0,4,9,3,7
Massimo Stanzione	Saint Agnes##NgHsb5Lb_ijcPw	http://lh4.ggpht.com/EuT2DEnTseOfXezMgaXxLTF7gOW5wuM3WHrpKXhdjZnzyJdGLWmmIUXhN9N2					Baroque	Painting		Oil on canvas	Religion			Artists1/Baroque/Saint Agnes##NgHsb5Lb_ijcPw.jpg	#2a2823,#23282a,#807040,#282a23,#232a28,#2a1a15,#15252a	0.1904,0.1690,0.1121,0.0962,0.0663,0.0513,0.0429	9,54,13,18,45,3,57
Attributed to Alonso Cano	Saint Anthony The Abbot##twHE7bQ7xClN8g	http://lh5.ggpht.com/7k-HuiChGxlybvjZsP0HmycNN-zP-Cy3MXXmT6Ur7hbcm12LPTijTRG1Hd88					Baroque	Drawing		Pen and ink, ink wash and black stone on paper	Religion			Artists1/Baroque/Saint Anthony The Abbot##twHE7bQ7xClN8g.jpg	#d4bab1,#d4cbb1,#80706b,#805040,#d4856a	0.4371,0.2092,0.1391,0.1323,0.0654	2,11,1,4,5
Matthias Stom	Holy Family##-gH4wlD18c6rmA	http://lh3.ggpht.com/hCPmcWRCbAlW5YDoWnJzdmljUCIZDHC0dbEpfzgjLFbOlN23LCDZVVH4Crws					Baroque	Painting		Oil on canvas	Religion			Artists1/Baroque/Holy Family##-gH4wlD18c6rmA.jpg	#232a28,#282a23,#252a23,#806616,#2a1a15,#232a25,#2a2823,#d4a824,#803116	0.2402,0.1292,0.1198,0.0741,0.0686,0.0663,0.0601,0.0544,0.0438	45,18,27,16,3,36,9,17,7
Cecco Bravo	Temptation Of Eve##ogHLKJENt6pZIg	http://lh3.ggpht.com/YFDzBPhBQMBJIIXwiCrynps80zmH_Nilr2-34vnmVJkSMmqO3XxHsrdX8nR15g					Baroque	Painting		Oil on canvas	Religion			Artists1/Baroque/Temptation Of Eve##ogHLKJENt6pZIg.jpg	#23282a,#232a28,#807040,#282a23,#2a2823	0.3517,0.2300,0.1234,0.0648,0.0621	54,45,13,18,9
Govaert Flinck [?]	Head Of A Black Man##IAGL6LSXpH394w	http://lh5.ggpht.com/Jt7JnZ5YpYix1Tc1oGmL8BFmuZMU9hx31ztbSEDlDk6IoZTTpewD5KWBl4EweA					Baroque	Painting		Oil on wood	Portrait			Artists1/Baroque/Head Of A Black Man##IAGL6LSXpH394w.jpg	#807040,#2a1a15,#2a1007,#2a2515,#806616,#805040	0.4671,0.1670,0.1248,0.1150,0.0514,0.0408	13,3,6,12,16,4
Pere Crusells	Portrait Of A Woman With Attributes Of Diana##vgEpx-tB5IQPUg	http://lh5.ggpht.com/0EaleGAK5QeYgk22DspekaTDj1dqi_HwF-vM0_nqs2KYpIItnlg-szpiCvfB					Baroque	Painting		Oil on canvas	Allegory			Artists1/Baroque/Portrait Of A Woman With Attributes Of Diana##vgEpx-tB5IQPUg.jpg	#2a2523,#23252a,#2a2823,#15252a,#807b6b,#805040,#d4cbb1,#2a1a15,#25232a	0.1081,0.1071,0.1040,0.1026,0.0786,0.0570,0.0464,0.0460,0.0431	0,63,9,57,10,4,11,3,72
Francesc Tramulles	From Herod To Pilate##MwGpO4rXro2fzg	http://lh6.ggpht.com/elR740YZx48AYFES0Gf5K6Csg26aUJ3mU5Kxp-a2MuppGjvPiGGGfNcbC5K8					Baroque	Drawing		Pen and ink wash, and graphite stick on paper	Religion			Artists1/Baroque/From Herod To Pilate##MwGpO4rXro2fzg.jpg	#d4cbb1,#d4ba6a,#807b6b	0.9320,0.0374,0.0114	11,14,10
Giacomo Francesco Cipper	Old Woman With A Lamp##LQEQ_boPBiqpCA	http://lh5.ggpht.com/dxPpduvuLKbOPNH8vedzO1gWev171Z7wCEB57uGLi3O0sB0c-1wktHK5PDzr					Baroque	Painting		Oil on canvas	Genre and society			Artists1/Baroque/Old Woman With A Lamp##LQEQ_boPBiqpCA.jpg	#2a2823,#2a2515,#2a2523,#807040	0.3798,0.3568,0.0907,0.0537	9,12,0,13
Francisco Ribalta	Ramon Llull##oQFl0byqb1kxzw	http://lh3.ggpht.com/JQtTrOsbjbOAVXrxAPufEl0FN37YAU8WfcLtEDdvtbAaek6V_H4uHsNLfZT1					Baroque	Painting		Oil on canvas	Portrait			Artists1/Baroque/Ramon Llull##oQFl0byqb1kxzw.jpg	#151a2a,#23252a,#25232a	0.4298,0.2053,0.1520	66,63,72
Francisco Ribalta	Apparition Of Christ To Saint Vincent Ferrer##pQHALfScPyi80w	http://lh5.ggpht.com/RaJINAPGFuSBKJi6hxpfarhrpUwxxiHJyH_j1ns-1zO0Qsg3qPDn2nkFV6lbEA					Baroque	Drawing		Pen and ink wash on paper	Religion			Artists1/Baroque/Apparition Of Christ To Saint Vincent Ferrer##pQHALfScPyi80w.jpg	#d4ba6a,#805040,#d4cbb1,#807040,#d4856a,#803116	0.5626,0.1507,0.0887,0.0723,0.0611,0.0483	14,4,11,13,5,7
Cornelis De Vos	Portrait Of A Nobleman And Three Children	https://uploads1.wikiart.org/images/cornelis-de-vos/portrait-of-a-nobleman-and-three-children.jpg!Large.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,canvas	group-portraits			Artists2/Cornelis De Vos/Portrait Of A Nobleman And Three Children.jpg	#2a1007,#2a0710,#803116,#10072a,#d4ba6a,#1a152a,#2a1a15,#25152a,#806616,#21072a,#2a1525	0.1394,0.1048,0.0853,0.0814,0.0813,0.0653,0.0510,0.0505,0.0460,0.0424,0.0415	6,105,7,78,14,75,3,84,16,87,93
Cornelis De Vos	Portrait Of A Lady With A Fan	https://uploads6.wikiart.org/images/cornelis-de-vos/portrait-of-a-lady-with-a-fan.jpg	portrait	Baroque	Flemish	Flemish School,Antwerp School	Baroque	painting		oil,canvas	female-portraits			Artists2/Cornelis De Vos/Portrait Of A Lady With A Fan.jpg	#2a2325,#2a151a,#2a1a15	0.3752,0.2045,0.1560	99,102,3
