color_hex,painting_count
#2a1a15,1883
#805040,1625
#2a2523,1391
#807040,925
#d4cbb1,863
#2a1007,826
#803116,715
#80706b,713
#2a151a,690
#2a2823,684
#2a2515,671
#807b6b,643
#2a2325,617
#d4ba6a,606
#d4bab1,535
#d4856a,513
#2a2328,403
#23252a,283
#806616,270
#2a2107,266
#28232a,223
#25232a,214
#282a23,197
#2a1525,180
#151a2a,163
#d45124,155
#1a152a,154
#2a0710,123
#7b806b,120
#cbd4b1,111
#d4a824,108
#25152a,105
#232a25,94
#b1bad4,94
#252a15,90
#806b70,85
#b1cbd4,76
#252a23,74
#23282a,73
#804050,73
#232a28,72
#6b7b80,66
#15252a,65
#6b7080,51
#706b80,40
#07102a,39
#b1d4cb,37
#bab1d4,36
#2a0721,33
#6b807b,31
#10072a,30
#152a25,27
#806b7b,25
#b1d4ba,24
#bad4b1,23
#70806b,22
#801631,21
#1a2a15,21
#152a1a,20
#21072a,19
#7b6b80,18
#d4b1ba,18
#212a07,18
#07212a,16
#6b8070,15
#cbb1d4,14
#407080,13
#d4b1cb,12
#6a85d4,12
#405080,12
#708040,10
#072a21,10
#102a07,8
#504080,4
#6abad4,4
#bad46a,3
#072a10,3
#d46a85,3
#166680,3
#408070,1
#163180,1
