color_hex,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
#2a1a15,0.984615,10998,0.0,0.984848,0.450364,0.082759
#805040,1.0,9565,0.0,1.0,0.406726,0.072486
#2a2523,1.0,7933,0.003801,1.0,0.351634,0.059803
#807040,0.984615,5758,0.000613,0.984848,0.246062,0.045705
#d4cbb1,1.0,4964,0.0,1.0,0.210154,0.040096
#2a1007,1.0,4907,0.0,1.0,0.226183,0.037898
#803116,0.938462,4359,0.011086,0.942029,0.202557,0.033641
#2a151a,0.846154,4234,0.010148,0.866667,0.195182,0.033434
#2a2515,0.938462,4087,0.003918,0.942029,0.175581,0.033304
#80706b,0.984615,4025,0.003149,0.984848,0.182204,0.032496
#2a2823,0.938462,3925,0.010751,0.942029,0.171858,0.031911
#2a2325,0.861538,3853,0.005116,0.878378,0.185519,0.02966
#d4ba6a,1.0,3834,0.011671,1.0,0.173184,0.030377
#807b6b,1.0,3710,0.018689,1.0,0.154323,0.031233
#d4856a,0.907692,3144,0.009523,0.915493,0.150214,0.024974
#d4bab1,0.969231,2859,0.001731,0.970149,0.128828,0.024072
#2a2328,0.8,2680,0.010716,0.833333,0.118135,0.02159
#23252a,0.923077,1867,0.015469,0.928571,0.072873,0.016684
#806616,0.830769,1684,0.014909,0.855263,0.073049,0.014594
#2a2107,0.830769,1591,0.027473,0.855263,0.06496,0.014429
#28232a,0.661538,1582,0.003195,0.747126,0.059479,0.014233
#25232a,0.676923,1468,0.001299,0.755814,0.054092,0.013423
#2a1525,0.676923,1239,0.007975,0.755814,0.048326,0.011915
#282a23,0.707692,1223,0.004614,0.77381,0.044321,0.012299
#1a152a,0.738462,1061,0.002674,0.792683,0.037391,0.010733
#151a2a,0.830769,1027,0.005259,0.855263,0.036014,0.010793
#d45124,0.784615,984,0.053493,0.822785,0.045354,0.009294
#7b806b,0.769231,796,0.016291,0.8125,0.025786,0.009396
#25152a,0.584615,751,0.001427,0.706522,0.026061,0.008249
#2a0710,0.615385,735,0.016595,0.722222,0.03298,0.007986
#cbd4b1,0.8,679,0.021817,0.833333,0.025156,0.008218
#d4a824,0.707692,668,0.032903,0.77381,0.029055,0.00707
#232a25,0.738462,645,0.020649,0.792683,0.022258,0.00785
#b1bad4,0.738462,575,0.014011,0.792683,0.019829,0.007523
#252a15,0.646154,569,0.015485,0.738636,0.017828,0.007347
#806b70,0.646154,555,0.01886,0.738636,0.017993,0.007225
#252a23,0.630769,529,0.005964,0.730337,0.01665,0.007008
#232a28,0.646154,510,0.015249,0.738636,0.016699,0.006727
#804050,0.646154,486,0.008877,0.738636,0.01813,0.006024
#23282a,0.661538,484,0.006183,0.747126,0.015559,0.006372
#b1cbd4,0.784615,478,0.012405,0.822785,0.01448,0.006851
#6b7b80,0.723077,438,0.021147,0.783133,0.014479,0.006184
#15252a,0.707692,424,0.029716,0.77381,0.013837,0.006037
#6b7080,0.676923,321,0.027226,0.755814,0.01124,0.005098
#6b807b,0.584615,240,0.004271,0.706522,0.006895,0.004671
#b1d4cb,0.569231,239,0.014323,0.698925,0.005356,0.004897
#07102a,0.646154,233,0.041911,0.738636,0.007425,0.004369
#706b80,0.538462,232,0.013753,0.684211,0.005247,0.004894
#bab1d4,0.553846,212,0.013783,0.691489,0.006438,0.004433
#2a0721,0.492308,201,0.05208,0.663265,0.007068,0.003989
#10072a,0.661538,197,0.021836,0.747126,0.006214,0.003991
#152a25,0.569231,178,0.015777,0.698925,0.005451,0.003956
#806b7b,0.538462,168,0.031371,0.684211,0.004133,0.004042
#70806b,0.538462,164,0.018269,0.684211,0.004163,0.003928
#b1d4ba,0.492308,164,0.036056,0.663265,0.003509,0.004139
#1a2a15,0.446154,148,0.017999,0.643564,0.004215,0.003676
#bad4b1,0.492308,145,0.037535,0.663265,0.002883,0.003887
#801631,0.553846,143,0.032846,0.691489,0.00599,0.00338
#21072a,0.384615,135,0.026664,0.619048,0.00434,0.003433
#152a1a,0.430769,131,0.016066,0.637255,0.00352,0.003528
#7b6b80,0.476923,123,0.021162,0.656566,0.002791,0.003666
#6b8070,0.553846,121,0.044434,0.691489,0.00287,0.003595
#d4b1ba,0.4,106,0.008561,0.625,0.004015,0.003268
#212a07,0.338462,102,0.034767,0.601852,0.003343,0.003094
#cbb1d4,0.538462,87,0.073569,0.684211,0.003073,0.003123
#07212a,0.430769,81,0.044189,0.637255,0.002063,0.00304
