painting_id,color_hex,weight
painting::Artists1/Baroque/The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ.jpg,#2a2523,0.512200
painting::Artists1/Baroque/The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ.jpg,#805040,0.110400
painting::Artists1/Baroque/The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ.jpg,#2a2823,0.086800
painting::Artists1/Baroque/The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ.jpg,#2a1a15,0.071900
painting::Artists1/Baroque/The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ.jpg,#803116,0.040100
painting::Artists1/Baroque/Portrait Of A Woman With Attributes Of Diana##vgEpx-tB5IQPUg.jpg,#2a2523,0.108100
painting::Artists1/Baroque/Old Woman With A Lamp##LQEQ_boPBiqpCA.jpg,#2a2523,0.090700
painting::Artists2/Cornelis De Vos/Portrait Of An Eleven Year Old Girl With A Dog Dressed In Spanish Fashion.jpg,#2a2523,0.083300
painting::Artists2/Cornelis De Vos/Diogenes Searches For A Man.jpg,#2a2523,0.130100
painting::Artists2/Cornelis De Vos/Cornelis De Vos Alexander And Diogenes.jpg,#2a2523,0.124400
painting::Artists2/Cornelis De Vos/Allegory Of Earth.jpg,#2a2523,0.072000
painting::Artists2/Cornelis De Vos/Two Daughters Of The Painter.jpg,#2a2523,0.253800
painting::Artists2/Cornelis De Vos/The Family Of The Artist 1635.jpg,#2a2523,0.120800
painting::Artists2/Eustache Le Sueur/St Bruno Appearing To Comte Roger 1648.jpg,#2a2523,0.067900
painting::Artists2/Eustache Le Sueur/Death Of St Bruno.jpg,#2a2523,0.184600
painting::Artists2/Eustache Le Sueur/Christ Healing The Blind Man.jpg,#2a2523,0.105400
painting::Artists2/Eustache Le Sueur/The Muse Terpsichore 1655.jpg,#2a2523,0.055700
painting::Artists2/Eustache Le Sueur/Melpomene Erato And Polyhymnia 1655.jpg,#2a2523,0.054500
painting::Artists2/Eustache Le Sueur/Abduction Of Ganymede.jpg,#2a2523,0.068900
painting::Artists2/Eustache Le Sueur/Cupid Ordering Mercury To Announce His Power To The Universe 1647.jpg,#2a2523,0.084300
painting::Artists2/Eustache Le Sueur/Caligula Depositing The Ashes Of His Mother And Brother In The Tomb Of His Ancestors.jpg,#2a2523,0.116700
painting::Artists2/Eustache Le Sueur/A Gathering Of Friends 1642.jpg,#2a2523,0.096800
painting::Artists2/Eustache Le Sueur/Clio Euterpe And Thalia.jpg,#2a2523,0.091300
painting::Artists2/Eustache Le Sueur/Portrait Of A Young Man.jpg,#2a2523,0.049700
painting::Artists2/Cornelis De Vos/Family Portrait.jpg,#2a2523,0.159000
painting::Artists2/Cornelis De Vos/Salbung Salomos.jpg,#2a2523,0.069700
painting::Artists2/Cornelis De Vos/Elisabeth Or Cornelia Vekemans As A Young Girl.jpg,#2a2523,0.166100
painting::Artists2/Cornelis De Vos/Portrait Of The Artist With His Family.jpg,#2a2523,0.222100
painting::Artists2/Cornelis De Vos/Portrait Of Abraham Grapheus.jpg,#2a2523,0.071900
