node_id,node_type,label,degree
painting::Artists1/Baroque/The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ.jpg,painting,The Child Moses Throws Down Pharaoh S Crown##PwGQ5yfgf-iojQ,5
color::#2a2523,color,#2a2523,1391
color::#805040,color,#805040,1625
color::#2a2823,color,#2a2823,684
color::#2a1a15,color,#2a1a15,1883
color::#803116,color,#803116,715
painting::Artists1/Baroque/Saint Agnes##NgHsb5Lb_ijcPw.jpg,painting,Saint Agnes##NgHsb5Lb_ijcPw,7
color::#23282a,color,#23282a,73
color::#807040,color,#807040,925
color::#282a23,color,#282a23,197
color::#232a28,color,#232a28,72
color::#15252a,color,#15252a,65
painting::Artists1/Baroque/Saint Anthony The Abbot##twHE7bQ7xClN8g.jpg,painting,Saint Anthony The Abbot##twHE7bQ7xClN8g,5
color::#d4bab1,color,#d4bab1,535
color::#d4cbb1,color,#d4cbb1,863
color::#80706b,color,#80706b,713
color::#d4856a,color,#d4856a,513
painting::Artists1/Baroque/Holy Family##-gH4wlD18c6rmA.jpg,painting,Holy Family##-gH4wlD18c6rmA,9
color::#252a23,color,#252a23,74
color::#806616,color,#806616,270
color::#232a25,color,#232a25,94
color::#d4a824,color,#d4a824,108
painting::Artists1/Baroque/Temptation Of Eve##ogHLKJENt6pZIg.jpg,painting,Temptation Of Eve##ogHLKJENt6pZIg,5
painting::Artists1/Baroque/Head Of A Black Man##IAGL6LSXpH394w.jpg,painting,Head Of A Black Man##IAGL6LSXpH394w,6
color::#2a1007,color,#2a1007,826
color::#2a2515,color,#2a2515,671
painting::Artists1/Baroque/Portrait Of A Woman With Attributes Of Diana##vgEpx-tB5IQPUg.jpg,painting,Portrait Of A Woman With Attributes Of Diana##vgEpx-tB5IQPUg,9
color::#23252a,color,#23252a,283
color::#807b6b,color,#807b6b,643
color::#25232a,color,#25232a,214
painting::Artists1/Baroque/From Herod To Pilate##MwGpO4rXro2fzg.jpg,painting,From Herod To Pilate##MwGpO4rXro2fzg,3
color::#d4ba6a,color,#d4ba6a,606
painting::Artists1/Baroque/Old Woman With A Lamp##LQEQ_boPBiqpCA.jpg,painting,Old Woman With A Lamp##LQEQ_boPBiqpCA,4
painting::Artists1/Baroque/Ramon Llull##oQFl0byqb1kxzw.jpg,painting,Ramon Llull##oQFl0byqb1kxzw,3
color::#151a2a,color,#151a2a,163
painting::Artists1/Baroque/Apparition Of Christ To Saint Vincent Ferrer##pQHALfScPyi80w.jpg,painting,Apparition Of Christ To Saint Vincent Ferrer##pQHALfScPyi80w,6
painting::Artists2/Cornelis De Vos/Portrait Of A Nobleman And Three Children.jpg,painting,Portrait Of A Nobleman And Three Children,11
color::#2a0710,color,#2a0710,123
color::#10072a,color,#10072a,30
color::#1a152a,color,#1a152a,154
color::#25152a,color,#25152a,105
color::#21072a,color,#21072a,19
color::#2a1525,color,#2a1525,180
painting::Artists2/Cornelis De Vos/Portrait Of A Lady With A Fan.jpg,painting,Portrait Of A Lady With A Fan,3
color::#2a2325,color,#2a2325,617
color::#2a151a,color,#2a151a,690
painting::Artists2/Cornelis De Vos/Portrait Of A Girl At The Age Of 10.jpg,painting,Portrait Of A Girl At The Age Of 10,7
color::#804050,color,#804050,73
color::#2a2328,color,#2a2328,403
color::#801631,color,#801631,21
painting::Artists2/Cornelis De Vos/Portrait Of An Eleven Year Old Girl With A Dog Dressed In Spanish Fashion.jpg,painting,Portrait Of An Eleven Year Old Girl With A Dog Dressed In Spanish Fashion,5
painting::Artists2/Cornelis De Vos/Portrait Of A Dutch Master.jpg,painting,Portrait Of A Dutch Master,8
color::#2a2107,color,#2a2107,266
painting::Artists2/Cornelis De Vos/Diogenes Searches For A Man.jpg,painting,Diogenes Searches For A Man,10
painting::Artists2/Cornelis De Vos/Cornelis De Vos Alexander And Diogenes.jpg,painting,Cornelis De Vos Alexander And Diogenes,6
painting::Artists2/Cornelis De Vos/Allegory Of Earth.jpg,painting,Allegory Of Earth,7
color::#b1bad4,color,#b1bad4,94
painting::Artists2/Cornelis De Vos/Two Daughters Of The Painter.jpg,painting,Two Daughters Of The Painter,7
painting::Artists2/Cornelis De Vos/The Family Of The Artist 1635.jpg,painting,The Family Of The Artist 1635,8
painting::Artists2/Cornelis De Vos/The Triumph Of Bacchus.jpg,painting,The Triumph Of Bacchus,6
painting::Artists2/Eustache Le Sueur/The Preaching Of St Paul At Ephesus.jpg,painting,The Preaching Of St Paul At Ephesus,9
painting::Artists2/Eustache Le Sueur/St Bruno Appearing To Comte Roger 1648.jpg,painting,St Bruno Appearing To Comte Roger 1648,8
painting::Artists2/Eustache Le Sueur/Saint Bruno The Feet Of Pope Urban Ii 1648.jpg,painting,Saint Bruno The Feet Of Pope Urban Ii 1648,10
color::#b1cbd4,color,#b1cbd4,76
color::#7b806b,color,#7b806b,120
color::#6b807b,color,#6b807b,31
color::#6b7b80,color,#6b7b80,66
