author_name	painting_name	image_url	Genre	Style	Nationality	Painting School	Art Movement	Field	Date	Media	Tag	Period	Theme	Path	ColorTagsHex	ColorTagsPct	ColorBinIds
Juan Gris	Aux Courses Des Longchamps##7gHTs6FUkz07HA	http://lh6.ggpht.com/fFI-zDWUWWtLUJAc9bDDGEsjIRFjBUJIy8JW5p3_xNuikjXSdDFFY78Gytah					Cubism	Drawing		Ink, gouache and coloured pencil on cardboard	Genre and society			Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg	#d4bab1,#b1bad4,#b1cbd4,#d4cbb1,#807b6b,#d4b1cb,#80706b,#d4b1ba	0.1729,0.1267,0.1030,0.0973,0.0699,0.0518,0.0508,0.0464	2,65,56,11,10,92,1,101
M F Husain	Fana Baqa 1978	https://uploads5.wikiart.org/00164/images/m-f-husain/fana.jpg	religious painting	Cubo-Expressionism	Indian,Qatari	Bombay Progressive Artists' Group	Cubism	painting,printmaking,sculpture,drawing,photography	c.1978	pencil,watercolor	Islam,India			Artists2/M F Husain/Fana Baqa 1978.jpg	#d4bab1,#80706b,#2a1a15,#2a2523,#805040	0.4324,0.2955,0.0570,0.0471,0.0464	2,1,3,0,4
M F Husain	Ya Haiyyo Ya Qaium 1978	https://uploads7.wikiart.org/00164/images/m-f-husain/haiyyo.jpg	religious painting	Cubo-Expressionism	Indian,Qatari	Bombay Progressive Artists' Group	Cubism	painting,printmaking,sculpture,drawing,photography	c.1978	pencil,watercolor	Islam			Artists2/M F Husain/Ya Haiyyo Ya Qaium 1978.jpg	#d4cbb1,#b1d4cb,#b1d4ba,#6b8070	0.6234,0.0649,0.0574,0.0464	11,47,38,37
M F Husain	Hai Seen Ye Noon 1978	https://uploads6.wikiart.org/00164/images/m-f-husain/sufi2.jpg	religious painting	Cubo-Expressionism	Indian,Qatari	Bombay Progressive Artists' Group	Cubism	painting,printmaking,sculpture,drawing,photography	c.1978	pencil,watercolor	Islam			Artists2/M F Husain/Hai Seen Ye Noon 1978.jpg	#d4cbb1,#807040,#d4bab1,#d4ba6a,#2a2823,#805040,#807b6b,#2a1a15	0.2635,0.1276,0.1075,0.0790,0.0701,0.0605,0.0553,0.0494	11,13,2,14,9,4,10,3
M F Husain	Qaf 1978	https://uploads4.wikiart.org/00164/images/m-f-husain/qaf.jpg	religious painting	Cubo-Expressionism	Indian,Qatari	Bombay Progressive Artists' Group	Cubism	painting,printmaking,sculpture,drawing,photography	c.1978	pencil,watercolor	Islam			Artists2/M F Husain/Qaf 1978.jpg	#d4bab1,#805040,#2a2823,#803116,#d4cbb1,#d4a824,#806616,#80706b,#807040	0.2852,0.0929,0.0901,0.0858,0.0605,0.0498,0.0468,0.0446,0.0414	2,4,9,7,11,17,16,1,13
M F Husain	Hai Seen Hai Noon 1978	https://uploads6.wikiart.org/00164/images/m-f-husain/sufi1.jpg	religious painting	Cubo-Expressionism	Indian,Qatari	Bombay Progressive Artists' Group	Cubism	painting,printmaking,sculpture,drawing,photography	c.1978	pencil,watercolor	Islam			Artists2/M F Husain/Hai Seen Hai Noon 1978.jpg	#d4cbb1,#d4bab1,#d4a824,#d4ba6a,#807040,#805040,#80706b,#15252a	0.1767,0.1687,0.0862,0.0796,0.0774,0.0720,0.0599,0.0450	11,2,17,14,13,4,1,57
Richard Lindner	Woman	https://uploads1.wikiart.org/images/richard-lindner/woman.jpg!Large.jpg	portrait	Mechanistic Cubism	German,American		Cubism	painting,illustration			female-portraits			Artists2/Richard Lindner/Woman.jpg	#d4856a,#80706b,#d4cbb1,#d4bab1,#d45124,#d4a824,#2a2325	0.1713,0.1438,0.1402,0.1276,0.0546,0.0458,0.0426	5,1,11,2,8,17,99
Richard Lindner	West 48Th Street	https://uploads3.wikiart.org/images/richard-lindner/west-48th-street.jpg!Large.jpg	portrait	Mechanistic Cubism	German,American		Cubism	painting,illustration			female-portraits			Artists2/Richard Lindner/West 48Th Street.jpg	#d45124,#d4a824,#d42451	0.2387,0.2258,0.1905	8,17,107
Richard Lindner	Verlaine	https://uploads4.wikiart.org/images/richard-lindner/verlaine.jpg!Large.jpg	portrait	Mechanistic Cubism	German,American		Cubism	painting,illustration			male-portraits			Artists2/Richard Lindner/Verlaine.jpg	#15252a,#d4cbb1,#151a2a,#d4bab1,#2a1a15,#07212a,#23282a,#23252a	0.1401,0.0807,0.0793,0.0732,0.0485,0.0446,0.0416,0.0415	57,11,66,2,3,60,54,63
Richard Lindner	Untitled No 2	https://uploads0.wikiart.org/images/richard-lindner/untitled-no-2.jpg!Large.jpg	genre painting	Mechanistic Cubism	German,American		Cubism	painting,illustration			group-portraits			Artists2/Richard Lindner/Untitled No 2.jpg	#d4a824,#2a1a15,#2a151a,#166680,#151a2a,#2a2523,#15252a	0.0922,0.0748,0.0730,0.0645,0.0629,0.0419,0.0409	17,3,102,61,66,0,57
