color_hex,painting_count
#d4cbb1,1047
#d4bab1,712
#d4ba6a,593
#807040,434
#2a1007,415
#807b6b,413
#803116,400
#805040,389
#80706b,364
#d45124,348
#d4a824,335
#cbd4b1,330
#d4856a,322
#2a1a15,318
#2a2523,272
#2a2515,250
#806616,183
#7b806b,177
#2a2107,159
#2a2823,145
#b1cbd4,142
#6b7b80,127
#b1bad4,122
#151a2a,108
#23252a,106
#405080,101
#6b7080,101
#407080,98
#bad4b1,98
#708040,91
#15252a,89
#d4b1ba,87
#2a151a,81
#282a23,79
#252a15,76
#2a0710,75
#b1d4cb,70
#70806b,70
#6b807b,66
#b1d4ba,60
#23282a,59
#6b8070,52
#166680,52
#163180,50
#2a2325,46
#6abad4,46
#25232a,44
#706b80,41
#806b70,39
#508040,37
#d4b1cb,34
#07102a,34
#d42451,33
#252a23,32
#bab1d4,32
#152a1a,32
#232a28,31
#232a25,31
#408070,30
#801631,29
#1a2a15,29
#07212a,28
#2a2328,28
#6a85d4,28
#152a25,25
#2a1525,22
#24a8d4,22
#806b7b,22
#668016,22
#804050,20
#7b6b80,20
#cbb1d4,20
#504080,19
#1a152a,18
#102a07,17
#28232a,17
#212a07,17
#072a21,16
#408050,16
#bad46a,15
#25152a,13
#d46a85,11
#2a0721,10
#072a10,10
#804070,8
#6ad4ba,7
#704080,7
#318016,7
#10072a,6
#168066,6
#2451d4,5
#311680,3
#a8d424,3
#21072a,2
#6ad485,2
#85d46a,2
#661680,1
#d424a8,1
#856ad4,1
#24d4a8,1
#801666,1
#168031,1
