color_hex,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
#d4cbb1,0.987952,5072,0.0,0.988095,0.442566,0.072814
#d4bab1,0.987952,3245,8.5e-05,0.988095,0.322668,0.04738
#d4ba6a,0.987952,3058,0.000468,0.988095,0.32349,0.043312
#807040,0.927711,2599,0.000562,0.932584,0.260135,0.036814
#803116,0.987952,2301,0.002481,0.988095,0.234061,0.033202
#2a1007,0.939759,2256,0.000888,0.943182,0.22968,0.03294
#805040,0.939759,2255,0.002162,0.943182,0.229331,0.032679
#807b6b,0.891566,2247,0.002365,0.902174,0.231696,0.03208
#2a1a15,0.951807,1948,0.000783,0.954023,0.187035,0.028825
#d45124,0.963855,1881,0.001023,0.965116,0.192951,0.028073
#80706b,0.915663,1812,0.006752,0.922222,0.176696,0.027444
#d4a824,0.939759,1811,0.002755,0.943182,0.185815,0.027014
#d4856a,0.951807,1729,0.002853,0.954023,0.190283,0.025437
#cbd4b1,0.903614,1656,0.001253,0.912088,0.158431,0.025509
#2a2515,0.819277,1546,0.004227,0.846939,0.152967,0.022523
#2a2523,0.927711,1312,0.004931,0.932584,0.118563,0.02051
#806616,0.783133,1077,0.005626,0.821782,0.114034,0.01612
#7b806b,0.795181,1048,0.003294,0.83,0.092003,0.016626
#2a2107,0.722892,996,0.018779,0.783019,0.104598,0.015093
#2a2823,0.759036,853,0.006117,0.805825,0.081571,0.013454
#b1cbd4,0.891566,794,0.009927,0.902174,0.055088,0.01387
#6b7b80,0.86747,751,0.004951,0.882979,0.045541,0.013414
#b1bad4,0.879518,679,0.005548,0.892473,0.052297,0.012085
#151a2a,0.855422,630,0.007397,0.873684,0.04045,0.011589
#23252a,0.795181,612,0.008148,0.83,0.044835,0.011081
#6b7080,0.843373,595,0.006882,0.864583,0.039727,0.010965
#bad4b1,0.795181,561,0.005675,0.83,0.045129,0.010074
#405080,0.879518,560,0.007751,0.892473,0.036613,0.010668
#708040,0.795181,553,0.006281,0.83,0.045774,0.010093
#407080,0.831325,551,0.006708,0.85567,0.029325,0.010583
#282a23,0.674699,518,0.003327,0.754545,0.041648,0.009147
#15252a,0.746988,512,0.00552,0.798077,0.029795,0.009798
#2a151a,0.771084,500,0.009426,0.813725,0.038404,0.009628
#252a15,0.73494,486,0.01299,0.790476,0.03933,0.00896
#70806b,0.662651,465,0.010384,0.747748,0.032152,0.00866
#2a0710,0.662651,426,0.003795,0.747748,0.037105,0.008258
#6b807b,0.783133,418,0.03038,0.821782,0.024073,0.008225
#d4b1ba,0.638554,418,0.003467,0.734513,0.041917,0.008008
#b1d4cb,0.759036,402,0.011439,0.805825,0.028873,0.007819
#23282a,0.662651,371,0.019688,0.747748,0.022294,0.00738
#6b8070,0.710843,358,0.00716,0.775701,0.02131,0.007294
#b1d4ba,0.662651,351,0.016007,0.747748,0.028813,0.006879
#2a2325,0.626506,305,0.011665,0.72807,0.021138,0.006621
#166680,0.746988,283,0.015162,0.798077,0.018441,0.006391
#25232a,0.650602,267,0.006341,0.741071,0.017321,0.006157
#163180,0.662651,253,0.00406,0.747748,0.020031,0.005731
#806b70,0.590361,250,0.010365,0.709402,0.019128,0.005797
#6abad4,0.710843,248,0.013953,0.775701,0.013522,0.005801
#706b80,0.590361,248,0.006769,0.709402,0.014848,0.006022
#252a23,0.590361,227,0.009864,0.709402,0.013909,0.005222
#232a28,0.518072,209,0.00176,0.674797,0.011546,0.005047
#152a1a,0.638554,203,0.011125,0.734513,0.012266,0.005437
#508040,0.626506,203,0.014068,0.72807,0.015598,0.004875
#232a25,0.506024,197,0.00448,0.669355,0.012421,0.004783
#1a2a15,0.590361,196,0.013673,0.709402,0.012893,0.005069
#408070,0.614458,191,0.007865,0.721739,0.011649,0.004942
