painting_id,color_hex,weight
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#d4bab1,0.172900
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#b1bad4,0.126700
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#b1cbd4,0.103000
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#d4cbb1,0.097300
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#807b6b,0.069900
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#d4b1cb,0.051800
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#80706b,0.050800
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,#d4b1ba,0.046400
painting::Artists2/M F Husain/Fana Baqa 1978.jpg,#d4bab1,0.432400
painting::Artists2/M F Husain/Hai Seen Ye Noon 1978.jpg,#d4bab1,0.107500
painting::Artists2/M F Husain/Qaf 1978.jpg,#d4bab1,0.285200
painting::Artists2/M F Husain/Hai Seen Hai Noon 1978.jpg,#d4bab1,0.168700
painting::Artists2/Richard Lindner/Woman.jpg,#d4bab1,0.127600
painting::Artists2/Richard Lindner/Verlaine.jpg,#d4bab1,0.073200
painting::Artists2/Richard Lindner/Three Und.jpg,#d4bab1,0.213600
painting::Artists2/Richard Lindner/The Visitor.jpg,#d4bab1,0.137700
painting::Artists2/Richard Lindner/The Smoker.jpg,#d4bab1,0.064800
painting::Artists2/Richard Lindner/The Corset.jpg,#d4bab1,0.308100
painting::Artists2/Richard Lindner/Kiss.jpg,#d4bab1,0.139000
painting::Artists2/Richard Lindner/Fifth Avenue.jpg,#d4bab1,0.326700
painting::Artists2/Richard Lindner/F B I On East69Th Street.jpg,#d4bab1,0.084900
painting::Artists2/Richard Lindner/Double Portrait.jpg,#d4bab1,0.067400
painting::Artists2/Richard Lindner/Couple 2.jpg,#d4bab1,0.071000
painting::Artists2/Richard Lindner/Couple 1.jpg,#d4bab1,0.221700
painting::Artists2/Richard Lindner/Contact.jpg,#d4bab1,0.044300
painting::Artists2/Richard Lindner/Anna.jpg,#d4bab1,0.054200
painting::Artists2/Richard Lindner/Angel In Me.jpg,#d4bab1,0.065600
painting::Artists2/Richard Lindner/Adults Only.jpg,#d4bab1,0.049700
painting::Artists2/Richard Lindner/A Letter From New York.jpg,#d4bab1,0.042500
painting::Artists2/Richard Lindner/The Ace Of Clubs 1973.jpg,#d4bab1,0.070200
painting::Artists2/Richard Lindner/Woman 1970.jpg,#d4bab1,0.059000
painting::Artists2/Richard Lindner/Telephone.jpg,#d4bab1,0.059900
painting::Artists2/Corneliu Michailescu/Harlequins.jpg,#d4bab1,0.080400
painting::Artists2/Marevna Marie Vorobieff/The March Down Rue De La Gatti In Paris.jpg,#d4bab1,0.359700
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Ossip Zadkine.jpg,#d4bab1,0.048400
painting::Artists2/Marevna Marie Vorobieff/The Atelier Of Diego Rivera In Rue Du D Part Diego Rivera Ehrenbourg And Juan Gris Paris In.jpg,#d4bab1,0.732800
painting::Artists2/Marevna Marie Vorobieff/Dedicated To Friends Of Montparnasse.jpg,#d4bab1,0.069000
painting::Artists2/Marevna Marie Vorobieff/ 1.jpg,#d4bab1,0.287000
painting::Artists2/Marevna Marie Vorobieff/In The Caf Rotonde.jpg,#d4bab1,0.810200
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Osip Zadkine.jpg,#d4bab1,0.266300
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Young Woman.jpg,#d4bab1,0.082000
painting::Artists2/Marevna Marie Vorobieff/Still Life Of Fish.jpg,#d4bab1,0.076000
painting::Artists2/Marevna Marie Vorobieff/Portrait.jpg,#d4bab1,0.096200
painting::Artists2/Marevna Marie Vorobieff/Portrait Of David Hodge And Girlfriend.jpg,#d4bab1,0.078200
painting::Artists2/Marevna Marie Vorobieff/Not Identified 8.jpg,#d4bab1,0.266100
painting::Artists2/Marevna Marie Vorobieff/The Bathers.jpg,#d4bab1,0.066000
painting::Artists2/Marevna Marie Vorobieff/Maria Holding A Bird.jpg,#d4bab1,0.129000
painting::Artists2/Marevna Marie Vorobieff/Diego Modi Ehrenburg.jpg,#d4bab1,0.096100
painting::Artists2/Marevna Marie Vorobieff/Not Identified 5.jpg,#d4bab1,0.073900
painting::Artists2/Marevna Marie Vorobieff/Cubist Sunflowers.jpg,#d4bab1,0.043500
painting::Artists2/Marevna Marie Vorobieff/Not Identified 4.jpg,#d4bab1,0.062600
painting::Artists2/Marevna Marie Vorobieff/Not Identified 6.jpg,#d4bab1,0.097600
painting::Artists2/Marevna Marie Vorobieff/Not Identified 3.jpg,#d4bab1,0.079200
painting::Artists2/Marevna Marie Vorobieff/Not Identified 2.jpg,#d4bab1,0.044800
painting::Artists2/Marevna Marie Vorobieff/Not Identified.jpg,#d4bab1,0.065500
painting::Artists2/Marevna Marie Vorobieff/Marika With A Bouquet Of Flowers 1970.jpg,#d4bab1,0.091300
painting::Artists2/Marevna Marie Vorobieff/Marika With Her Dog And Cats 1968.jpg,#d4bab1,0.047000
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Pablo Picasso 1956.jpg,#d4bab1,0.047700
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Amedeo Modigliani 1955.jpg,#d4bab1,0.071100
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Soutine.jpg,#d4bab1,0.048300
painting::Artists2/Marevna Marie Vorobieff/Portrait Of A Young David 1955.jpg,#d4bab1,0.139400
