node_id,node_type,label,degree
painting::Artists1/Cubism/Aux Courses Des Longchamps##7gHTs6FUkz07HA.jpg,painting,Aux Courses Des Longchamps##7gHTs6FUkz07HA,8
color::#d4bab1,color,#d4bab1,712
color::#b1bad4,color,#b1bad4,122
color::#b1cbd4,color,#b1cbd4,142
color::#d4cbb1,color,#d4cbb1,1047
color::#807b6b,color,#807b6b,413
color::#d4b1cb,color,#d4b1cb,34
color::#80706b,color,#80706b,364
color::#d4b1ba,color,#d4b1ba,87
painting::Artists2/M F Husain/Fana Baqa 1978.jpg,painting,Fana Baqa 1978,5
color::#2a1a15,color,#2a1a15,318
color::#2a2523,color,#2a2523,272
color::#805040,color,#805040,389
painting::Artists2/M F Husain/Ya Haiyyo Ya Qaium 1978.jpg,painting,Ya Haiyyo Ya Qaium 1978,4
color::#b1d4cb,color,#b1d4cb,70
color::#b1d4ba,color,#b1d4ba,60
color::#6b8070,color,#6b8070,52
painting::Artists2/M F Husain/Hai Seen Ye Noon 1978.jpg,painting,Hai Seen Ye Noon 1978,8
color::#807040,color,#807040,434
color::#d4ba6a,color,#d4ba6a,593
color::#2a2823,color,#2a2823,145
painting::Artists2/M F Husain/Qaf 1978.jpg,painting,Qaf 1978,9
color::#803116,color,#803116,400
color::#d4a824,color,#d4a824,335
color::#806616,color,#806616,183
painting::Artists2/M F Husain/Hai Seen Hai Noon 1978.jpg,painting,Hai Seen Hai Noon 1978,8
color::#15252a,color,#15252a,89
painting::Artists2/Richard Lindner/Woman.jpg,painting,Woman,7
color::#d4856a,color,#d4856a,322
color::#d45124,color,#d45124,348
color::#2a2325,color,#2a2325,46
painting::Artists2/Richard Lindner/West 48Th Street.jpg,painting,West 48Th Street,3
color::#d42451,color,#d42451,33
painting::Artists2/Richard Lindner/Verlaine.jpg,painting,Verlaine,8
color::#151a2a,color,#151a2a,108
color::#07212a,color,#07212a,28
color::#23282a,color,#23282a,59
color::#23252a,color,#23252a,106
painting::Artists2/Richard Lindner/Untitled No 2.jpg,painting,Untitled No 2,7
color::#2a151a,color,#2a151a,81
color::#166680,color,#166680,52
painting::Artists2/Richard Lindner/Untitled No 1.jpg,painting,Untitled No 1,8
color::#2a2515,color,#2a2515,250
color::#2a1525,color,#2a1525,22
painting::Artists2/Richard Lindner/Two.jpg,painting,Two,7
color::#252a15,color,#252a15,76
color::#2a2107,color,#2a2107,159
color::#2a1007,color,#2a1007,415
painting::Artists2/Richard Lindner/Three Und.jpg,painting,Three Und,7
painting::Artists2/Richard Lindner/The Visitor 1.jpg,painting,The Visitor 1,4
painting::Artists2/Richard Lindner/The Visitor.jpg,painting,The Visitor,4
painting::Artists2/Richard Lindner/The Table.jpg,painting,The Table,10
color::#163180,color,#163180,50
painting::Artists2/Richard Lindner/The Smoker.jpg,painting,The Smoker,7
color::#25152a,color,#25152a,13
color::#2a2328,color,#2a2328,28
painting::Artists2/Richard Lindner/The Poet.jpg,painting,The Poet,8
color::#6b7b80,color,#6b7b80,127
painting::Artists2/Richard Lindner/The Meeting.jpg,painting,The Meeting,7
painting::Artists2/Richard Lindner/The Juggler.jpg,painting,The Juggler,7
color::#2a0721,color,#2a0721,10
color::#2a0710,color,#2a0710,75
painting::Artists2/Richard Lindner/The Gambler.jpg,painting,The Gambler,6
painting::Artists2/Richard Lindner/The Corset.jpg,painting,The Corset,4
painting::Artists2/Richard Lindner/The Child S Dream.jpg,painting,The Child S Dream,6
painting::Artists2/Richard Lindner/The Actor.jpg,painting,The Actor,5
painting::Artists2/Richard Lindner/Rear Window.jpg,painting,Rear Window,7
color::#407080,color,#407080,98
color::#6abad4,color,#6abad4,46
color::#d46a85,color,#d46a85,11
painting::Artists2/Richard Lindner/Pareja.jpg,painting,Pareja,4
painting::Artists2/Richard Lindner/New York City Iv.jpg,painting,New York City Iv,6
painting::Artists2/Richard Lindner/Napoleon Still Life.jpg,painting,Napoleon Still Life,6
painting::Artists2/Richard Lindner/Moon Over Alabama.jpg,painting,Moon Over Alabama,5
color::#408070,color,#408070,30
painting::Artists2/Richard Lindner/Marilyn Was Here 1.jpg,painting,Marilyn Was Here 1,7
color::#07102a,color,#07102a,34
color::#405080,color,#405080,101
painting::Artists2/Richard Lindner/Marilyn Was Here.jpg,painting,Marilyn Was Here,5
color::#801631,color,#801631,29
painting::Artists2/Richard Lindner/Marcel Proust.jpg,painting,Marcel Proust,10
color::#25232a,color,#25232a,44
color::#6b7080,color,#6b7080,101
painting::Artists2/Richard Lindner/Man With Parrot.jpg,painting,Man With Parrot,3
color::#24a8d4,color,#24a8d4,22
painting::Artists2/Richard Lindner/Louis Ii.jpg,painting,Louis Ii,6
color::#072a21,color,#072a21,16
painting::Artists2/Richard Lindner/Kiss.jpg,painting,Kiss,8
painting::Artists2/Richard Lindner/I Ii.jpg,painting,I Ii,9
