color_a,color_b,shared_paintings
#7b806b,#6b7b80,18
#7b806b,#805040,17
#7b806b,#80706b,23
#7b806b,#807b6b,108
#7b806b,#d4856a,12
#7b806b,#d4bab1,24
#7b806b,#6b807b,18
#7b806b,#cbd4b1,77
#7b806b,#d4cbb1,112
#7b806b,#408050,3
#7b806b,#408070,5
#7b806b,#6b8070,25
#7b806b,#70806b,54
#7b806b,#6b7080,9
#7b806b,#d4ba6a,48
#7b806b,#252a23,12
#7b806b,#282a23,32
#7b806b,#407080,9
#7b806b,#b1cbd4,10
#7b806b,#b1d4cb,7
#7b806b,#807040,77
#7b806b,#15252a,2
#7b806b,#23252a,3
#7b806b,#23282a,4
#7b806b,#252a15,25
#7b806b,#2a2107,24
#7b806b,#2a2515,36
#7b806b,#2a2523,11
#7b806b,#d4a824,20
#7b806b,#2a1a15,17
#7b806b,#2a2823,19
#7b806b,#102a07,2
#7b806b,#1a2a15,8
#7b806b,#708040,26
#7b806b,#2a1007,13
#7b806b,#806616,18
#7b806b,#2a151a,5
#7b806b,#803116,16
#7b806b,#2a2325,2
#7b806b,#2a0710,1
#7b806b,#706b80,2
#7b806b,#152a1a,7
#7b806b,#152a25,3
#7b806b,#bad4b1,21
#7b806b,#b1d4ba,5
#7b806b,#232a25,8
#7b806b,#d45124,6
#7b806b,#508040,5
#7b806b,#232a28,6
#7b806b,#166680,1
#7b806b,#b1bad4,5
#7b806b,#212a07,3
#7b806b,#504080,1
#7b806b,#bad46a,2
#7b806b,#d4b1ba,3
#7b806b,#24a8d4,1
#7b806b,#806b70,1
#7b806b,#072a10,1
#7b806b,#072a21,1
#7b806b,#151a2a,4
#7b806b,#6abad4,1
#7b806b,#163180,3
#7b806b,#405080,2
#7b806b,#801631,2
#7b806b,#bab1d4,1
#7b806b,#2a1525,1
#282a23,#23252a,5
#282a23,#252a23,20
#282a23,#2a1a15,14
#282a23,#2a2523,12
#282a23,#2a2823,39
#282a23,#801631,1
#282a23,#d4856a,5
#282a23,#407080,5
#282a23,#6b807b,2
#282a23,#70806b,8
#282a23,#805040,13
#282a23,#807b6b,35
#282a23,#b1cbd4,4
#282a23,#b1d4cb,2
#282a23,#2a2515,30
#282a23,#408070,3
#282a23,#6abad4,1
#282a23,#252a15,23
#282a23,#2a2107,8
#282a23,#806616,5
#282a23,#807040,35
#282a23,#d4ba6a,21
#282a23,#2a1007,5
#282a23,#d4a824,10
#282a23,#232a28,9
#282a23,#6b7b80,7
#282a23,#d4cbb1,42
#282a23,#232a25,11
#282a23,#80706b,4
#282a23,#6b8070,3
#282a23,#708040,4
#282a23,#2a2325,1
#282a23,#166680,1
#282a23,#23282a,5
#282a23,#152a25,3
#282a23,#151a2a,3
#282a23,#405080,3
#282a23,#6b7080,4
#282a23,#cbd4b1,23
#282a23,#d4bab1,10
#282a23,#152a1a,1
#282a23,#1a2a15,4
#282a23,#b1d4ba,4
#282a23,#508040,1
#282a23,#b1bad4,5
#282a23,#bad4b1,6
#282a23,#803116,12
#282a23,#d45124,4
#282a23,#806b70,1
#282a23,#cbb1d4,1
#282a23,#d4b1cb,1
#282a23,#15252a,4
#282a23,#668016,1
#282a23,#bad46a,1
