author_name	painting_name	image_url	Genre	Style	Nationality	Painting School	Art Movement	Field	Date	Media	Tag	Period	Theme	Path	ColorTagsHex	ColorTagsPct	ColorBinIds
Max Slevogt	Title Page	https://uploads2.wikiart.org/images/max-slevogt/title-page.jpg!Large.jpg	landscape	Art Nouveau (Modern)	German	Berlin Secession	Impressionism	painting,illustration,engraving			fictional-characters			Artists2/Max Slevogt/Title Page.jpg	#d4cbb1,#d4ba6a,#807040,#807b6b	0.5464,0.2293,0.1059,0.0497	11,14,13,10
Max Slevogt	Slevogt Family In The Garden Of Godramstein	https://uploads7.wikiart.org/images/max-slevogt/slevogt-family-in-the-garden-of-godramstein.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving		oil,canvas	family-portraits			Artists2/Max Slevogt/Slevogt Family In The Garden Of Godramstein.jpg	#d4cbb1,#d4ba6a,#807040,#807b6b,#2a2515	0.1553,0.1029,0.0831,0.0670,0.0519	11,14,13,10,12
Max Slevogt	Portrait Of Alexa Pfeiffer	https://uploads0.wikiart.org/images/max-slevogt/portrait-of-alexa-pfeiffer.jpg!Large.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving			female-portraits			Artists2/Max Slevogt/Portrait Of Alexa Pfeiffer.jpg	#d4ba6a,#805040,#2a1a15,#807040,#2a2515,#d4856a,#2a2823	0.3065,0.1799,0.1010,0.0860,0.0689,0.0571,0.0570	14,4,3,13,12,5,9
Max Slevogt	Bathing House Havel	https://uploads2.wikiart.org/images/max-slevogt/bathing-house-havel.jpg!Large.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving			seas-and-oceans			Artists2/Max Slevogt/Bathing House Havel.jpg	#d4cbb1,#80706b,#807b6b,#807040,#d4ba6a,#6b7080	0.1468,0.1221,0.1067,0.0719,0.0621,0.0439	11,1,10,13,14,64
Max Slevogt	Artist S Children In Garden	https://uploads1.wikiart.org/images/max-slevogt/artist-s-children-in-garden.jpg!Large.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving			children,gardens-and-parks			Artists2/Max Slevogt/Artist S Children In Garden.jpg	#d4856a,#805040,#d4bab1,#d4cbb1,#2a1a15,#2a1007,#2a2515,#d4ba6a,#803116	0.0811,0.0761,0.0756,0.0659,0.0614,0.0525,0.0495,0.0455,0.0445	5,4,2,11,3,6,12,14,7
Max Slevogt	Achill	https://uploads6.wikiart.org/images/max-slevogt/achill.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving			Greek-and-Roman-Mythology,Achilles,heroes			Artists2/Max Slevogt/Achill.jpg	#b1d4cb,#bad4b1,#b1d4ba,#cbd4b1,#6b807b,#6b7b80,#b1cbd4	0.2382,0.2025,0.1470,0.1177,0.0954,0.0792,0.0576	47,29,38,20,46,55,56
Max Slevogt	The Family Doctor J Nos Plesch	https://uploads4.wikiart.org/images/max-slevogt/the-family-doctor-j-nos-plesch.jpg!Large.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving	1928	oil,canvas	family-portraits			Artists2/Max Slevogt/The Family Doctor J Nos Plesch.jpg	#d4cbb1,#d4ba6a,#d4856a,#805040,#80706b,#d4bab1,#807b6b	0.2746,0.1630,0.1234,0.1003,0.0827,0.0466,0.0458	11,14,5,4,1,2,10
Max Slevogt	Portrait Of Julius Freund	https://uploads7.wikiart.org/images/max-slevogt/portrait-of-julius-freund.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving	1925	oil,canvas	male-portraits			Artists2/Max Slevogt/Portrait Of Julius Freund.jpg	#d4bab1,#807b6b,#80706b,#d4856a,#2a2523,#d4cbb1,#2a2823,#805040	0.1893,0.1871,0.1144,0.0745,0.0685,0.0628,0.0598,0.0541	2,10,1,5,0,11,9,4
Max Slevogt	Portrait Of Nina And Wolfgang Slevogt Children In The Forest	https://uploads6.wikiart.org/images/max-slevogt/portrait-of-nina-and-wolfgang-slevogt-children-in-the-forest.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving	1917	oil,canvas	female-portraits,double-portraits,children portraits			Artists2/Max Slevogt/Portrait Of Nina And Wolfgang Slevogt Children In The Forest.jpg	#807040,#708040,#252a15,#d4ba6a,#2a2515,#d4cbb1,#7b806b,#282a23	0.1746,0.1287,0.1097,0.1004,0.0844,0.0706,0.0491,0.0406	13,22,21,14,12,11,19,18
Max Slevogt	The Nile At Aswan	https://uploads0.wikiart.org/images/max-slevogt/the-nile-at-aswan.jpg!Large.jpg	landscape	Impressionism	German	Berlin Secession	Impressionism	painting,illustration,engraving	1914	oil,canvas	rivers-and-waterfalls			Artists2/Max Slevogt/The Nile At Aswan.jpg	#6b7080,#b1cbd4,#807b6b,#d4cbb1,#b1bad4,#80706b,#6b7b80	0.2239,0.2059,0.0906,0.0762,0.0736,0.0505,0.0487	64,56,10,11,65,1,55
