color_hex,painting_count
#d4cbb1,2799
#807040,2242
#807b6b,1821
#805040,1711
#d4bab1,1711
#d4ba6a,1698
#80706b,1501
#b1bad4,1119
#2a1a15,976
#cbd4b1,904
#b1cbd4,896
#7b806b,822
#d4856a,797
#2a2515,732
#2a2523,619
#806616,578
#6b7080,575
#803116,535
#708040,500
#6b7b80,477
#2a2823,471
#2a1007,459
#bab1d4,437
#b1d4cb,340
#70806b,300
#2a2107,298
#bad4b1,283
#2a151a,273
#d4b1ba,256
#706b80,253
#405080,249
#d4a824,248
#806b70,241
#6a85d4,241
#252a15,239
#6b807b,230
#282a23,225
#b1d4ba,218
#23252a,186
#2a2325,182
#407080,181
#d45124,176
#6b8070,173
#6abad4,153
#cbb1d4,141
#25232a,132
#2a2328,127
#d4b1cb,121
#806b7b,118
#151a2a,116
#7b6b80,115
#bad46a,103
#23282a,100
#15252a,96
#252a23,93
#232a28,88
#28232a,86
#668016,82
#508040,74
#1a152a,74
#232a25,73
#2a1525,68
#804050,67
#212a07,64
#2a0710,59
#1a2a15,51
#163180,48
#152a25,47
#152a1a,34
#25152a,33
#408070,32
#166680,24
#2451d4,19
#408050,18
#504080,17
#07212a,16
#07102a,15
#24a8d4,13
#801631,11
#d46a85,9
#a8d424,8
#2a0721,6
#804070,5
#072a21,5
#10072a,4
#6ad4ba,4
#856ad4,3
#318016,3
#102a07,3
#d42451,3
#21072a,2
#072a10,2
#168066,2
#168031,1
#6ad485,1
#704080,1
#85d46a,1
