color_hex,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
#d4cbb1,1.0,15579,0.0,1.0,0.427667,0.070146
#807040,1.0,13078,0.0,1.0,0.373539,0.058824
#807b6b,1.0,10671,0.0,1.0,0.320267,0.048293
#805040,1.0,10117,3.4e-05,1.0,0.29245,0.046582
#d4ba6a,1.0,9629,0.0,1.0,0.296438,0.043928
#d4bab1,1.0,9615,0.0,1.0,0.284093,0.044484
#80706b,1.0,8800,0.0,1.0,0.262717,0.040709
#b1bad4,1.0,6204,0.001978,1.0,0.166884,0.029918
#2a1a15,0.971831,5890,0.001667,0.972603,0.170182,0.027814
#cbd4b1,0.985915,5251,0.0,0.986111,0.147737,0.025628
#7b806b,0.971831,5095,0.000398,0.972603,0.140886,0.025051
#b1cbd4,0.971831,5075,0.000733,0.972603,0.128167,0.025424
#d4856a,0.985915,4618,0.001299,0.986111,0.144164,0.022342
#2a2515,0.929577,4605,0.000259,0.934211,0.13507,0.022
#2a2523,0.943662,3753,0.002053,0.946667,0.103846,0.018851
#806616,0.929577,3472,0.001312,0.934211,0.106509,0.017114
#6b7080,0.957746,3393,0.00432,0.959459,0.085293,0.017576
#803116,0.929577,3268,0.000715,0.934211,0.094252,0.016362
#708040,0.84507,3000,0.001805,0.865854,0.078627,0.016281
#2a2823,0.887324,2961,0.010415,0.898734,0.084378,0.015087
#6b7b80,0.957746,2865,0.010944,0.959459,0.067817,0.015398
#2a1007,0.943662,2785,0.010164,0.946667,0.08177,0.014041
#bab1d4,0.971831,2601,0.003555,0.972603,0.068677,0.013879
#b1d4cb,0.873239,2117,0.0031,0.8875,0.047552,0.011929
#70806b,0.943662,2010,0.007463,0.946667,0.04563,0.011704
#2a2107,0.859155,1895,0.030439,0.876543,0.053529,0.010297
#bad4b1,0.84507,1789,0.062383,0.865854,0.04216,0.01021
#2a151a,0.732394,1654,0.012659,0.788889,0.039725,0.010241
#706b80,0.84507,1597,0.012669,0.865854,0.034911,0.009678
#d4b1ba,0.873239,1579,0.016709,0.8875,0.039173,0.009498
#806b70,0.915493,1567,0.022616,0.922078,0.037128,0.009575
#6b807b,0.84507,1555,0.001044,0.865854,0.03154,0.009623
#252a15,0.760563,1520,0.001906,0.806818,0.038548,0.009114
#282a23,0.830986,1518,0.024734,0.855422,0.037536,0.009081
#b1d4ba,0.84507,1432,0.020056,0.865854,0.031106,0.008703
#405080,0.887324,1425,0.027715,0.898734,0.031356,0.009035
#d4a824,0.788732,1421,0.02655,0.825581,0.042752,0.008205
#6a85d4,0.901408,1328,0.012809,0.910256,0.031339,0.008392
#23252a,0.887324,1220,0.02375,0.898734,0.025628,0.008129
#6b8070,0.84507,1213,0.007444,0.865854,0.022933,0.008108
#2a2325,0.774648,1210,0.026175,0.816092,0.02646,0.008012
#407080,0.915493,1046,0.022505,0.922078,0.019281,0.007748
#d45124,0.830986,1023,0.019301,0.855422,0.027919,0.006545
#cbb1d4,0.788732,951,0.033829,0.825581,0.020158,0.00659
#2a2328,0.704225,874,0.011136,0.771739,0.015749,0.006641
#6abad4,0.802817,843,0.012187,0.835294,0.019447,0.006341
#25232a,0.746479,841,0.017688,0.797753,0.015981,0.006469
#d4b1cb,0.661972,820,0.010435,0.747368,0.016926,0.005993
#806b7b,0.619718,814,0.009958,0.72449,0.014633,0.006105
#7b6b80,0.647887,805,0.008143,0.739583,0.014121,0.006034
#23282a,0.732394,688,0.017436,0.788889,0.014371,0.005542
#151a2a,0.859155,685,0.017507,0.876543,0.013624,0.005531
#252a23,0.788732,670,0.022661,0.825581,0.013352,0.005492
#232a28,0.802817,659,0.007168,0.835294,0.011738,0.0056
#bad46a,0.690141,634,0.018767,0.763441,0.014602,0.005092
#15252a,0.760563,590,0.009307,0.806818,0.012375,0.005157
#28232a,0.704225,588,0.028089,0.771739,0.009482,0.005309
#232a25,0.732394,542,0.011538,0.788889,0.009911,0.004973
#668016,0.535211,508,0.023498,0.682692,0.012239,0.004528
#508040,0.704225,453,0.017745,0.771739,0.008116,0.004461
#1a152a,0.746479,452,0.015159,0.797753,0.007771,0.004581
#212a07,0.591549,437,0.03768,0.71,0.010047,0.004131
#804050,0.71831,417,0.035155,0.78022,0.009541,0.004112
#2a1525,0.521127,414,0.005172,0.67619,0.007598,0.004373
#2a0710,0.521127,345,0.060797,0.67619,0.007338,0.003728
#1a2a15,0.633803,324,0.019527,0.731959,0.006284,0.003827
#152a25,0.732394,307,0.026542,0.788889,0.005306,0.003874
#163180,0.577465,251,0.068503,0.70297,0.004392,0.003423
#25152a,0.605634,223,0.082225,0.717172,0.004021,0.003347
#152a1a,0.647887,201,0.104213,0.739583,0.002909,0.003283
#408070,0.56338,191,0.01396,0.696078,0.003045,0.003122
#166680,0.43662,123,0.081904,0.63964,0.002011,0.002783
