painting_id,color_hex,weight
painting::Artists2/Max Slevogt/Title Page.jpg,#d4cbb1,0.546400
painting::Artists2/Max Slevogt/Title Page.jpg,#d4ba6a,0.229300
painting::Artists2/Max Slevogt/Title Page.jpg,#807040,0.105900
painting::Artists2/Max Slevogt/Title Page.jpg,#807b6b,0.049700
painting::Artists2/Max Slevogt/Slevogt Family In The Garden Of Godramstein.jpg,#d4cbb1,0.155300
painting::Artists2/Max Slevogt/Bathing House Havel.jpg,#d4cbb1,0.146800
painting::Artists2/Max Slevogt/Artist S Children In Garden.jpg,#d4cbb1,0.065900
painting::Artists2/Max Slevogt/The Family Doctor J Nos Plesch.jpg,#d4cbb1,0.274600
painting::Artists2/Max Slevogt/Portrait Of Julius Freund.jpg,#d4cbb1,0.062800
painting::Artists2/Max Slevogt/Portrait Of Nina And Wolfgang Slevogt Children In The Forest.jpg,#d4cbb1,0.070600
painting::Artists2/Max Slevogt/The Nile At Aswan.jpg,#d4cbb1,0.076200
painting::Artists2/Max Slevogt/Summer House Garden.jpg,#d4cbb1,0.120600
painting::Artists2/Max Slevogt/Francisco D Andrade Reading A Newspaper.jpg,#d4cbb1,0.050600
painting::Artists2/Philip De Laszlo/In The Hofbr Uhaus In Munich 1892.jpg,#d4cbb1,0.110500
painting::Artists2/Guy Rose/Lifting Fog Laguna.jpg,#d4cbb1,0.333800
painting::Artists2/Guy Rose/Winter.jpg,#d4cbb1,0.290900
painting::Artists2/Guy Rose/Windswept Trees Laguna.jpg,#d4cbb1,0.054500
painting::Artists2/Guy Rose/View Of Wood S Cove.jpg,#d4cbb1,0.144500
painting::Artists2/Guy Rose/Twin Lakes High Sierra.jpg,#d4cbb1,0.172600
painting::Artists2/Guy Rose/The Saine Valley Giverny.jpg,#d4cbb1,0.296000
painting::Artists2/Guy Rose/The Old Church At Cagnes.jpg,#d4cbb1,0.048500
painting::Artists2/Guy Rose/The Blue House 1.jpg,#d4cbb1,0.134100
painting::Artists2/Guy Rose/Tamarisk Trees In Early Sunlight.jpg,#d4cbb1,0.073400
painting::Artists2/Guy Rose/The Blue Pool Near Mt Whitney.jpg,#d4cbb1,0.082500
painting::Artists2/Guy Rose/Spring On The Riviera.jpg,#d4cbb1,0.192900
