color_a,color_b,shared_paintings
#2a1a15,#2a2515,284
#2a1a15,#2a2823,171
#2a1a15,#805040,693
#2a1a15,#807040,479
#2a1a15,#d4856a,206
#2a1a15,#d4ba6a,312
#2a1a15,#2a1007,315
#2a1a15,#803116,225
#2a1a15,#d4bab1,311
#2a1a15,#d4cbb1,414
#2a1a15,#706b80,24
#2a1a15,#80706b,377
#2a1a15,#252a15,28
#2a1a15,#282a23,45
#2a1a15,#2a2523,349
#2a1a15,#2a151a,188
#2a1a15,#6abad4,6
#2a1a15,#807b6b,275
#2a1a15,#d4b1ba,33
#2a1a15,#d45124,43
#2a1a15,#d4a824,37
#2a1a15,#cbd4b1,58
#2a1a15,#252a23,14
#2a1a15,#2a2325,98
#2a1a15,#2a2328,58
#2a1a15,#7b806b,41
#2a1a15,#708040,12
#2a1a15,#70806b,6
#2a1a15,#6a85d4,11
#2a1a15,#23252a,31
#2a1a15,#25232a,28
#2a1a15,#806616,79
#2a1a15,#2a2107,58
#2a1a15,#1a152a,10
#2a1a15,#2a1525,26
#2a1a15,#212a07,3
#2a1a15,#2a0710,32
#2a1a15,#15252a,4
#2a1a15,#b1bad4,84
#2a1a15,#bab1d4,45
#2a1a15,#6b7080,47
#2a1a15,#6b7b80,24
#2a1a15,#806b70,49
#2a1a15,#152a25,4
#2a1a15,#405080,12
#2a1a15,#b1cbd4,47
#2a1a15,#151a2a,11
#2a1a15,#23282a,7
#2a1a15,#232a28,5
#2a1a15,#6b807b,7
#2a1a15,#25152a,8
#2a1a15,#28232a,28
#2a1a15,#804050,8
#2a1a15,#bad46a,4
#2a1a15,#cbb1d4,8
#2a1a15,#d4b1cb,8
#2a1a15,#232a25,4
#2a1a15,#6b8070,6
#2a1a15,#806b7b,19
#2a1a15,#b1d4cb,14
#2a1a15,#407080,10
#2a1a15,#166680,1
#2a1a15,#b1d4ba,9
#2a1a15,#bad4b1,9
#2a1a15,#408070,2
#2a1a15,#7b6b80,19
#2a1a15,#152a1a,1
#2a1a15,#508040,3
#2a1a15,#163180,3
#2a1007,#2a2515,116
#2a1007,#803116,226
#2a1007,#805040,312
#2a1007,#d4856a,112
#2a1007,#d4ba6a,177
#2a1007,#d4bab1,151
#2a1007,#d4cbb1,185
#2a1007,#2a0710,37
#2a1007,#806616,100
#2a1007,#807040,235
#2a1007,#d45124,44
#2a1007,#706b80,13
#2a1007,#80706b,106
#2a1007,#2a151a,69
#2a1007,#2a2523,53
#2a1007,#d4a824,36
#2a1007,#2a2107,84
#2a1007,#1a152a,3
#2a1007,#23252a,2
#2a1007,#212a07,5
#2a1007,#807b6b,80
#2a1007,#252a15,12
#2a1007,#668016,1
#2a1007,#708040,7
#2a1007,#15252a,1
#2a1007,#806b70,14
#2a1007,#d4b1ba,20
#2a1007,#b1cbd4,27
#2a1007,#7b806b,12
#2a1007,#b1bad4,35
#2a1007,#cbd4b1,21
#2a1007,#bad46a,4
#2a1007,#6b7b80,9
#2a1007,#6b807b,6
#2a1007,#b1d4ba,5
#2a1007,#b1d4cb,7
#2a1007,#bad4b1,7
#2a1007,#6b7080,18
#2a1007,#6b8070,4
#2a1007,#70806b,7
#2a1007,#bab1d4,20
#2a1007,#252a23,2
#2a1007,#2a2823,16
#2a1007,#405080,2
#2a1007,#6abad4,2
#2a1007,#232a28,1
