color_hex,painting_count
#d4bab1,1224
#2a2523,1197
#805040,1087
#80706b,1054
#d4cbb1,915
#2a1a15,884
#d4856a,650
#807040,643
#d4ba6a,593
#803116,447
#807b6b,438
#2a1007,361
#2a2515,358
#2a2823,322
#2a2325,236
#2a151a,230
#23252a,162
#806616,158
#d45124,148
#2a2107,138
#25232a,133
#b1bad4,130
#2a2328,130
#6b7080,115
#282a23,110
#cbd4b1,109
#d4b1cb,104
#7b806b,92
#28232a,89
#d4a824,77
#706b80,74
#252a15,73
#806b70,72
#7b6b80,61
#804050,60
#806b7b,59
#151a2a,57
#6b7b80,51
#232a25,50
#252a23,48
#d4b1ba,46
#b1cbd4,44
#23282a,43
#cbb1d4,43
#6b807b,42
#15252a,42
#232a28,42
#2a1525,42
#bab1d4,41
#70806b,40
#2a0710,40
#708040,39
#407080,37
#1a152a,34
#801631,28
#b1d4ba,28
#b1d4cb,27
#25152a,26
#212a07,25
#bad4b1,24
#152a25,24
#6b8070,24
#1a2a15,23
#2a0721,15
#07212a,14
#07102a,13
#405080,13
#152a1a,12
#6abad4,12
#102a07,11
#166680,11
#10072a,11
#408070,9
#d42451,7
#163180,6
#668016,6
#072a21,6
#072a10,5
#21072a,5
#508040,5
#24a8d4,4
#d46a85,4
#bad46a,4
#168066,2
#2451d4,1
#6a85d4,1
#6ad4ba,1
