author_name	painting_name	image_url	Genre	Style	Nationality	Painting School	Art Movement	Field	Date	Media	Tag	Period	Theme	Path	ColorTagsHex	ColorTagsPct	ColorBinIds
Juan de Borgoña	Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag	http://lh6.ggpht.com/nm4B3rI0X21BkPvgEeFcw8pVFjTx_9WcrCx8VKP0eb475gMi8_o73U7yB2AKrA					Northern Renaissance	Painting		Oil on wood	Religion			Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg	#805040,#b1d4cb,#807040,#6b807b,#d4cbb1,#807b6b,#2a1a15,#23282a	0.0860,0.0746,0.0670,0.0643,0.0496,0.0428,0.0421,0.0404	4,47,13,46,49,11,10,3,54
Maarten De Vos	The Last Supper	https://uploads6.wikiart.org/00103/images/maarten-de-vos/the-last-supper.jpg!Large.jpg	religious painting	Northern Renaissance	Flemish		Northern Renaissance	painting		oil,canvas	Last-Supper,Jesus-Christ			Artists2/Maarten De Vos/The Last Supper.jpg	#807b6b,#2a2823,#803116,#805040,#2a2523,#807040,#282a23,#7b806b,#80706b	0.1580,0.1153,0.0724,0.0620,0.0562,0.0507,0.0482,0.0417,0.0402	10,9,7,4,0,13,18,19,1
Maarten De Vos	The Death Of Adonis	https://uploads3.wikiart.org/00103/images/maarten-de-vos/the-death-of-adonis-1.jpg!Large.jpg	mythological painting,allegorical painting	Northern Renaissance	Flemish		Northern Renaissance	painting			Adonis,Death			Artists2/Maarten De Vos/The Death Of Adonis.jpg	#807040,#2a2515,#2a2823,#2a1a15,#2a2523,#d4cbb1,#d4ba6a,#805040	0.2350,0.1379,0.0847,0.0790,0.0695,0.0637,0.0589,0.0459	13,12,9,3,0,11,14,4
Maarten De Vos	The Calumny Of Apelles	https://uploads6.wikiart.org/00103/images/maarten-de-vos/the-calumny-of-apelles-1.jpg!Large.jpg	allegorical painting	Northern Renaissance	Flemish		Northern Renaissance	painting			Apelles			Artists2/Maarten De Vos/The Calumny Of Apelles.jpg	#2a2515,#2a1a15,#807b6b,#805040,#2a2823,#807040,#2a1007	0.2285,0.1746,0.1238,0.1006,0.0967,0.0653,0.0415	12,3,10,4,9,13,6
Maarten De Vos	An Alchemist Being Tempted By Luxuria	https://uploads3.wikiart.org/00103/images/maarten-de-vos/an-alchemist-being-tempted-by-luxuria-1.jpg!Large.jpg	allegorical painting	Northern Renaissance	Flemish		Northern Renaissance	painting			alchemists			Artists2/Maarten De Vos/An Alchemist Being Tempted By Luxuria.jpg	#805040,#807040,#2a1a15,#2a2823,#2a2523,#d4ba6a,#2a2515,#807b6b	0.1718,0.1524,0.1444,0.1409,0.0829,0.0564,0.0546,0.0525	4,13,3,9,0,14,12,10
Maarten De Vos	Venus And Adonis	https://uploads0.wikiart.org/00103/images/maarten-de-vos/venus-and-adonis-1.jpg!Large.jpg	mythological painting	Northern Renaissance	Flemish		Northern Renaissance	painting			Aphrodite/Venus,Adonis			Artists2/Maarten De Vos/Venus And Adonis.jpg	#807b6b,#80706b,#805040,#d4bab1,#d4cbb1,#2a2515,#2a1a15,#2a2823	0.1637,0.1209,0.1157,0.0921,0.0917,0.0907,0.0799,0.0587	10,1,4,2,11,12,3,9
Maarten De Vos	Descent From The Cross	https://uploads4.wikiart.org/00103/images/maarten-de-vos/descent-from-the-cross.jpg!Large.jpg	religious painting	Northern Renaissance	Flemish		Northern Renaissance	painting			Jesus-Christ			Artists2/Maarten De Vos/Descent From The Cross.jpg	#807040,#25232a,#2a1a15,#805040,#807b6b,#d4cbb1,#1a152a,#2a2523	0.1370,0.0680,0.0666,0.0618,0.0576,0.0501,0.0491,0.0416	13,72,3,4,10,11,75,0
Maarten De Vos	The Rape Of Europa 1590	https://uploads5.wikiart.org/00103/images/maarten-de-vos/the-rape-of-europa-1590.jpg!Large.jpg	mythological painting	Northern Renaissance	Flemish		Northern Renaissance	painting	c.1590	oil,oak panel	Europe			Artists2/Maarten De Vos/The Rape Of Europa 1590.jpg	#2a2523,#d4cbb1,#807b6b,#805040,#2a1a15,#d4bab1,#807040,#80706b,#2a2823	0.1591,0.1174,0.1100,0.0852,0.0798,0.0790,0.0548,0.0538,0.0432	0,11,10,4,3,2,13,1,9
Maarten De Vos	Seven Liberal Arts 1590	https://uploads7.wikiart.org/00103/images/maarten-de-vos/seven-liberal-arts-1590-1.jpg!Large.jpg	allegorical painting	Northern Renaissance	Flemish		Northern Renaissance	painting	1590		Seven-Liberal-Arts			Artists2/Maarten De Vos/Seven Liberal Arts 1590.jpg	#805040,#d4cbb1,#2a1a15,#807040,#2a2515,#2a1007,#d4856a,#2a2523,#d4ba6a	0.1870,0.0852,0.0743,0.0564,0.0540,0.0537,0.0488,0.0473,0.0444	4,11,3,13,12,6,5,0,14
Maarten De Vos	Abundance 1584	https://uploads7.wikiart.org/00103/images/maarten-de-vos/abundance-1584-1.jpg!Large.jpg	allegorical painting	Northern Renaissance	Flemish		Northern Renaissance	painting	1584		Abundance			Artists2/Maarten De Vos/Abundance 1584.jpg	#805040,#2a2523,#2a1a15,#d4bab1,#80706b,#d4856a,#807b6b	0.2468,0.1698,0.1574,0.0772,0.0728,0.0602,0.0428	4,0,3,2,1,5,10
