painting_id,color_hex,weight
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#805040,0.086000
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#b1d4cb,0.074600
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#807040,0.067000
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#6b807b,0.064300
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#d4cbb1,0.049600
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#807b6b,0.042800
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#2a1a15,0.042100
painting::Artists1/Northern Renaissance/Virgin And Child With The Infant Saint John##DgGBIVSRoSfSag.jpg,#23282a,0.040400
painting::Artists2/Maarten De Vos/The Last Supper.jpg,#805040,0.062000
painting::Artists2/Maarten De Vos/The Death Of Adonis.jpg,#805040,0.045900
painting::Artists2/Maarten De Vos/The Calumny Of Apelles.jpg,#805040,0.100600
painting::Artists2/Maarten De Vos/An Alchemist Being Tempted By Luxuria.jpg,#805040,0.171800
painting::Artists2/Maarten De Vos/Venus And Adonis.jpg,#805040,0.115700
painting::Artists2/Maarten De Vos/Descent From The Cross.jpg,#805040,0.061800
painting::Artists2/Maarten De Vos/The Rape Of Europa 1590.jpg,#805040,0.085200
painting::Artists2/Maarten De Vos/Seven Liberal Arts 1590.jpg,#805040,0.187000
painting::Artists2/Maarten De Vos/Abundance 1584.jpg,#805040,0.246800
painting::Artists2/Maarten De Vos/Apollo And The Muses 1570.jpg,#805040,0.081300
painting::Artists2/Jan Van Hemessen/Tobias Restores His Father S Sight.jpg,#805040,0.191700
painting::Artists2/Jan Van Hemessen/The Surgeon.jpg,#805040,0.095400
painting::Artists2/Jan Van Hemessen/Christ Carrying The Cross.jpg,#805040,0.133500
painting::Artists2/Jan Van Hemessen/Woman Weighing Gold.jpg,#805040,0.238500
painting::Artists2/Jan Van Hemessen/Virgin And Child.jpg,#805040,0.157700
painting::Artists2/Pieter Bruegel The Elder/The Magpie On The Gallows 1568.jpg,#805040,0.078700
painting::Artists2/Pieter Bruegel The Elder/The Beggars 1568.jpg,#805040,0.169200
painting::Artists2/Pieter Bruegel The Elder/Summer 1568.jpg,#805040,0.315700
painting::Artists2/Jan Van Hemessen/The Lamentation Of Christ.jpg,#805040,0.124300
painting::Artists2/Jan Van Hemessen/The Descent From The Cross.jpg,#805040,0.108100
painting::Artists2/Jan Van Hemessen/Tarquin And Lucretia.jpg,#805040,0.047000
painting::Artists2/Jan Van Hemessen/St Jerome.jpg,#805040,0.262000
painting::Artists2/Jan Van Hemessen/San Girolamo In Preghiera.jpg,#805040,0.100800
painting::Artists2/Jan Van Hemessen/Isaac Blessing Jacob.jpg,#805040,0.233200
painting::Artists2/Jan Van Hemessen/The Mocking Of Christ.jpg,#805040,0.164400
painting::Artists2/Jan Van Hemessen/Christ Driving Merchants From The Temple.jpg,#805040,0.140800
painting::Artists2/Pieter Bruegel The Elder/Peasant Wedding 1568.jpg,#805040,0.131000
painting::Artists2/Pieter Bruegel The Elder/Peasant And Birdnester 1568.jpg,#805040,0.046500
painting::Artists2/Pieter Bruegel The Elder/Parable Of The Blind 1568.jpg,#805040,0.082900
painting::Artists2/Pieter Bruegel The Elder/Misanthrope 1568.jpg,#805040,0.215800
painting::Artists2/Pieter Bruegel The Elder/Three Soldiers 1558.jpg,#805040,0.114500
painting::Artists2/Pieter Bruegel The Elder/Land Of Cockaigne 1567.jpg,#805040,0.188600
painting::Artists2/Pieter Bruegel The Elder/Conversion Of St Paul 1567.jpg,#805040,0.139300
painting::Artists2/Pieter Bruegel The Elder/The Adoration Of The Kings In The Snow 1557.jpg,#805040,0.204700
painting::Artists2/Pieter Bruegel The Elder/The Wedding Dance In The Open Air.jpg,#805040,0.083600
painting::Artists2/Pieter Bruegel The Elder/The Massacre Of The Innocents 1566.jpg,#805040,0.112300
painting::Artists2/Pieter Bruegel The Elder/Winter Landscape With Skaters And A Bird Trap 1565.jpg,#805040,0.083000
painting::Artists2/Pieter Bruegel The Elder/The Return Of The Herd Autumn 1565.jpg,#805040,0.101400
painting::Artists2/Pieter Bruegel The Elder/Christ And The Woman Taken In Adultery 1565 1.jpg,#805040,0.156600
painting::Artists2/Pieter Bruegel The Elder/The Gloomy Day 1559.jpg,#805040,0.101700
painting::Artists2/Pieter Bruegel The Elder/Dulle Griet Mad Meg 1564.jpg,#805040,0.394100
painting::Artists2/Pieter Bruegel The Elder/Christ Carrying The Cross 1564.jpg,#805040,0.141500
painting::Artists2/Pieter Bruegel The Elder/The Little Tower Of Babel 1563.jpg,#805040,0.043400
painting::Artists2/Pieter Bruegel The Elder/Portrait Of An Old Woman 1563.jpg,#805040,0.068200
painting::Artists2/Pieter Bruegel The Elder/The Triumph Of Death 1562 1.jpg,#805040,0.126300
painting::Artists2/Pieter Bruegel The Elder/Yawning Man Disputed Attribution 1563.jpg,#805040,0.091500
painting::Artists2/Pieter Bruegel The Elder/The Fall Of The Rebel Angels 1562.jpg,#805040,0.118500
painting::Artists2/Pieter Bruegel The Elder/Two Monkeys 1562.jpg,#805040,0.103800
painting::Artists2/Pieter Bruegel The Elder/The Resurrection Of Christ.jpg,#805040,0.149300
painting::Artists2/Pieter Bruegel The Elder/Naval Battle In The Gulf Of Naples 1562.jpg,#805040,0.056300
painting::Artists2/Pieter Bruegel The Elder/Twelve Proverbs.jpg,#805040,0.060400
painting::Artists2/Pieter Bruegel The Elder/Children S Games 1560.jpg,#805040,0.109500
painting::Artists2/Pieter Bruegel The Elder/The Fair At Hoboken 1559.jpg,#805040,0.137700
painting::Artists2/Pieter Bruegel The Elder/The Fight Between Carnival And Lent 1559 1.jpg,#805040,0.190000
painting::Artists2/Hans Holbein The Younger/Portrait Of Benedikt Von Hertenstein 1517.jpg,#805040,0.063600
painting::Artists2/Hans Holbein The Younger/Adam And Eve 1517.jpg,#805040,0.235600
painting::Artists2/Hans Holbein The Younger/Head Of A Male Saint.jpg,#805040,0.237000
painting::Artists2/Hans Holbein The Younger/Head Of A Female Saint.jpg,#805040,0.270500
painting::Artists2/Hans Holbein The Younger/St Barbara 1516.jpg,#805040,0.206000
painting::Artists2/Hans Holbein The Younger/Signboard For A Schoolmaster 1516.jpg,#805040,0.252000
painting::Artists2/Hans Holbein The Younger/Mayor Jakob Meyer Zum Hasen 1516.jpg,#805040,0.154100
painting::Artists2/Hans Holbein The Younger/Dorothea Kannengiesser 1516.jpg,#805040,0.149400
painting::Artists2/Hans Holbein The Younger/George Nevill 3Rd Baron Bergavenny.jpg,#805040,0.053500
painting::Artists2/Hans Holbein The Younger/Portrait Of A Member Of The Wedigh Family 1532 1.jpg,#805040,0.050200
painting::Artists2/Hans Holbein The Younger/Portrait Of Desiderius Erasmus.jpg,#805040,0.134700
painting::Artists2/Hans Holbein The Younger/Madonna Of The Burgermeister Meyer.jpg,#805040,0.112800
painting::Artists2/Hans Holbein The Younger/Thomas Godsalve Of Norwich And His Son John 1528.jpg,#805040,0.086300
painting::Artists2/Hans Holbein The Younger/Portrait Of Nicholas Kratzer 1528.jpg,#805040,0.117400
painting::Artists2/Hans Holbein The Younger/Charity The Family Of The Artist.jpg,#805040,0.113800
painting::Artists2/Hans Holbein The Younger/Edward Prince Of Wales 1543.jpg,#805040,0.059300
painting::Artists2/Hans Holbein The Younger/Duke Anton The Good Of Lorraine 1543.jpg,#805040,0.091000
painting::Artists2/Hans Holbein The Younger/Self Portrait 1542.jpg,#805040,0.125600
painting::Artists2/Hans Holbein The Younger/Portrait Of Henry Brandon.jpg,#805040,0.120600
painting::Artists2/Hans Holbein The Younger/Unknown Young Man At His Office Desk.jpg,#805040,0.101600
painting::Artists2/Hans Holbein The Younger/Portrait Of An Unknown Lady.jpg,#805040,0.051800
painting::Artists2/Hans Holbein The Younger/Henry Viii Handing Over A Charter To Thomas Vicary Commemorating The Joining Of The Barbers And 1541.jpg,#805040,0.057200
painting::Artists2/Hans Holbein The Younger/Portrait Of Margaret Wyatt Lady Lee 1540.jpg,#805040,0.059900
painting::Artists2/Hans Holbein The Younger/Portrait Of A Young Man.jpg,#805040,0.106900
painting::Artists2/Hans Holbein The Younger/Henry Vii Elisabeth Of York Henry Viii And Jane Seymour.jpg,#805040,0.262000
painting::Artists2/Hans Holbein The Younger/Death Of The Virgin.jpg,#805040,0.096900
painting::Artists2/Hans Holbein The Younger/Henry Viii And The Barber Surgeons.jpg,#805040,0.050500
painting::Artists2/Hans Holbein The Younger/Portrait Of Dr John Chambers.jpg,#805040,0.063800
painting::Artists2/Hans Holbein The Younger/Portrait Of Henry Viii 1540.jpg,#805040,0.278600
painting::Artists2/Hans Holbein The Younger/Portrait Of A Man With A Letter And Gloves.jpg,#805040,0.053200
painting::Artists2/Hans Holbein The Younger/Portrait Of Thomas Howard 1539.jpg,#805040,0.108000
painting::Artists2/Hans Holbein The Younger/Portrait Of Anne Of Cleves 1539.jpg,#805040,0.398800
painting::Artists2/Hans Holbein The Younger/Portrait Of Edward Vi As A Child.jpg,#805040,0.158700
painting::Artists2/Hans Holbein The Younger/Sir Henry Wyatt.jpg,#805040,0.115800
painting::Artists2/Hans Holbein The Younger/Portrait Of Jane Seymour.jpg,#805040,0.092500
painting::Artists2/Hans Holbein The Younger/Portrait Of Jane Seymour 1537.jpg,#805040,0.030400
painting::Artists2/Hans Holbein The Younger/Henry Viii And Henry Vii Cartoon For Wall Painting In Whitehall 1537.jpg,#805040,0.461700
painting::Artists2/Hans Holbein The Younger/Henry Viii.jpg,#805040,0.191500
painting::Artists2/Hans Holbein The Younger/Queen Mary I Tudor 1536.jpg,#805040,0.002900
painting::Artists2/Hans Holbein The Younger/Jane Seymour 1536.jpg,#805040,0.171400
painting::Artists2/Hans Holbein The Younger/Solomon And The Queen Of Sheba.jpg,#805040,0.047000
painting::Artists2/Hans Holbein The Younger/Portrait Of Philipp Melanchthon.jpg,#805040,0.304300
painting::Artists2/Hans Holbein The Younger/Portrait Of Henry Viii King Of England.jpg,#805040,0.110500
painting::Artists2/Hans Holbein The Younger/Portrait Of Charles De Solier.jpg,#805040,0.054600
painting::Artists2/Hans Holbein The Younger/Unknown Gentleman With Music Books And Lute.jpg,#805040,0.164800
painting::Artists2/Hans Holbein The Younger/The Triumph Of Riches.jpg,#805040,0.392200
painting::Artists2/Hans Holbein The Younger/The Ambassadors 1533.jpg,#805040,0.073000
painting::Artists2/Hans Holbein The Younger/Portrait Of Thomas Cromwell.jpg,#805040,0.075600
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Nicholas Carew.jpg,#805040,0.090300
painting::Artists2/Hans Holbein The Younger/Portrait Of Robert Cheseman 1533.jpg,#805040,0.098100
painting::Artists2/Hans Holbein The Younger/Portrait Of Dirk Tybis 1533.jpg,#805040,0.064200
painting::Artists2/Hans Holbein The Younger/Portrait Of Derich Born 1533.jpg,#805040,0.048100
painting::Artists2/Hans Holbein The Younger/Portrait Of A Member Of The Wedigh Family 1533.jpg,#805040,0.063800
painting::Artists2/Hans Holbein The Younger/Sir Henry Guildford 1527.jpg,#805040,0.064400
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Thomas More 1527.jpg,#805040,0.112500
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Henry Guildford 1527.jpg,#805040,0.114600
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Brian Tuke.jpg,#805040,0.254400
painting::Artists2/Hans Holbein The Younger/Portrait Of Mary Wotton Lady Guildenford 1527.jpg,#805040,0.122400
painting::Artists2/Hans Holbein The Younger/Lady With A Squirrel And A Starling.jpg,#805040,0.055300
painting::Artists2/Hans Holbein The Younger/Lais Corinthiaca 1526.jpg,#805040,0.131300
painting::Artists2/Hans Holbein The Younger/Venus And Amor.jpg,#805040,0.188300
painting::Artists2/Hans Holbein The Younger/The Last Supper.jpg,#805040,0.159300
painting::Artists2/Hans Holbein The Younger/The Passion.jpg,#805040,0.125200
painting::Artists2/Hans Holbein The Younger/Noli Me Tangere.jpg,#805040,0.075900
painting::Artists2/Hans Holbein The Younger/Printer S Device Of Johannes Froben.jpg,#805040,0.138400
painting::Artists2/Hans Holbein The Younger/St Ursula.jpg,#805040,0.143800
painting::Artists2/Hans Holbein The Younger/Portrait Of Erasmus Of Rotterdam 1523.jpg,#805040,0.137900
painting::Artists2/Hans Holbein The Younger/Portrait Of Desiderius Erasmus 1523.jpg,#805040,0.087200
painting::Artists2/Hans Holbein The Younger/The Solothurn Madonna 1522.jpg,#805040,0.118900
painting::Artists2/Hans Holbein The Younger/Oberried Altarpiece Right Interior Wing The Birth Of Christ 1522.jpg,#805040,0.157600
painting::Artists2/Hans Holbein The Younger/Oberried Altarpiece Left Interior Wing The Adoration Of The Magi 1522.jpg,#805040,0.255200
painting::Artists2/Hans Holbein The Younger/The Body Of The Dead Christ In The Tomb 1521.jpg,#805040,0.198500
painting::Artists2/Hans Holbein The Younger/Diptych With Christ And The Mater Dolorosa.jpg,#805040,0.490300
painting::Artists2/Hans Holbein The Younger/Death Of The Virgin 1.jpg,#805040,0.072200
painting::Artists2/Jan Van Hemessen/Risky Society.jpg,#805040,0.222800
painting::Artists2/Jan Van Hemessen/Allegorical Scene.jpg,#805040,0.108200
painting::Artists2/Jan Van Hemessen/St Jerome Praying Before A Rocky Grotto 1548.jpg,#805040,0.066500
painting::Artists2/Jan Van Hemessen/St Jerome 1.jpg,#805040,0.143800
painting::Artists2/Jan Van Hemessen/Vanit.jpg,#805040,0.107000
painting::Artists2/Jan Van Hemessen/Judith.jpg,#805040,0.119100
painting::Artists2/Jan Van Hemessen/A Merry Company.jpg,#805040,0.171100
painting::Artists2/Jan Van Hemessen/Parable Of The Prodigal Son 4.jpg,#805040,0.090800
painting::Artists2/Jan Van Hemessen/Parable Of The Prodigal Son 3.jpg,#805040,0.092100
painting::Artists2/Jan Van Hemessen/Parable Of The Prodigal Son 2.jpg,#805040,0.105200
painting::Artists2/Jan Van Hemessen/Parable Of The Prodigal Son 1.jpg,#805040,0.041500
painting::Artists2/Jan Van Hemessen/The Prodigal Son 1536.jpg,#805040,0.076100
painting::Artists2/Jan Van Hemessen/Jesus Summons Matthew To Leave The Tax Office.jpg,#805040,0.083000
painting::Artists2/Pieter Bruegel The Elder/Philistine.jpg,#805040,0.122900
painting::Artists2/Pieter Bruegel The Elder/The Adoration Of The Kings.jpg,#805040,0.150400
painting::Artists2/Pieter Bruegel The Elder/Landscape Of The Alps.jpg,#805040,0.053300
painting::Artists2/Pieter Bruegel The Elder/Landscape With Christ Appearing To The Apostles At The Sea Of Tiberias 1553.jpg,#805040,0.156600
painting::Artists2/Mabuse/Descent From The Cross.jpg,#805040,0.120100
painting::Artists2/Hans Baldung/Saint Catherine Of Alexandria.jpg,#805040,0.088700
painting::Artists2/Albrecht Altdorfer/Saint Peter.jpg,#805040,0.046500
painting::Artists2/Hans Baldung/Holy Trinity.jpg,#805040,0.106200
painting::Artists2/Hans Baldung/Head Of Man.jpg,#805040,0.173300
painting::Artists2/Hans Baldung/The Seven Ages Of Woman.jpg,#805040,0.041000
painting::Artists2/Hans Baldung/Virgin Of The Vine Trellis.jpg,#805040,0.106900
painting::Artists2/Hans Baldung/The Three Ages Of Man And Death 1543.jpg,#805040,0.174700
painting::Artists2/Hans Baldung/Harmony Or The Three Graces 1543.jpg,#805040,0.118000
painting::Artists2/Hans Baldung/Portrait Of An Unknown Lady.jpg,#805040,0.066900
painting::Artists2/Hans Baldung/Virgin And Child 1540.jpg,#805040,0.135100
painting::Artists2/Hans Baldung/Three Ages Of Man And Three Graces 1539.jpg,#805040,0.329700
painting::Artists2/Hans Baldung/Christ As A Gardener Noli Me Tangere 1539.jpg,#805040,0.111800
painting::Artists2/Hans Baldung/Portrait Of Ambroise Volmar Keller 1538.jpg,#805040,0.097400
painting::Artists2/Hans Baldung/Madonna With The Parrots 1533.jpg,#805040,0.101000
painting::Artists2/Mabuse/Venus And The Mirror.jpg,#805040,0.089500
painting::Artists2/Mabuse/Madonna And Child 2.jpg,#805040,0.081400
painting::Artists2/Mabuse/Madonna And Child.jpg,#805040,0.073100
painting::Artists2/Mabuse/Portrait Of A Merchant.jpg,#805040,0.079300
painting::Artists2/Mabuse/Mary Magdalene.jpg,#805040,0.046000
painting::Artists2/Mabuse/Madonna And Child Playing With The Veil 1.jpg,#805040,0.046100
painting::Artists2/Mabuse/A Young Princess Dorothea Of Denmark0.jpg,#805040,0.098500
painting::Artists2/Mabuse/Portrait Of Baudoin Of Burgundy.jpg,#805040,0.145800
painting::Artists2/Mabuse/The Virgin And Child 1527.jpg,#805040,0.160900
painting::Artists2/Mabuse/Madonna And Child 1527.jpg,#805040,0.056200
painting::Artists2/Mabuse/Holy Family.jpg,#805040,0.132300
painting::Artists2/Mabuse/Deesis.jpg,#805040,0.095100
painting::Artists2/Mabuse/Danaë 1527.jpg,#805040,0.330700
painting::Artists2/Mabuse/Adam And Eve In Paradise.jpg,#805040,0.166100
painting::Artists2/Mabuse/A Man With A Rosary.jpg,#805040,0.043100
painting::Artists2/Mabuse/The Children Of King Christian Ii Of Denmark Norway And Sweden 1526.jpg,#805040,0.073100
painting::Artists2/Mabuse/Virgin And Child 1525.jpg,#805040,0.196900
painting::Artists2/Mabuse/Virgin And Child.jpg,#805040,0.095100
painting::Artists2/Mabuse/The High Council.jpg,#805040,0.161300
painting::Artists2/Mabuse/Man Of Sorrow.jpg,#805040,0.070800
painting::Artists2/Mabuse/Adam And Eve 1525.jpg,#805040,0.060600
painting::Artists2/Mabuse/Venus And Cupid 1521.jpg,#805040,0.290100
painting::Artists2/Mabuse/The Deposition.jpg,#805040,0.145300
painting::Artists2/Mabuse/Saint Luke Painting The Virgin 1.jpg,#805040,0.046600
painting::Artists2/Mabuse/An Elderly Couple.jpg,#805040,0.060200
painting::Artists2/Mabuse/Adam And Eve 1.jpg,#805040,0.237800
painting::Artists2/Mabuse/Portrait Of Floris Van Egmond 1519.jpg,#805040,0.128700
painting::Artists2/Mabuse/The Metamorphosis Of Hermaphrodite And Salmacis.jpg,#805040,0.071900
painting::Artists2/Albrecht Altdorfer/Friedrich Der Siegreiche.jpg,#805040,0.147900
painting::Artists2/Albrecht Altdorfer/Lot And His Daughter 1537.jpg,#805040,0.058500
