source,target,weight
#2a1a15,#23282a,18
#2a1a15,#6b807b,11
#2a1a15,#805040,748
#2a1a15,#807040,340
#2a1a15,#807b6b,174
#2a1a15,#b1d4cb,5
#2a1a15,#d4cbb1,381
#2a1a15,#2a2515,240
#2a1a15,#2a2523,469
#2a1a15,#2a2823,217
#2a1a15,#d4ba6a,304
#2a1a15,#2a1007,288
#2a1a15,#80706b,225
#2a1a15,#d4bab1,244
#2a1a15,#1a152a,14
#2a1a15,#25232a,31
#2a1a15,#d4856a,408
#2a1a15,#15252a,22
#2a1a15,#232a28,16
#2a1a15,#6b7b80,18
#2a1a15,#2a2325,162
#2a1a15,#2a151a,181
#2a1a15,#7b806b,25
#2a1a15,#23252a,51
#2a1a15,#803116,317
#2a1a15,#2a2107,64
#2a1a15,#806616,73
#2a1a15,#d45124,96
#2a1a15,#2a1525,11
#2a1a15,#282a23,44
#2a1a15,#2a0710,26
#2a1a15,#6b8070,4
#2a1a15,#70806b,7
#2a1a15,#407080,14
#2a1a15,#801631,9
#2a1a15,#d4a824,41
#2a1a15,#2a2328,57
#2a1a15,#151a2a,28
#2a1a15,#405080,4
#2a1a15,#b1d4ba,4
#2a1a15,#152a25,7
#2a1a15,#232a25,14
#2a1a15,#b1bad4,13
#2a1a15,#6b7080,15
#2a1a15,#706b80,4
#2a1a15,#804050,15
#2a1a15,#252a15,22
#2a1a15,#cbd4b1,23
#2a1a15,#708040,9
#2a1a15,#806b70,15
#2a1a15,#25152a,7
#2a1a15,#2a0721,3
#2a1a15,#212a07,8
#2a1a15,#252a23,13
#2a1a15,#b1cbd4,10
#2a1a15,#6abad4,2
#2a1a15,#1a2a15,6
#2a1a15,#07102a,4
#2a1a15,#152a1a,3
#2a1a15,#806b7b,1
#2a1a15,#cbb1d4,4
#2a1a15,#28232a,12
#2a1a15,#07212a,5
#2a1a15,#bab1d4,2
#2a1a15,#bad4b1,2
#2a1a15,#d4b1ba,1
#2a1a15,#d4b1cb,8
#2a1a15,#7b6b80,1
#2a1007,#2a2515,113
#2a1007,#2a2823,39
#2a1007,#805040,252
#2a1007,#807040,149
#2a1007,#807b6b,40
#2a1007,#2a2523,92
#2a1007,#d4856a,131
#2a1007,#d4ba6a,143
#2a1007,#d4cbb1,135
#2a1007,#2a2325,15
#2a1007,#803116,242
#2a1007,#2a2107,87
#2a1007,#806616,85
#2a1007,#d4bab1,82
#2a1007,#1a152a,8
#2a1007,#2a151a,61
#2a1007,#2a1525,7
#2a1007,#d45124,65
#2a1007,#80706b,46
#2a1007,#d4a824,41
#2a1007,#2a0710,31
#2a1007,#212a07,13
#2a1007,#6b7b80,9
#2a1007,#6b8070,3
#2a1007,#70806b,4
#2a1007,#6b807b,6
#2a1007,#282a23,9
#2a1007,#708040,5
#2a1007,#cbd4b1,9
#2a1007,#252a15,18
#2a1007,#b1bad4,6
#2a1007,#15252a,7
#2a1007,#407080,7
#2a1007,#6abad4,2
#2a1007,#6b7080,3
#2a1007,#1a2a15,5
#2a1007,#252a23,1
#2a1007,#25232a,7
#2a1007,#801631,3
#2a1007,#25152a,3
#2a1007,#07102a,3
#2a1007,#151a2a,7
#2a1007,#23252a,8
#2a1007,#152a1a,2
#2a1007,#152a25,3
#2a1007,#23282a,2
#2a1007,#232a28,4
#2a1007,#7b806b,9
#2a1007,#2a0721,6
#2a1007,#806b70,3
#2a1007,#b1d4ba,1
#2a1007,#07212a,1
#2a1007,#b1cbd4,5
#2a1007,#b1d4cb,2
#2a1007,#2a2328,6
#2a1007,#232a25,2
#2a1007,#28232a,2
#2a1007,#d4b1ba,1
#2a1007,#d4b1cb,2
#2a1007,#405080,1
#2a1007,#cbb1d4,1
#7b806b,#282a23,32
#7b806b,#2a2523,25
#7b806b,#2a2823,30
#7b806b,#803116,9
#7b806b,#805040,38
#7b806b,#807040,47
#7b806b,#80706b,14
#7b806b,#807b6b,59
#7b806b,#d4cbb1,46
#7b806b,#2a2515,31
#7b806b,#d4bab1,11
#7b806b,#70806b,24
#7b806b,#15252a,4
#7b806b,#152a25,1
#7b806b,#232a28,4
#7b806b,#b1cbd4,5
#7b806b,#252a15,19
#7b806b,#2a2107,7
#7b806b,#6b8070,9
#7b806b,#6b807b,13
#7b806b,#b1d4ba,3
#7b806b,#b1d4cb,5
#7b806b,#806616,6
#7b806b,#cbd4b1,22
#7b806b,#d4ba6a,23
#7b806b,#708040,5
#7b806b,#2a2325,4
#7b806b,#d4856a,21
#7b806b,#232a25,14
#7b806b,#252a23,11
#7b806b,#25152a,1
#7b806b,#2a151a,2
#7b806b,#2a1525,1
#7b806b,#806b70,1
#7b806b,#804050,2
#7b806b,#212a07,3
#7b806b,#152a1a,2
#7b806b,#1a2a15,4
#7b806b,#6abad4,1
#7b806b,#bad4b1,3
#7b806b,#6b7b80,4
#7b806b,#07102a,1
#7b806b,#d45124,4
#7b806b,#d4a824,3
#7b806b,#2a2328,4
#7b806b,#23252a,4
#7b806b,#23282a,2
#7b806b,#07212a,2
#7b806b,#407080,1
#7b806b,#6b7080,1
#7b806b,#b1bad4,1
#7b806b,#151a2a,1
#7b806b,#1a152a,1
#6b8070,#252a15,2
#6b8070,#2a2107,2
#6b8070,#2a2515,3
#6b8070,#6b807b,14
#6b8070,#70806b,12
#6b8070,#807040,7
#6b8070,#b1d4ba,5
#6b8070,#b1d4cb,3
#6b8070,#d4cbb1,10
#6b8070,#2a2523,6
#6b8070,#2a2823,4
#6b8070,#d4bab1,3
#6b8070,#232a25,7
#6b8070,#252a23,3
#6b8070,#282a23,6
#6b8070,#807b6b,7
#6b8070,#07102a,1
#6b8070,#15252a,1
#6b8070,#6b7b80,2
#6b8070,#152a25,1
#6b8070,#232a28,1
#6b8070,#d4856a,6
#6b8070,#23252a,1
#6b8070,#23282a,1
#6b8070,#6b7080,1
#6b8070,#80706b,3
#6b8070,#407080,2
#6b8070,#2a0721,1
#6b8070,#2a1525,1
#6b8070,#805040,5
#6b8070,#d4ba6a,8
#6b8070,#2a151a,1
#6b8070,#803116,2
#6b8070,#d45124,1
#6b8070,#804050,1
#6b8070,#806616,1
#6b8070,#d4a824,1
#6b8070,#708040,1
#6b8070,#b1cbd4,1
#6b8070,#bad4b1,1
#6b8070,#cbd4b1,1
#23252a,#23282a,22
#23252a,#282a23,8
#23252a,#2a2523,69
#23252a,#2a2823,30
#23252a,#805040,67
#23252a,#807b6b,23
#23252a,#151a2a,28
#23252a,#807040,22
#23252a,#b1cbd4,2
#23252a,#d4ba6a,18
#23252a,#80706b,41
#23252a,#6b7080,53
#23252a,#6b7b80,6
#23252a,#706b80,30
#23252a,#b1bad4,34
#23252a,#bab1d4,9
#23252a,#cbb1d4,11
#23252a,#d4b1cb,25
#23252a,#25232a,69
#23252a,#28232a,40
#23252a,#7b6b80,28
#23252a,#806b7b,19
#23252a,#d4b1ba,4
#23252a,#d4bab1,72
#23252a,#d4cbb1,56
#23252a,#806b70,10
#23252a,#2a2325,17
#23252a,#d4856a,42
#23252a,#405080,1
#23252a,#b1d4ba,3
#23252a,#232a25,7
#23252a,#232a28,6
#23252a,#252a23,2
#23252a,#2a2328,32
#23252a,#25152a,2
#23252a,#2a1525,2
#23252a,#252a15,2
#23252a,#2a2515,12
#23252a,#cbd4b1,3
#23252a,#2a151a,13
#23252a,#1a152a,5
#23252a,#6b807b,1
#23252a,#15252a,7
#23252a,#803116,14
#23252a,#2a2107,1
#23252a,#70806b,4
#23252a,#806616,2
#23252a,#152a25,2
#23252a,#152a1a,1
#23252a,#708040,1
#23252a,#07102a,1
#23252a,#07212a,1
#23252a,#d45124,6
#23252a,#6abad4,2
#23252a,#407080,4
#23252a,#804050,4
#23252a,#801631,5
#23252a,#b1d4cb,1
#23252a,#bad4b1,1
#23252a,#d4a824,2
#23252a,#2a0710,2
#23252a,#2a0721,1
#282a23,#2a2523,30
#282a23,#2a2823,78
#282a23,#803116,16
#282a23,#805040,63
#282a23,#807040,48
#282a23,#80706b,11
#282a23,#807b6b,38
#282a23,#23282a,9
#282a23,#2a2515,52
#282a23,#d45124,6
#282a23,#d4856a,34
#282a23,#d4ba6a,34
#282a23,#d4bab1,18
#282a23,#d4cbb1,37
#282a23,#2a2325,4
#282a23,#70806b,10
#282a23,#252a15,29
#282a23,#6b7080,2
#282a23,#706b80,1
#282a23,#232a25,22
#282a23,#252a23,31
#282a23,#15252a,5
#282a23,#152a25,3
#282a23,#232a28,13
#282a23,#b1bad4,2
#282a23,#151a2a,1
#282a23,#2a2328,3
#282a23,#407080,2
#282a23,#2a2107,6
#282a23,#806616,3
#282a23,#212a07,2
#282a23,#cbd4b1,6
#282a23,#6b7b80,2
#282a23,#b1cbd4,2
#282a23,#801631,3
#282a23,#1a2a15,7
#282a23,#152a1a,2
#282a23,#6b807b,7
#282a23,#b1d4cb,2
#282a23,#2a151a,1
#282a23,#708040,4
#282a23,#7b6b80,1
#282a23,#804050,1
#282a23,#806b7b,1
#282a23,#2a1525,1
#282a23,#25232a,1
#2a0721,#25152a,5
#2a0721,#2a0710,8
#2a0721,#2a151a,9
#2a0721,#805040,9
#2a0721,#d4856a,3
#2a0721,#d4bab1,3
#2a0721,#801631,2
#2a0721,#803116,5
#2a0721,#804050,2
#2a0721,#2a2523,2
#2a0721,#d4ba6a,4
#2a0721,#2a1525,9
#2a0721,#806b70,3
#2a0721,#80706b,4
#2a0721,#b1d4ba,3
#2a0721,#d4cbb1,5
#2a0721,#2a2328,2
#2a0721,#407080,3
#2a0721,#6b807b,1
#2a0721,#806616,2
#2a0721,#807040,1
#2a0721,#807b6b,1
#2a0721,#2a2325,1
#2a0721,#405080,1
#2a0721,#d4a824,1
#2a0721,#1a152a,1
#2a0721,#bad4b1,1
#2a0721,#cbd4b1,1
#2a0721,#d45124,2
#2a0721,#151a2a,1
#706b80,#6b7080,52
#706b80,#6b7b80,4
#706b80,#b1bad4,53
#706b80,#b1cbd4,5
#706b80,#b1d4ba,3
#706b80,#b1d4cb,2
#706b80,#bab1d4,26
#706b80,#d4bab1,54
#706b80,#25232a,54
#706b80,#7b6b80,27
#706b80,#806b70,5
#706b80,#806b7b,13
#706b80,#d4b1ba,8
#706b80,#d4b1cb,33
#706b80,#d4cbb1,25
#706b80,#cbb1d4,20
#706b80,#23282a,1
#706b80,#28232a,20
#706b80,#80706b,7
#706b80,#1a152a,2
#706b80,#252a15,1
#706b80,#2a2515,1
#706b80,#2a2823,1
#706b80,#805040,7
#706b80,#d4856a,4
#706b80,#2a0710,1
#706b80,#2a151a,3
#706b80,#804050,2
#706b80,#2a2325,2
#706b80,#2a2328,5
#706b80,#2a2523,2
#706b80,#807b6b,1
#b1bad4,#07102a,2
#b1bad4,#07212a,1
#b1bad4,#15252a,2
#b1bad4,#803116,5
#b1bad4,#805040,22
#b1bad4,#d45124,1
#b1bad4,#d4856a,15
#b1bad4,#d4bab1,104
#b1bad4,#6b7080,69
#b1bad4,#6b7b80,9
#b1bad4,#b1cbd4,16
#b1bad4,#b1d4ba,8
#b1bad4,#b1d4cb,4
#b1bad4,#bab1d4,35
#b1bad4,#2a2325,3
#b1bad4,#2a2523,11
#b1bad4,#80706b,34
#b1bad4,#807b6b,11
#b1bad4,#d4cbb1,50
#b1bad4,#7b6b80,34
#b1bad4,#806b7b,21
#b1bad4,#cbb1d4,24
