author_name	painting_name	image_url	Genre	Style	Nationality	Painting School	Art Movement	Field	Date	Media	Tag	Period	Theme	Path	ColorTagsHex	ColorTagsPct	ColorBinIds
Blai Ametller	Ostrich Hunting##nAG1SiP43MsyjA	http://lh3.ggpht.com/6qhZkFdrMLy2ZVDollmPsqn7SwiFgrlInbRPF_3YfI9Upo_miYbmLeoO46Y					Romanticism	Engraving		Etching on paper	Allegory			Artists1/Romanticism/Ostrich Hunting##nAG1SiP43MsyjA.jpg	#80706b,#d4bab1,#2a2523	0.3903,0.3880,0.2214	1,2,0
Josep Armet	A Country Memory Of The Pyrenees##9wGgl38mUWMqJg	http://lh3.ggpht.com/FssReiTmmNGXKKQv4Gv5h4dNKRh1yydT5JGJCGAqm4__ge1yyavk5b163WsQ					Romanticism	Painting		Oil on canvas	Landscape			Artists1/Romanticism/A Country Memory Of The Pyrenees##9wGgl38mUWMqJg.jpg	#2a2823,#807040,#807b6b,#2a2515,#282a23,#7b806b,#2a2523	0.1955,0.1195,0.1068,0.1053,0.0966,0.0648,0.0472	9,13,10,12,18,19,0
Francesc Fontanals	Saint Catherine Of Alexandria##VgE0sZk-V-tT1A	http://lh3.ggpht.com/y-JcY6NRxB8LqvVhP17LD3J4Dto-tFfA315ganiEeeLZHIUvo1EGbeR3leg					Romanticism	Engraving		Etching and burin on paper	Religion			Artists1/Romanticism/Saint Catherine Of Alexandria##VgE0sZk-V-tT1A.jpg	#80706b,#807b6b,#2a2823,#d4cbb1,#2a2523,#d4bab1	0.2266,0.2009,0.1874,0.1644,0.1306,0.0681	1,10,9,11,0,2
Luigi Rados	Rotunda Converted As Baths##egGCo49EZGo7Ng	http://lh6.ggpht.com/MGtOM2VesZpK6rsFNAwd070BlxRsoL00WZXb6kj0WNfweaCeqaLwhKjm3y60					Romanticism	Engraving		Etching and aquatint on paper	Landscape			Artists1/Romanticism/Rotunda Converted As Baths##egGCo49EZGo7Ng.jpg	#807b6b,#2a2523,#80706b,#d4cbb1,#2a1a15,#807040	0.3737,0.1458,0.1293,0.1269,0.0931,0.0546	10,0,1,11,3,13
David Wilkie	Village Politicians	https://uploads2.wikiart.org/images/david-wilkie/village-politicians.jpg	genre painting	Romanticism	British		Romanticism	painting		etching	leisure-and-sleep			Artists2/David Wilkie/Village Politicians.jpg	#2a2823,#807b6b,#2a2515	0.6361,0.2290,0.1053	9,10,12
Osman Hamdi	Theologist	https://uploads2.wikiart.org/images/osman-hamdi/theologist.jpg!Large.jpg	genre painting	Romanticism	Turkish		Romanticism	painting	1907		Islam			Artists2/Osman Hamdi/Theologist.jpg	#803116,#d4ba6a,#d45124,#2a1a15,#805040,#2a1007,#d4a824,#807040,#23252a,#25232a,#151a2a	0.1264,0.1055,0.0897,0.0666,0.0539,0.0538,0.0519,0.0499,0.0487,0.0468,0.0445	7,14,8,3,4,6,17,13,63,72,66
Osman Hamdi	Mihrap	https://uploads6.wikiart.org/images/osman-hamdi/mihrap.jpg	portrait	Romanticism	Turkish		Romanticism	painting	1901		books			Artists2/Osman Hamdi/Mihrap.jpg	#d4a824,#151a2a,#d4ba6a,#25232a,#23252a,#80706b,#807040,#1a152a,#805040	0.0874,0.0849,0.0751,0.0736,0.0547,0.0515,0.0502,0.0475,0.0424	17,66,14,72,63,1,13,75,4
Osman Hamdi	The Musician Girl 1880	https://uploads5.wikiart.org/images/osman-hamdi/the-musician-girl-1880.jpg!Large.jpg	genre painting	Romanticism	Turkish		Romanticism	painting	1880		musical-instruments			Artists2/Osman Hamdi/The Musician Girl 1880.jpg	#d4cbb1,#d4ba6a,#232a28,#807b6b,#807040,#2a2523,#2a2823	0.1580,0.1007,0.0903,0.0804,0.0515,0.0442,0.0405	11,14,45,10,13,0,9
Osman Hamdi	Girl Reciting Qu Ran 1880	https://uploads7.wikiart.org/images/osman-hamdi/girl-reciting-qu-ran-1880.jpg	genre painting	Romanticism	Turkish		Romanticism	painting	1880		Islam			Artists2/Osman Hamdi/Girl Reciting Qu Ran 1880.jpg	#d4ba6a,#d4cbb1,#805040,#807040,#807b6b,#2a1a15,#6b7b80	0.2024,0.1133,0.0829,0.0825,0.0702,0.0551,0.0414	14,11,4,13,10,3,55
John William Waterhouse	Saint Eulalia 1885	https://uploads4.wikiart.org/images/john-william-waterhouse/saint-eulalia-1885.jpg!Large.jpg	religious painting	Romanticism	British	Pre-Raphaelite Brotherhood	Romanticism	painting	1885	oil,canvas	Christianity,birds,saints-and-apostles,St.-Eulalia			Artists2/John William Waterhouse/Saint Eulalia 1885.jpg	#d4cbb1,#b1bad4,#80706b,#807b6b,#d4bab1,#2a2523,#23252a,#2a2823	0.1239,0.1061,0.0766,0.0701,0.0655,0.0603,0.0431,0.0427	11,65,1,10,2,0,63,9
John William Waterhouse	Esther Kenworthy	https://uploads2.wikiart.org/images/john-william-waterhouse/esther-kenworthy.jpg!Large.jpg	portrait	Romanticism	British	Pre-Raphaelite Brotherhood	Romanticism	painting	c.1885	oil,canvas	female-portraits			Artists2/John William Waterhouse/Esther Kenworthy.jpg	#1a152a,#2a151a,#805040,#804050,#28232a,#2a1525,#2a2328,#25152a,#806b70	0.1754,0.1005,0.0994,0.0827,0.0751,0.0739,0.0612,0.0610,0.0495	75,102,4,103,81,93,90,84,100
John William Waterhouse	Consulting The Oracle	https://uploads7.wikiart.org/images/john-william-waterhouse/consulting-the-oracle.jpg!Large.jpg	mythological painting	Romanticism	British	Pre-Raphaelite Brotherhood	Romanticism	painting	c.1884	oil,canvas	Greek-and-Roman-Mythology,Oracle			Artists2/John William Waterhouse/Consulting The Oracle.jpg	#25232a,#28232a,#1a152a,#d4cbb1,#805040,#2a2328,#2a2523,#2a1a15,#2a2325	0.1705,0.0946,0.0835,0.0574,0.0563,0.0561,0.0498,0.0488,0.0486	72,81,75,11,4,90,0,3,99
John William Waterhouse	The Favourites Of Emperor Honorius	https://uploads2.wikiart.org/images/john-william-waterhouse/the-favourites-of-emperor-honorius.jpg!Large.jpg	history painting	Romanticism	British	Pre-Raphaelite Brotherhood	Romanticism	painting	c.1883	oil,canvas	famous-people,Honorius-(emperor)			Artists2/John William Waterhouse/The Favourites Of Emperor Honorius.jpg	#805040,#2a1a15,#d4ba6a,#803116,#d4856a,#807040,#2a1007	0.2822,0.1469,0.1086,0.1051,0.0948,0.0796,0.0749	4,3,14,7,5,13,6
