color_hex,painting_count
#d4cbb1,1872
#d4bab1,1871
#80706b,1825
#2a2523,1763
#805040,1670
#807040,1523
#2a1a15,1510
#d4ba6a,1252
#807b6b,1149
#2a2515,831
#2a1007,759
#2a2823,663
#d4856a,656
#803116,650
#cbd4b1,595
#2a151a,449
#b1bad4,422
#b1cbd4,417
#806616,412
#7b806b,385
#2a2325,345
#282a23,338
#2a2107,297
#6b7b80,279
#23252a,273
#6b7080,261
#b1d4cb,250
#2a2328,233
#6b807b,229
#d4a824,202
#bad4b1,192
#252a15,170
#d45124,164
#25232a,164
#806b70,163
#bab1d4,159
#252a23,151
#232a25,148
#b1d4ba,145
#6b8070,141
#70806b,135
#706b80,134
#28232a,132
#151a2a,126
#232a28,125
#23282a,123
#d4b1ba,116
#2a1525,107
#407080,97
#2a0710,89
#15252a,87
#708040,86
#405080,84
#804050,78
#1a152a,76
#6a85d4,75
#d4b1cb,64
#cbb1d4,63
#7b6b80,62
#806b7b,61
#6abad4,59
#152a25,51
#25152a,46
#152a1a,36
#1a2a15,35
#bad46a,25
#07102a,23
#212a07,22
#07212a,15
#801631,14
#408070,14
#2a0721,11
#10072a,8
#163180,7
#102a07,6
#504080,6
#072a21,6
#668016,6
#166680,6
#508040,6
#6ad4ba,5
#21072a,4
#856ad4,4
#d46a85,3
#6ad485,3
#85d46a,3
#408050,3
#2451d4,1
#24a8d4,1
#072a10,1
#d42451,1
#a8d424,1
