color_hex,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
#d4cbb1,1.0,10307,0.0,1.0,0.34258,0.057074
#805040,1.0,9911,0.0,1.0,0.349385,0.054161
#2a1a15,1.0,9212,0.0,1.0,0.325811,0.050256
#807040,1.0,9121,0.0,1.0,0.313327,0.050311
#d4bab1,0.969697,7705,0.0,0.970588,0.283599,0.043011
#80706b,0.954545,7519,0.0,0.956522,0.284708,0.041529
#d4ba6a,1.0,7265,0.0,1.0,0.263258,0.040269
#2a2523,0.984848,7218,0.0,0.985075,0.271408,0.039612
#807b6b,1.0,6398,0.000186,1.0,0.227741,0.036038
#2a2515,0.984848,5233,0.001297,0.985075,0.176648,0.030151
#2a1007,1.0,4712,0.006247,1.0,0.174551,0.026528
#803116,0.984848,3987,0.00532,0.985075,0.147978,0.022706
#2a2823,0.954545,3945,0.005512,0.956522,0.132051,0.023415
#d4856a,0.984848,3807,0.0,0.985075,0.147059,0.022134
#cbd4b1,0.954545,3351,0.001895,0.956522,0.101816,0.021217
#2a151a,0.924242,2785,0.031258,0.929577,0.10046,0.017349
#806616,0.984848,2654,0.006848,0.985075,0.093802,0.015984
#b1bad4,0.969697,2612,0.005545,0.970588,0.072897,0.017366
#b1cbd4,1.0,2500,0.003458,1.0,0.059347,0.017203
#7b806b,0.893939,2389,0.001146,0.90411,0.069975,0.015663
#2a2325,0.848485,2226,0.009135,0.868421,0.076747,0.014215
#282a23,0.863636,2140,0.004244,0.88,0.057572,0.014522
#2a2107,0.909091,1941,0.01551,0.916667,0.066742,0.012324
#6b7b80,0.939394,1753,0.003606,0.942857,0.033596,0.013364
#23252a,0.939394,1753,4.2e-05,0.942857,0.042902,0.012697
#6b7080,0.954545,1578,0.013071,0.956522,0.034121,0.011977
#2a2328,0.757576,1574,0.001269,0.804878,0.046418,0.011095
#b1d4cb,0.939394,1538,0.007157,0.942857,0.029965,0.011766
#6b807b,0.848485,1478,0.002635,0.868421,0.023403,0.0119
#d4a824,0.787879,1254,0.006983,0.825,0.042191,0.008761
#bad4b1,0.833333,1202,0.009292,0.857143,0.026295,0.009527
#25232a,0.848485,1115,0.004322,0.868421,0.027996,0.008826
#252a15,0.818182,1103,0.004876,0.846154,0.026619,0.00896
#806b70,0.742424,1078,0.003252,0.795181,0.032934,0.008511
#bab1d4,0.878788,1020,0.016797,0.891892,0.028941,0.008302
#252a23,0.787879,988,0.02044,0.825,0.019434,0.008598
#232a25,0.863636,982,0.036376,0.88,0.018451,0.008692
#d45124,0.787879,977,0.05564,0.825,0.034339,0.007235
#6b8070,0.848485,938,0.029337,0.868421,0.015467,0.008261
#28232a,0.69697,919,0.020298,0.767442,0.022719,0.007633
#70806b,0.833333,918,0.012009,0.857143,0.018949,0.007889
#b1d4ba,0.863636,910,0.03875,0.88,0.015048,0.008015
#706b80,0.878788,845,0.013913,0.891892,0.018584,0.007548
#232a28,0.787879,836,0.015632,0.825,0.013134,0.007871
#23282a,0.787879,802,0.044959,0.825,0.014059,0.007403
#151a2a,0.954545,789,0.018853,0.956522,0.0165,0.007443
#d4b1ba,0.712121,738,0.046192,0.776471,0.022072,0.006706
#2a1525,0.651515,729,0.011584,0.741573,0.021204,0.006519
#407080,0.757576,615,0.00522,0.804878,0.009711,0.006428
#15252a,0.80303,552,0.01895,0.835443,0.008495,0.006173
#405080,0.924242,532,0.040881,0.929577,0.009601,0.005718
#2a0710,0.666667,531,0.04908,0.75,0.018696,0.005042
#708040,0.757576,528,0.017274,0.804878,0.01286,0.005505
#1a152a,0.742424,514,0.008634,0.795181,0.011589,0.00549
#6a85d4,0.787879,472,0.024449,0.825,0.012808,0.004998
#804050,0.69697,467,0.048249,0.767442,0.01391,0.004927
#cbb1d4,0.69697,442,0.074206,0.767442,0.011071,0.005003
#806b7b,0.742424,434,0.08278,0.795181,0.010412,0.004965
#7b6b80,0.636364,432,0.010308,0.733333,0.008919,0.005026
#d4b1cb,0.590909,420,0.015166,0.709677,0.010659,0.004874
#6abad4,0.742424,343,0.020795,0.795181,0.006679,0.004382
#152a25,0.712121,336,0.03103,0.776471,0.005178,0.004662
#25152a,0.545455,306,0.016483,0.6875,0.006991,0.004126
#152a1a,0.636364,239,0.052136,0.733333,0.003477,0.004036
#1a2a15,0.621212,235,0.073734,0.725275,0.00376,0.003931
#07102a,0.651515,135,0.147573,0.741573,0.002905,0.003167
#bad46a,0.439394,134,0.056079,0.640777,0.003493,0.003013
