painting_id,color_hex,weight
painting::Artists1/Romanticism/Ostrich Hunting##nAG1SiP43MsyjA.jpg,#80706b,0.390300
painting::Artists1/Romanticism/Ostrich Hunting##nAG1SiP43MsyjA.jpg,#d4bab1,0.388000
painting::Artists1/Romanticism/Ostrich Hunting##nAG1SiP43MsyjA.jpg,#2a2523,0.221400
painting::Artists1/Romanticism/Saint Catherine Of Alexandria##VgE0sZk-V-tT1A.jpg,#80706b,0.226600
painting::Artists1/Romanticism/Rotunda Converted As Baths##egGCo49EZGo7Ng.jpg,#80706b,0.129300
painting::Artists2/Osman Hamdi/Mihrap.jpg,#80706b,0.051500
painting::Artists2/John William Waterhouse/Saint Eulalia 1885.jpg,#80706b,0.076600
painting::Artists2/John William Waterhouse/Its Sweet Doing Nothing 1880.jpg,#80706b,0.047000
painting::Artists2/John William Waterhouse/Thisbe 1909.jpg,#80706b,0.050400
painting::Artists2/John William Waterhouse/Gather Ye Rosebuds While Ye May 1909.jpg,#80706b,0.058900
painting::Artists2/John William Waterhouse/The Soul Of The Rose 1908.jpg,#80706b,0.114000
painting::Artists2/John William Waterhouse/Gather Ye Rosebuds Or Ophelia 1908.jpg,#80706b,0.195100
painting::Artists2/John William Waterhouse/Apollo And Daphne 1908.jpg,#80706b,0.046000
painting::Artists2/John William Waterhouse/Lady Violet Henderson 1907.jpg,#80706b,0.103000
painting::Artists2/John William Waterhouse/The Easy Chair.jpg,#80706b,0.092500
painting::Artists2/John William Waterhouse/Portrait Of Miss Claire Kenworthy.jpg,#80706b,0.041000
painting::Artists2/John William Waterhouse/The Mystic Wood.jpg,#80706b,0.046100
painting::Artists2/John William Waterhouse/The Enchanted Garden 1917.jpg,#80706b,0.095800
painting::Artists2/John William Waterhouse/Tristram And Isolde 1916.jpg,#80706b,0.068600
painting::Artists2/John William Waterhouse/Miranda 1916.jpg,#80706b,0.078800
painting::Artists2/John William Waterhouse/Flower Sketch For The Enchanted Garden 1916.jpg,#80706b,0.159000
painting::Artists2/John William Waterhouse/Beatrice 1915.jpg,#80706b,0.061100
painting::Artists2/John William Waterhouse/Woman Picking Flowers.jpg,#80706b,0.129300
painting::Artists2/John William Waterhouse/Dante And Beatrice.jpg,#80706b,0.061900
painting::Artists2/John William Waterhouse/A Song Of Springtime 1913.jpg,#80706b,0.111900
painting::Artists2/John William Waterhouse/Sweet Summer 1912.jpg,#80706b,0.078500
