node_id,node_type,label,degree
painting::Artists1/Romanticism/Ostrich Hunting##nAG1SiP43MsyjA.jpg,painting,Ostrich Hunting##nAG1SiP43MsyjA,3
color::#80706b,color,#80706b,1825
color::#d4bab1,color,#d4bab1,1871
color::#2a2523,color,#2a2523,1763
painting::Artists1/Romanticism/A Country Memory Of The Pyrenees##9wGgl38mUWMqJg.jpg,painting,A Country Memory Of The Pyrenees##9wGgl38mUWMqJg,7
color::#2a2823,color,#2a2823,663
color::#807040,color,#807040,1523
color::#807b6b,color,#807b6b,1149
color::#2a2515,color,#2a2515,831
color::#282a23,color,#282a23,338
color::#7b806b,color,#7b806b,385
painting::Artists1/Romanticism/Saint Catherine Of Alexandria##VgE0sZk-V-tT1A.jpg,painting,Saint Catherine Of Alexandria##VgE0sZk-V-tT1A,6
color::#d4cbb1,color,#d4cbb1,1872
painting::Artists1/Romanticism/Rotunda Converted As Baths##egGCo49EZGo7Ng.jpg,painting,Rotunda Converted As Baths##egGCo49EZGo7Ng,6
color::#2a1a15,color,#2a1a15,1510
painting::Artists2/David Wilkie/Village Politicians.jpg,painting,Village Politicians,3
painting::Artists2/Osman Hamdi/Theologist.jpg,painting,Theologist,11
color::#803116,color,#803116,650
color::#d4ba6a,color,#d4ba6a,1252
color::#d45124,color,#d45124,164
color::#805040,color,#805040,1670
color::#2a1007,color,#2a1007,759
color::#d4a824,color,#d4a824,202
color::#23252a,color,#23252a,273
color::#25232a,color,#25232a,164
color::#151a2a,color,#151a2a,126
painting::Artists2/Osman Hamdi/Mihrap.jpg,painting,Mihrap,9
color::#1a152a,color,#1a152a,76
painting::Artists2/Osman Hamdi/The Musician Girl 1880.jpg,painting,The Musician Girl 1880,7
color::#232a28,color,#232a28,125
painting::Artists2/Osman Hamdi/Girl Reciting Qu Ran 1880.jpg,painting,Girl Reciting Qu Ran 1880,7
color::#6b7b80,color,#6b7b80,279
painting::Artists2/John William Waterhouse/Saint Eulalia 1885.jpg,painting,Saint Eulalia 1885,8
color::#b1bad4,color,#b1bad4,422
painting::Artists2/John William Waterhouse/Esther Kenworthy.jpg,painting,Esther Kenworthy,9
color::#2a151a,color,#2a151a,449
color::#804050,color,#804050,78
color::#28232a,color,#28232a,132
color::#2a1525,color,#2a1525,107
color::#2a2328,color,#2a2328,233
color::#25152a,color,#25152a,46
color::#806b70,color,#806b70,163
painting::Artists2/John William Waterhouse/Consulting The Oracle.jpg,painting,Consulting The Oracle,9
color::#2a2325,color,#2a2325,345
painting::Artists2/John William Waterhouse/The Favourites Of Emperor Honorius.jpg,painting,The Favourites Of Emperor Honorius,7
color::#d4856a,color,#d4856a,656
painting::Artists2/John William Waterhouse/Diogenes 1882.jpg,painting,Diogenes 1882,5
painting::Artists2/John William Waterhouse/The Household Gods 1880.jpg,painting,The Household Gods 1880,6
painting::Artists2/John William Waterhouse/Its Sweet Doing Nothing 1880.jpg,painting,Its Sweet Doing Nothing 1880,12
painting::Artists2/John William Waterhouse/Ophelia 1910.jpg,painting,Ophelia 1910,6
painting::Artists2/John William Waterhouse/Thisbe 1909.jpg,painting,Thisbe 1909,9
painting::Artists2/John William Waterhouse/Gather Ye Rosebuds While Ye May 1909.jpg,painting,Gather Ye Rosebuds While Ye May 1909,11
color::#252a15,color,#252a15,170
painting::Artists2/John William Waterhouse/The Soul Of The Rose 1908.jpg,painting,The Soul Of The Rose 1908,8
painting::Artists2/John William Waterhouse/The Bouquet.jpg,painting,The Bouquet,4
painting::Artists2/John William Waterhouse/Gather Ye Rosebuds Or Ophelia 1908.jpg,painting,Gather Ye Rosebuds Or Ophelia 1908,7
painting::Artists2/John William Waterhouse/Apollo And Daphne 1908.jpg,painting,Apollo And Daphne 1908,8
painting::Artists2/John William Waterhouse/Lady Violet Henderson 1907.jpg,painting,Lady Violet Henderson 1907,8
painting::Artists2/John William Waterhouse/The Rose Bower.jpg,painting,The Rose Bower,10
painting::Artists2/John William Waterhouse/The Easy Chair.jpg,painting,The Easy Chair,7
painting::Artists2/John William Waterhouse/St Joan.jpg,painting,St Joan,6
color::#cbd4b1,color,#cbd4b1,595
painting::Artists2/John William Waterhouse/Sketch For Flora And The Zephyrs.jpg,painting,Sketch For Flora And The Zephyrs,11
color::#706b80,color,#706b80,134
color::#806b7b,color,#806b7b,61
color::#7b6b80,color,#7b6b80,62
painting::Artists2/John William Waterhouse/Portrait Of Miss Claire Kenworthy.jpg,painting,Portrait Of Miss Claire Kenworthy,7
painting::Artists2/John William Waterhouse/The Mystic Wood.jpg,painting,The Mystic Wood,7
painting::Artists2/John William Waterhouse/The Enchanted Garden 1917.jpg,painting,The Enchanted Garden 1917,9
painting::Artists2/John William Waterhouse/Tristram And Isolde 1916.jpg,painting,Tristram And Isolde 1916,9
color::#d4b1ba,color,#d4b1ba,116
painting::Artists2/John William Waterhouse/Miranda 1916.jpg,painting,Miranda 1916,8
painting::Artists2/John William Waterhouse/Gathering Almond Blossoms 1916.jpg,painting,Gathering Almond Blossoms 1916,7
painting::Artists2/John William Waterhouse/Flower Sketch For The Enchanted Garden 1916.jpg,painting,Flower Sketch For The Enchanted Garden 1916,10
painting::Artists2/John William Waterhouse/Fair Rosamund.jpg,painting,Fair Rosamund,5
painting::Artists2/John William Waterhouse/A Tale From The Decameron 1916.jpg,painting,A Tale From The Decameron 1916,9
color::#2a2107,color,#2a2107,297
color::#1a2a15,color,#1a2a15,35
painting::Artists2/John William Waterhouse/I Am Half Sick Of Shadows Said The Lady Of Shalott 1915.jpg,painting,I Am Half Sick Of Shadows Said The Lady Of Shalott 1915,6
painting::Artists2/John William Waterhouse/Beatrice 1915.jpg,painting,Beatrice 1915,9
color::#252a23,color,#252a23,151
color::#232a25,color,#232a25,148
painting::Artists2/John William Waterhouse/Woman Picking Flowers.jpg,painting,Woman Picking Flowers,7
painting::Artists2/John William Waterhouse/Dante And Beatrice.jpg,painting,Dante And Beatrice,9
painting::Artists2/John William Waterhouse/A Song Of Springtime 1913.jpg,painting,A Song Of Springtime 1913,11
painting::Artists2/John William Waterhouse/Sweet Summer 1912.jpg,painting,Sweet Summer 1912,9
painting::Artists2/John William Waterhouse/Portrait Of Mrs Charles Schreiber 1912.jpg,painting,Portrait Of Mrs Charles Schreiber 1912,6
painting::Artists2/John William Waterhouse/Penelope And The Suitors 1912.jpg,painting,Penelope And The Suitors 1912,8
