source,target,weight
#2a1a15,#2a2523,599
#2a1a15,#807040,754
#2a1a15,#80706b,412
#2a1a15,#807b6b,331
#2a1a15,#d4cbb1,614
#2a1a15,#151a2a,29
#2a1a15,#23252a,72
#2a1a15,#25232a,45
#2a1a15,#2a1007,535
#2a1a15,#803116,395
#2a1a15,#805040,1088
#2a1a15,#d45124,77
#2a1a15,#d4a824,72
#2a1a15,#d4ba6a,518
#2a1a15,#6b7b80,38
#2a1a15,#1a152a,25
#2a1a15,#28232a,50
#2a1a15,#2a2325,215
#2a1a15,#2a2328,111
#2a1a15,#d4856a,291
#2a1a15,#2a151a,356
#2a1a15,#d4bab1,356
#2a1a15,#252a15,27
#2a1a15,#282a23,86
#2a1a15,#2a2515,472
#2a1a15,#2a2823,292
#2a1a15,#7b806b,59
#2a1a15,#806b70,48
#2a1a15,#804050,21
#2a1a15,#2a1525,62
#2a1a15,#d4b1ba,33
#2a1a15,#2a0710,58
#2a1a15,#252a23,20
#2a1a15,#23282a,15
#2a1a15,#232a25,26
#2a1a15,#232a28,14
#2a1a15,#6b8070,14
#2a1a15,#6b807b,19
#2a1a15,#b1bad4,109
#2a1a15,#806616,185
#2a1a15,#6a85d4,23
#2a1a15,#cbd4b1,107
#2a1a15,#2a2107,128
#2a1a15,#405080,14
#2a1a15,#6b7080,26
#2a1a15,#706b80,24
#2a1a15,#407080,10
#2a1a15,#25152a,18
#2a1a15,#15252a,14
#2a1a15,#b1cbd4,69
#2a1a15,#152a25,5
#2a1a15,#708040,13
#2a1a15,#07102a,7
#2a1a15,#806b7b,16
#2a1a15,#b1d4cb,24
#2a1a15,#b1d4ba,15
#2a1a15,#bad4b1,27
#2a1a15,#6abad4,7
#2a1a15,#bad46a,6
#2a1a15,#7b6b80,12
#2a1a15,#bab1d4,50
#2a1a15,#cbb1d4,18
#2a1a15,#70806b,13
#2a1a15,#d4b1cb,17
#2a1a15,#1a2a15,2
#2a1a15,#152a1a,4
#2a1007,#151a2a,8
#2a1007,#23252a,10
#2a1007,#25232a,3
#2a1007,#803116,421
#2a1007,#805040,474
#2a1007,#807040,378
#2a1007,#d45124,83
#2a1007,#d4a824,97
#2a1007,#d4ba6a,355
#2a1007,#d4856a,173
#2a1007,#2a151a,133
#2a1007,#80706b,97
#2a1007,#d4bab1,202
#2a1007,#d4cbb1,327
#2a1007,#1a2a15,3
#2a1007,#252a15,26
#2a1007,#2a2107,168
#2a1007,#2a2515,215
#2a1007,#2a2523,107
#2a1007,#807b6b,89
#2a1007,#2a0710,61
#2a1007,#806b70,13
#2a1007,#d4b1ba,24
#2a1007,#405080,7
#2a1007,#6b7080,11
#2a1007,#806616,210
#2a1007,#6a85d4,12
#2a1007,#70806b,4
#2a1007,#7b806b,17
#2a1007,#b1d4ba,6
#2a1007,#bad4b1,12
#2a1007,#b1bad4,55
#2a1007,#b1cbd4,33
#2a1007,#6b7b80,10
#2a1007,#2a2823,50
#2a1007,#cbd4b1,68
#2a1007,#282a23,15
#2a1007,#706b80,9
#2a1007,#cbb1d4,13
#2a1007,#25152a,5
#2a1007,#2a1525,15
#2a1007,#2a2325,19
#2a1007,#07102a,5
#2a1007,#1a152a,8
#2a1007,#15252a,5
#2a1007,#152a25,2
#2a1007,#232a25,3
#2a1007,#804050,7
#2a1007,#407080,6
#2a1007,#708040,8
#2a1007,#b1d4cb,14
#2a1007,#806b7b,4
#2a1007,#6b8070,5
#2a1007,#6b807b,6
#2a1007,#7b6b80,2
#2a1007,#bab1d4,28
#2a1007,#d4b1cb,9
#2a1007,#6abad4,3
#2a1007,#2a2328,13
#2a1007,#28232a,4
#2a1007,#23282a,1
#2a1007,#232a28,2
#2a1007,#252a23,1
#2a1007,#152a1a,1
#2a1007,#bad46a,2
#7b806b,#282a23,95
#7b806b,#2a2515,101
#7b806b,#2a2523,72
#7b806b,#2a2823,111
#7b806b,#807040,181
#7b806b,#807b6b,289
#7b806b,#252a15,27
#7b806b,#805040,50
#7b806b,#80706b,69
#7b806b,#d4bab1,54
#7b806b,#23252a,23
#7b806b,#25232a,8
#7b806b,#cbd4b1,131
#7b806b,#d4856a,18
#7b806b,#d4ba6a,85
#7b806b,#252a23,23
#7b806b,#d4cbb1,245
#7b806b,#708040,39
#7b806b,#70806b,94
#7b806b,#6b7b80,50
#7b806b,#6b8070,61
#7b806b,#6b807b,68
#7b806b,#803116,11
#7b806b,#b1d4ba,21
#7b806b,#bad4b1,40
#7b806b,#b1bad4,30
#7b806b,#b1cbd4,53
#7b806b,#232a25,15
#7b806b,#232a28,15
#7b806b,#2a2107,25
#7b806b,#1a152a,3
#7b806b,#28232a,4
#7b806b,#6b7080,30
#7b806b,#706b80,7
#7b806b,#23282a,9
#7b806b,#152a25,4
#7b806b,#bab1d4,3
#7b806b,#cbb1d4,1
#7b806b,#806616,24
#7b806b,#151a2a,9
#7b806b,#407080,11
#7b806b,#6abad4,8
#7b806b,#d4a824,8
#7b806b,#b1d4cb,41
#7b806b,#2a2325,9
#7b806b,#2a2328,4
#7b806b,#bad46a,5
#7b806b,#405080,5
#7b806b,#1a2a15,3
#7b806b,#15252a,5
#7b806b,#d45124,3
#7b806b,#152a1a,2
#7b806b,#6a85d4,3
#7b806b,#806b70,3
#7b806b,#2a151a,2
#7b806b,#2a1525,2
#7b806b,#25152a,1
#6b8070,#23282a,17
#6b8070,#232a25,19
#6b8070,#232a28,24
#6b8070,#2a2523,12
#6b8070,#6b7b80,49
#6b8070,#6b807b,101
#6b8070,#80706b,18
#6b8070,#2a2823,18
#6b8070,#70806b,80
#6b8070,#807b6b,42
#6b8070,#d4cbb1,43
#6b8070,#23252a,21
#6b8070,#6b7080,19
#6b8070,#d4bab1,17
#6b8070,#252a23,14
#6b8070,#cbd4b1,43
#6b8070,#b1bad4,16
#6b8070,#b1d4ba,28
#6b8070,#2a2515,16
#6b8070,#807040,27
#6b8070,#282a23,18
#6b8070,#252a15,12
#6b8070,#2a2107,2
#6b8070,#bad4b1,25
#6b8070,#803116,1
#6b8070,#806616,2
#6b8070,#d4a824,4
#6b8070,#d4ba6a,20
#6b8070,#407080,14
#6b8070,#708040,13
#6b8070,#15252a,11
#6b8070,#2a151a,1
#6b8070,#706b80,2
#6b8070,#b1d4cb,28
#6b8070,#6abad4,3
#6b8070,#b1cbd4,26
#6b8070,#405080,6
#6b8070,#d4856a,4
#6b8070,#152a25,9
#6b8070,#152a1a,4
#6b8070,#151a2a,6
#6b8070,#1a2a15,5
#6b8070,#6a85d4,1
#6b8070,#25232a,2
#6b8070,#805040,6
#6b8070,#d4b1ba,1
#6b8070,#28232a,1
#6b8070,#2a2325,1
#6b8070,#2a2328,1
#6b8070,#d45124,1
#6b8070,#bad46a,2
#6b8070,#bab1d4,1
#6b8070,#804050,1
#23252a,#151a2a,65
#23252a,#25232a,80
#23252a,#803116,11
#23252a,#805040,76
#23252a,#807040,65
#23252a,#d45124,5
#23252a,#d4a824,6
