id,label,hex,r,g,b
#2a1a15,#2a1a15,#2a1a15,42,26,21
#2a1007,#2a1007,#2a1007,42,16,7
#7b806b,#7b806b,#7b806b,123,128,107
#6b8070,#6b8070,#6b8070,107,128,112
#23252a,#23252a,#23252a,35,37,42
#282a23,#282a23,#282a23,40,42,35
#706b80,#706b80,#706b80,112,107,128
#b1bad4,#b1bad4,#b1bad4,177,186,212
#806b7b,#806b7b,#806b7b,128,107,123
#23282a,#23282a,#23282a,35,40,42
#7b6b80,#7b6b80,#7b6b80,123,107,128
#d4a824,#d4a824,#d4a824,212,168,36
#d4b1cb,#d4b1cb,#d4b1cb,212,177,203
#2a2823,#2a2823,#2a2823,42,40,35
#d4bab1,#d4bab1,#d4bab1,212,186,177
#804050,#804050,#804050,128,64,80
#252a23,#252a23,#252a23,37,42,35
#b1d4ba,#b1d4ba,#b1d4ba,177,212,186
#1a2a15,#1a2a15,#1a2a15,26,42,21
#15252a,#15252a,#15252a,21,37,42
#80706b,#80706b,#80706b,128,112,107
#803116,#803116,#803116,128,49,22
#232a25,#232a25,#232a25,35,42,37
#bab1d4,#bab1d4,#bab1d4,186,177,212
#d45124,#d45124,#d45124,212,81,36
#2a2328,#2a2328,#2a2328,42,35,40
#232a28,#232a28,#232a28,35,42,40
#2a1525,#2a1525,#2a1525,42,21,37
#2a0710,#2a0710,#2a0710,42,7,16
#70806b,#70806b,#70806b,112,128,107
#2a2325,#2a2325,#2a2325,42,35,37
#807b6b,#807b6b,#807b6b,128,123,107
#152a25,#152a25,#152a25,21,42,37
#1a152a,#1a152a,#1a152a,26,21,42
#252a15,#252a15,#252a15,37,42,21
#407080,#407080,#407080,64,112,128
#d4b1ba,#d4b1ba,#d4b1ba,212,177,186
#b1cbd4,#b1cbd4,#b1cbd4,177,203,212
#cbb1d4,#cbb1d4,#cbb1d4,203,177,212
#2a151a,#2a151a,#2a151a,42,21,26
#151a2a,#151a2a,#151a2a,21,26,42
#806616,#806616,#806616,128,102,22
#d4ba6a,#d4ba6a,#d4ba6a,212,186,106
#6abad4,#6abad4,#6abad4,106,186,212
#2a2515,#2a2515,#2a2515,42,37,21
#07102a,#07102a,#07102a,7,16,42
#bad46a,#bad46a,#bad46a,186,212,106
#d4856a,#d4856a,#d4856a,212,133,106
#6b7b80,#6b7b80,#6b7b80,107,123,128
#405080,#405080,#405080,64,80,128
#6b7080,#6b7080,#6b7080,107,112,128
#806b70,#806b70,#806b70,128,107,112
#807040,#807040,#807040,128,112,64
#6b807b,#6b807b,#6b807b,107,128,123
#6a85d4,#6a85d4,#6a85d4,106,133,212
#bad4b1,#bad4b1,#bad4b1,186,212,177
#25152a,#25152a,#25152a,37,21,42
#805040,#805040,#805040,128,80,64
#152a1a,#152a1a,#152a1a,21,42,26
#2a2107,#2a2107,#2a2107,42,33,7
#708040,#708040,#708040,112,128,64
#b1d4cb,#b1d4cb,#b1d4cb,177,212,203
#cbd4b1,#cbd4b1,#cbd4b1,203,212,177
#25232a,#25232a,#25232a,37,35,42
#2a2523,#2a2523,#2a2523,42,37,35
#28232a,#28232a,#28232a,40,35,42
#d4cbb1,#d4cbb1,#d4cbb1,212,203,177
