path,author_name,painting_name,image_url,x,y
Artists2/Corneliu Michailescu/Harlequins.jpg,Corneliu Michailescu,Harlequins,https://uploads2.wikiart.org/images/corneliu-michailescu/harlequins.jpg!Large.jpg,0.006463701954735366,-0.00022152696217982824
Artists2/Fernand Leger/1St State Church Of Assy 1947.jpg,Fernand Leger,1St State Church Of Assy 1947,https://uploads5.wikiart.org/images/fernand-leger/1st-state-church-of-assy-1947.jpg!Large.jpg,-0.057285227630982816,0.014199112715572932
Artists2/Fernand Leger/A Disc In The City 1919.jpg,Fernand Leger,A Disc In The City 1919,https://uploads8.wikiart.org/images/fernand-leger/a-disc-in-the-city-1919.jpg!Large.jpg,-0.030795639444860932,-0.01533296568181246
Artists2/Fernand Leger/A Mosaic Model For The Crypt Of The Memorial At High Mardasson 1947.jpg,Fernand Leger,A Mosaic Model For The Crypt Of The Memorial At High Mardasson 1947,https://uploads6.wikiart.org/images/fernand-leger/a-mosaic-model-for-the-crypt-of-the-memorial-at-high-mardasson-1947.jpg,-0.05560549741446917,0.011128199591589234
Artists2/Fernand Leger/A Mosaic Model For The Crypt Of The Memorial At High Mardasson.jpg,Fernand Leger,A Mosaic Model For The Crypt Of The Memorial At High Mardasson,https://uploads2.wikiart.org/images/fernand-leger/a-mosaic-model-for-the-crypt-of-the-memorial-at-high-mardasson.jpg!Large.jpg,-0.06791092024188194,0.013694499061394602
Artists2/Fernand Leger/A Worker With The Lamp 1951.jpg,Fernand Leger,A Worker With The Lamp 1951,https://uploads3.wikiart.org/images/fernand-leger/a-worker-with-the-lamp-1951.jpg!Large.jpg,0.016305265200953746,0.014430757347046566
Artists2/Fernand Leger/Acrobats 2.jpg,Fernand Leger,Acrobats 2,https://uploads4.wikiart.org/images/fernand-leger/acrobats-2.jpg!Large.jpg,-0.0013915623676041195,-0.013373110785648816
Artists2/Fernand Leger/Acrobats And Clowns 1950.jpg,Fernand Leger,Acrobats And Clowns 1950,https://uploads8.wikiart.org/images/fernand-leger/acrobats-and-clowns-1950.jpg,-0.002123679634953589,-0.012212797519278238
Artists2/Fernand Leger/Acrobats In Gray 1944.jpg,Fernand Leger,Acrobats In Gray 1944,https://uploads6.wikiart.org/images/fernand-leger/acrobats-in-gray-1944.jpg!Large.jpg,-0.0018693566039650418,-0.014346561114705458
Artists2/Fernand Leger/Acrobats In The Circus 1918.jpg,Fernand Leger,Acrobats In The Circus 1918,https://uploads3.wikiart.org/images/fernand-leger/acrobats-in-the-circus-1918.jpg!Large.jpg,-0.002021889591605157,-0.0158149340928559
Artists2/Fernand Leger/Acrobats.jpg,Fernand Leger,Acrobats,https://uploads2.wikiart.org/images/fernand-leger/acrobats.jpg!Large.jpg,-0.0019174932003664755,-0.014306908248084057
Artists2/Fernand Leger/Agricultural Machinery 1953.jpg,Fernand Leger,Agricultural Machinery 1953,https://uploads3.wikiart.org/images/fernand-leger/agricultural-machinery-1953.jpg!Large.jpg,-0.0025550660140298397,-0.027599280468270974
Artists2/Fernand Leger/Animated Landscape 1921.jpg,Fernand Leger,Animated Landscape 1921,https://uploads7.wikiart.org/images/fernand-leger/animated-landscape-1921.jpg,-0.018135140567355792,-0.010177772804377698
Artists2/Fernand Leger/At The Farm 1955.jpg,Fernand Leger,At The Farm 1955,https://uploads1.wikiart.org/images/fernand-leger/at-the-farm-1955.jpg!Large.jpg,-0.02976989581773783,-0.014988479824753808
