path,author_name,painting_name,image_url,x,y
Artists2/Alfred Sisley/A Cardiff Shipping Lane 1897.jpg,Alfred Sisley,A Cardiff Shipping Lane 1897,https://uploads4.wikiart.org/images/alfred-sisley/a-cardiff-shipping-lane-1897.jpg!Large.jpg,-0.00834841305688899,-0.0029865624161459804
Artists2/Alfred Sisley/A Corner Of The Roches Courtaut Woods June 1884.jpg,Alfred Sisley,A Corner Of The Roches Courtaut Woods June 1884,https://uploads5.wikiart.org/images/alfred-sisley/a-corner-of-the-roches-courtaut-woods-june-1884.jpg!Large.jpg,-0.008279760763666504,-0.002669564446800578
Artists2/Alfred Sisley/A February Morning At Moret Sur Loing 1881.jpg,Alfred Sisley,A February Morning At Moret Sur Loing 1881,https://uploads0.wikiart.org/images/alfred-sisley/a-february-morning-at-moret-sur-loing-1881.jpg!Large.jpg,-0.009548739285617669,-0.0034027351782700043
Artists2/Alfred Sisley/A May Morning In Moret 1886.jpg,Alfred Sisley,A May Morning In Moret 1886,https://uploads3.wikiart.org/images/alfred-sisley/a-may-morning-in-moret-1886.jpg!Large.jpg,-0.009415297600085897,-0.0032821762716712904
Artists2/Alfred Sisley/A Normandy Farm.jpg,Alfred Sisley,A Normandy Farm,https://uploads8.wikiart.org/images/alfred-sisley/a-normandy-farm.jpg,-0.005743167522424383,-0.0020642140099611413
Artists2/Alfred Sisley/A Park In Louveciennes 1874.jpg,Alfred Sisley,A Park In Louveciennes 1874,https://uploads3.wikiart.org/images/alfred-sisley/a-park-in-louveciennes-1874.jpg!Large.jpg,-0.009624928833074338,-0.0038630802997420203
Artists2/Alfred Sisley/A Path In Louveciennes 1876.jpg,Alfred Sisley,A Path In Louveciennes 1876,https://uploads3.wikiart.org/images/alfred-sisley/a-path-in-louveciennes-1876.jpg!Large.jpg,-0.009801027418105188,-0.004464627308552534
Artists2/Alfred Sisley/A Road In Seine Et Marne 1875.jpg,Alfred Sisley,A Road In Seine Et Marne 1875,https://uploads5.wikiart.org/images/alfred-sisley/a-road-in-seine-et-marne-1875.jpg!Large.jpg,-0.009671603788251456,-0.003427147443622305
Artists2/Alfred Sisley/A Street In Louveciennes 1878.jpg,Alfred Sisley,A Street In Louveciennes 1878,https://uploads5.wikiart.org/images/alfred-sisley/a-street-in-louveciennes-1878.jpg!Large.jpg,-0.011366214384124902,-0.0038872273850855004
Artists2/Alfred Sisley/A Turn In The Road 1885.jpg,Alfred Sisley,A Turn In The Road 1885,https://uploads8.wikiart.org/images/alfred-sisley/a-turn-in-the-road-1885.jpg!Large.jpg,-0.00762483028192221,-0.0028283069149144953
Artists2/Alfred Sisley/A Turn Of The River Loing Summer 1896 1.jpg,Alfred Sisley,A Turn Of The River Loing Summer 1896 1,https://uploads6.wikiart.org/images/alfred-sisley/a-turn-of-the-river-loing-summer-1896-1.jpg!Large.jpg,-0.009462907822840797,-0.0033315954442383975
Artists2/Alfred Sisley/A Turn Of The River Loing Summer 1896.jpg,Alfred Sisley,A Turn Of The River Loing Summer 1896,https://uploads4.wikiart.org/images/alfred-sisley/a-turn-of-the-river-loing-summer-1896.jpg!Large.jpg,-0.009937319003948324,-0.0035510526742680015
Artists2/Alfred Sisley/A Village Street In Winter 1893.jpg,Alfred Sisley,A Village Street In Winter 1893,https://uploads7.wikiart.org/images/alfred-sisley/a-village-street-in-winter-1893.jpg!Large.jpg,-0.00800106776132751,-0.00540848435048396
Artists2/Alfred Sisley/Abandoned Cottage 1894.jpg,Alfred Sisley,Abandoned Cottage 1894,https://uploads7.wikiart.org/images/alfred-sisley/abandoned-cottage-1894.jpg!Large.jpg,-0.007907236017212028,-0.0026992945856806447
Artists2/Alfred Sisley/Abandoned House 1887.jpg,Alfred Sisley,Abandoned House 1887,https://uploads5.wikiart.org/images/alfred-sisley/abandoned-house-1887.jpg!Large.jpg,-0.005306780432126919,-0.001765267127318427
Artists2/Alfred Sisley/Abandoned House.jpg,Alfred Sisley,Abandoned House,https://uploads0.wikiart.org/images/alfred-sisley/abandoned-house.jpg!Large.jpg,-0.00846068044334306,-0.0029075691224793388
Artists2/Alfred Sisley/Alley Of Chestnut Trees.jpg,Alfred Sisley,Alley Of Chestnut Trees,https://uploads8.wikiart.org/images/alfred-sisley/alley-of-chestnut-trees.jpg!Large.jpg,-0.006926066361034203,-0.0027072043387206426
Artists2/Alfred Sisley/Along The Woods In Autumn 1885.jpg,Alfred Sisley,Along The Woods In Autumn 1885,https://uploads6.wikiart.org/images/alfred-sisley/along-the-woods-in-autumn-1885.jpg!Large.jpg,-0.009311449947883016,-0.003465820436892761
Artists2/Alfred Sisley/Along The Woods In Spring 1889.jpg,Alfred Sisley,Along The Woods In Spring 1889,https://uploads6.wikiart.org/images/alfred-sisley/along-the-woods-in-spring-1889.jpg!Large.jpg,-0.009371436323709103,-0.0033672990571606437
Artists2/Alfred Sisley/Among The Vines Near Louveciennes 1874.jpg,Alfred Sisley,Among The Vines Near Louveciennes 1874,https://uploads5.wikiart.org/images/alfred-sisley/among-the-vines-near-louveciennes-1874.jpg!Large.jpg,-0.009786110603721629,-0.0033412958612377636
Artists2/Alfred Sisley/An August Afternoon Near Veneux 1881.jpg,Alfred Sisley,An August Afternoon Near Veneux 1881,https://uploads3.wikiart.org/images/alfred-sisley/an-august-afternoon-near-veneux-1881.jpg!Large.jpg,-0.011004746860528021,-0.003955003023654796
Artists2/Alfred Sisley/An Autumn Evening Near Paris 1879.jpg,Alfred Sisley,An Autumn Evening Near Paris 1879,https://uploads8.wikiart.org/images/alfred-sisley/an-autumn-evening-near-paris-1879.jpg,-0.0076353045054331665,-0.002647298086586185
Artists2/Alfred Sisley/An Old Cottage At Sablons 1885.jpg,Alfred Sisley,An Old Cottage At Sablons 1885,https://uploads6.wikiart.org/images/alfred-sisley/an-old-cottage-at-sablons-1885.jpg!Large.jpg,-0.007224576108015406,-0.0024487085573139506
Artists2/Alfred Sisley/Apple Trees In Bloom 1880.jpg,Alfred Sisley,Apple Trees In Bloom 1880,https://uploads0.wikiart.org/images/alfred-sisley/apple-trees-in-bloom-1880.jpg,-0.010298747590489373,-0.003653198784401343
Artists2/Alfred Sisley/Apple Trees In Flower Spring Morning Pommiers En Fleurs Louveciennes 1873.jpg,Alfred Sisley,Apple Trees In Flower Spring Morning Pommiers En Fleurs Louveciennes 1873,https://uploads4.wikiart.org/images/alfred-sisley/apple-trees-in-flower-spring-morning-pommiers-en-fleurs-louveciennes-1873.jpg!Large.jpg,-0.010034914030542946,-0.0035100353730700105
