path,author_name,painting_name,image_url,x,y
Artists2/Adolphe Joseph Thomas Monticelli/As You Like It.jpg,Adolphe Joseph Thomas Monticelli,As You Like It,https://uploads0.wikiart.org/images/adolphe-joseph-thomas-monticelli/as-you-like-it.jpg!Large.jpg,-0.017069573040609763,0.04226758100531365
Artists2/Adolphe Joseph Thomas Monticelli/At The Well.jpg,Adolphe Joseph Thomas Monticelli,At The Well,https://uploads6.wikiart.org/images/adolphe-joseph-thomas-monticelli/at-the-well.jpg!Large.jpg,-0.004657878186851447,-0.004243981159195787
Artists2/Adolphe Joseph Thomas Monticelli/Bouquet Of Flowers 1.jpg,Adolphe Joseph Thomas Monticelli,Bouquet Of Flowers 1,https://uploads6.wikiart.org/images/adolphe-joseph-thomas-monticelli/bouquet-of-flowers-1.jpg!Large.jpg,-0.0017148667205305564,-0.0031784883215695736
Artists2/Adolphe Joseph Thomas Monticelli/Bouquet Of Flowers.jpg,Adolphe Joseph Thomas Monticelli,Bouquet Of Flowers,https://uploads4.wikiart.org/images/adolphe-joseph-thomas-monticelli/bouquet-of-flowers.jpg!Large.jpg,-0.0013019959231913582,-0.0029967102625140535
Artists2/Adolphe Joseph Thomas Monticelli/Cock Fight In Front Of A Group Of Young Women.jpg,Adolphe Joseph Thomas Monticelli,Cock Fight In Front Of A Group Of Young Women,https://uploads4.wikiart.org/images/adolphe-joseph-thomas-monticelli/cock-fight-in-front-of-a-group-of-young-women.jpg!Large.jpg,-0.002187943401114279,-0.0022639139215200874
Artists2/Adolphe Joseph Thomas Monticelli/Elegant Gathering.jpg,Adolphe Joseph Thomas Monticelli,Elegant Gathering,https://uploads3.wikiart.org/images/adolphe-joseph-thomas-monticelli/elegant-gathering.jpg!Large.jpg,-0.004302565740137054,-0.00448017088903883
Artists2/Adolphe Joseph Thomas Monticelli/Elegant Women And Cupids.jpg,Adolphe Joseph Thomas Monticelli,Elegant Women And Cupids,https://uploads1.wikiart.org/images/adolphe-joseph-thomas-monticelli/elegant-women-and-cupids.jpg!Large.jpg,-0.0029905648922500584,-0.0031290788810006023
Artists2/Adolphe Joseph Thomas Monticelli/Empress Eugenie And Her Attendants.jpg,Adolphe Joseph Thomas Monticelli,Empress Eugenie And Her Attendants,https://uploads2.wikiart.org/images/adolphe-joseph-thomas-monticelli/empress-eugenie-and-her-attendants.jpg!Large.jpg,-0.003546449518222298,-0.003363722763801429
Artists2/Adolphe Joseph Thomas Monticelli/Farmyard With Donkeys And Roosters.jpg,Adolphe Joseph Thomas Monticelli,Farmyard With Donkeys And Roosters,https://uploads2.wikiart.org/images/adolphe-joseph-thomas-monticelli/farmyard-with-donkeys-and-roosters.jpg!Large.jpg,-0.004708524015522654,-0.0043985027910482056
Artists2/Adolphe Joseph Thomas Monticelli/Flowers In A Vase.jpg,Adolphe Joseph Thomas Monticelli,Flowers In A Vase,https://uploads3.wikiart.org/images/adolphe-joseph-thomas-monticelli/flowers-in-a-vase.jpg!Large.jpg,-0.0017782408390866864,-0.0032578417996950333
Artists2/Adolphe Joseph Thomas Monticelli/Gallant Party.jpg,Adolphe Joseph Thomas Monticelli,Gallant Party,https://uploads8.wikiart.org/images/adolphe-joseph-thomas-monticelli/gallant-party.jpg!Large.jpg,-0.004050596346978178,-0.002802043081752937
Artists2/Adolphe Joseph Thomas Monticelli/Garden Party.jpg,Adolphe Joseph Thomas Monticelli,Garden Party,https://uploads7.wikiart.org/images/adolphe-joseph-thomas-monticelli/garden-party.jpg!Large.jpg,-0.002996587335336326,-0.0024955374544254664
Artists2/Adolphe Joseph Thomas Monticelli/Gathering Of Elegant Women.jpg,Adolphe Joseph Thomas Monticelli,Gathering Of Elegant Women,https://uploads3.wikiart.org/images/adolphe-joseph-thomas-monticelli/gathering-of-elegant-women.jpg!Large.jpg,-0.004316184461616514,-0.004416132137759336
Artists2/Adolphe Joseph Thomas Monticelli/Italian Fishing Vessels At Dusk.jpg,Adolphe Joseph Thomas Monticelli,Italian Fishing Vessels At Dusk,https://uploads8.wikiart.org/images/adolphe-joseph-thomas-monticelli/italian-fishing-vessels-at-dusk.jpg!Large.jpg,-0.004153260494121742,-0.0036795926609654852
Artists2/Adolphe Joseph Thomas Monticelli/Margaree Faust And Mephisto.jpg,Adolphe Joseph Thomas Monticelli,Margaree Faust And Mephisto,https://uploads4.wikiart.org/images/adolphe-joseph-thomas-monticelli/margaree-faust-and-mephisto.jpg!Large.jpg,0.019054427771844986,0.0035566809543252998
Artists2/Adolphe Joseph Thomas Monticelli/Oriental Scene 1876.jpg,Adolphe Joseph Thomas Monticelli,Oriental Scene 1876,https://uploads5.wikiart.org/images/adolphe-joseph-thomas-monticelli/oriental-scene-1876.jpg!Large.jpg,-0.00517101563155643,-0.004568522469265564
