path,art_movement,author_name,painting_name,x,y
Artists2/Adriaen Brouwer/A Boor Asleep.jpg,Baroque,Adriaen Brouwer,A Boor Asleep,0.001975354691123177,0.0033805823135770944
Artists2/Adriaen Brouwer/Drinkers In The Yard.jpg,Baroque,Adriaen Brouwer,Drinkers In The Yard,0.0013665393011003894,0.0030854619712450543
Artists2/Adriaen Brouwer/Dune Landscape By Moonlight.jpg,Baroque,Adriaen Brouwer,Dune Landscape By Moonlight,0.0011132220010684505,0.0025457432724567412
Artists2/Adriaen Brouwer/Farmers Fight Party.jpg,Baroque,Adriaen Brouwer,Farmers Fight Party,0.0019114510449096285,0.00300819048204043
Artists2/Adriaen Brouwer/Father S Of Unpleasant Duties 1631.jpg,Baroque,Adriaen Brouwer,Father S Of Unpleasant Duties 1631,0.0012182600216211782,0.0019646861661930244
Artists2/Adriaen Brouwer/Fumatore.jpg,Baroque,Adriaen Brouwer,Fumatore,0.001461436583921198,0.0018534372747513986
Artists2/Adriaen Brouwer/In The Tavern 1.jpg,Baroque,Adriaen Brouwer,In The Tavern 1,0.0019768264400262868,0.0033814407004302232
Artists2/Adriaen Brouwer/In The Tavern.jpg,Baroque,Adriaen Brouwer,In The Tavern,0.0018880546739418686,0.003278612313375269
Artists2/Adriaen Brouwer/Inn With Drunken Peasants.jpg,Baroque,Adriaen Brouwer,Inn With Drunken Peasants,0.0017343296199806841,0.002960808168099628
Artists2/Adriaen Brouwer/Interior Of A Tavern.jpg,Baroque,Adriaen Brouwer,Interior Of A Tavern,0.0017227138422442909,0.003004979941150024
Artists2/Adriaen Brouwer/Interior With Smokers 1632.jpg,Baroque,Adriaen Brouwer,Interior With Smokers 1632,0.001473619419580879,0.002579790597745386
Artists2/Adriaen Brouwer/Jan Davidszoon De Heem.jpg,Baroque,Adriaen Brouwer,Jan Davidszoon De Heem,0.0014923718180514382,0.0013057370199868847
Artists2/Adriaen Brouwer/Moonlit Landscape.jpg,Baroque,Adriaen Brouwer,Moonlit Landscape,0.0014575642864825033,0.00307818513114101
Artists2/Adriaen Brouwer/Peasant Inn.jpg,Baroque,Adriaen Brouwer,Peasant Inn,0.0011420799588429229,0.0018508698749700272
Artists2/Adriaen Brouwer/Peasants Playing Cards In A Tavern.jpg,Baroque,Adriaen Brouwer,Peasants Playing Cards In A Tavern,0.0018019730137288053,0.003087143095764597
Artists2/Adriaen Brouwer/Peasants Smoking And Drinking.jpg,Baroque,Adriaen Brouwer,Peasants Smoking And Drinking,0.0018755831235010316,0.003224505237535662
Artists2/Adriaen Brouwer/Portrait Of A Man.jpg,Baroque,Adriaen Brouwer,Portrait Of A Man,0.0014661261177570267,0.00221246764444875
Artists2/Adriaen Brouwer/Scene At The Inn.jpg,Baroque,Adriaen Brouwer,Scene At The Inn,0.001732854320422891,0.003005713438070555
Artists2/Adriaen Brouwer/Smokers In An Inn.jpg,Baroque,Adriaen Brouwer,Smokers In An Inn,0.001682510273419147,0.0028695746262729638
Artists2/Adriaen Brouwer/Tavern Scene.jpg,Baroque,Adriaen Brouwer,Tavern Scene,0.001099536777603681,0.0019969895300577627
Artists2/Adriaen Brouwer/The Bitter Drunk.jpg,Baroque,Adriaen Brouwer,The Bitter Drunk,0.0014846024579156247,0.0018241977208138095
Artists2/Adriaen Brouwer/The Pancake Baker.jpg,Baroque,Adriaen Brouwer,The Pancake Baker,0.0013360392820685992,0.0015499535645265362
Artists2/Adriaen Brouwer/The Schlachtfest.jpg,Baroque,Adriaen Brouwer,The Schlachtfest,0.00157142081982476,0.002305661669028268
Artists2/Adriaen Brouwer/Twilight Landscape.jpg,Baroque,Adriaen Brouwer,Twilight Landscape,0.001356146421745117,0.0033024761216732443
Artists2/Adriaen Brouwer/Two Peasants.jpg,Baroque,Adriaen Brouwer,Two Peasants,0.0015734541836715681,0.0012753526177853866
Artists2/Adriaen Brouwer/Village Scene With Men Drinking.jpg,Baroque,Adriaen Brouwer,Village Scene With Men Drinking,0.001090042715335663,0.0024042224956583166
Artists2/Adriaen Brouwer/Youth Making A Face.jpg,Baroque,Adriaen Brouwer,Youth Making A Face,0.0012315376151824443,0.0014996572888725432
Artists2/Adriaen Van De Velde/A Classical Landscape 1671.jpg,Baroque,Adriaen Van De Velde,A Classical Landscape 1671,0.001265843330311693,0.003879255903638087
Artists2/Adriaen Van De Velde/A Cow And Three Sheep.jpg,Baroque,Adriaen Van De Velde,A Cow And Three Sheep,0.001155039201555808,0.0035300066374311613
Artists2/Adriaen Van De Velde/Agony In The Garden 1665.jpg,Baroque,Adriaen Van De Velde,Agony In The Garden 1665,0.0012423859070833496,-0.012373939121132597
Artists2/Adriaen Van De Velde/Amusement On The Ice 1669.jpg,Baroque,Adriaen Van De Velde,Amusement On The Ice 1669,0.0011550673802113653,0.003412616885803624
Artists2/Adriaen Van De Velde/Animals By The River 1664.jpg,Baroque,Adriaen Van De Velde,Animals By The River 1664,0.0013637513470479833,0.0043198859259707695
Artists2/Adriaen Van De Velde/Battle.jpg,Baroque,Adriaen Van De Velde,Battle,0.0009721113576007334,0.002605063143101486
Artists2/Adriaen Van De Velde/Beach At Scheveningen.jpg,Baroque,Adriaen Van De Velde,Beach At Scheveningen,0.001340342100869464,0.004369690849661981
Artists2/Adriaen Van De Velde/Beach Scene.jpg,Baroque,Adriaen Van De Velde,Beach Scene,0.0014062532994940605,0.004609816931638392
Artists2/Adriaen Van De Velde/Bull 1659.jpg,Baroque,Adriaen Van De Velde,Bull 1659,0.0013475135291825798,0.002849534669356168
Artists2/Adriaen Van De Velde/Cattle And Goats In A Meadow 1658.jpg,Baroque,Adriaen Van De Velde,Cattle And Goats In A Meadow 1658,0.0012551001538940226,0.003928717268898831
Artists2/Adriaen Van De Velde/Cityscape With Drawbridge 1672.jpg,Baroque,Adriaen Van De Velde,Cityscape With Drawbridge 1672,0.0013942433133273572,0.004488547280541829
Artists2/Adriaen Van De Velde/Cows On A Meadow 1658.jpg,Baroque,Adriaen Van De Velde,Cows On A Meadow 1658,0.0016338406664919505,0.005169585796520979
Artists2/Adriaen Van De Velde/Frozen Canal With Skaters And Hockey Players 1668.jpg,Baroque,Adriaen Van De Velde,Frozen Canal With Skaters And Hockey Players 1668,0.0014401454602670045,0.004449735106172415
Artists2/Adriaen Van De Velde/Golfers On The Ice Near Haarlem 1668.jpg,Baroque,Adriaen Van De Velde,Golfers On The Ice Near Haarlem 1668,0.0011069979432023506,0.002883914500932483
Artists2/Adriaen Van De Velde/Harteveld House On The Vecht In Utrecht.jpg,Baroque,Adriaen Van De Velde,Harteveld House On The Vecht In Utrecht,0.0018204220651539134,0.005855293782132838
Artists2/Adriaen Van De Velde/Landscape With Shepherds.jpg,Baroque,Adriaen Van De Velde,Landscape With Shepherds,0.0014179953067175108,0.004509189262606229
Artists2/Adriaen Van De Velde/Milking A Cow 1666.jpg,Baroque,Adriaen Van De Velde,Milking A Cow 1666,0.00142053208197386,0.0042508638730458246
