id,label
group-portraits,group-portraits
female-portraits,female-portraits
children portraits,children portraits
male-portraits,male-portraits
famous-people,famous-people
allegories-and-symbols,allegories-and-symbols
Christianity,Christianity
saints-and-apostles,saints-and-apostles
St.-Paul,St.-Paul
Jesus-Christ,Jesus-Christ
Greek-and-Roman-Mythology,Greek-and-Roman-Mythology
Crucifixion,Crucifixion
heroes,heroes
gods-and-goddesses,gods-and-goddesses
Cupid-and-Psyche,Cupid-and-Psyche
Virgin-Mary,Virgin-Mary
Virgin-and-Child,Virgin-and-Child
St. John the Baptist,St. John the Baptist
markets-and-shops,markets-and-shops
boats-and-ships,boats-and-ships
streets-and-squares,streets-and-squares
houses-and-buildings,houses-and-buildings
rivers-and-waterfalls,rivers-and-waterfalls
furniture-and-decoration,furniture-and-decoration
military-and-soldiers,military-and-soldiers
cows,cows
countryside,countryside
Venice,Venice
seas-and-oceans,seas-and-oceans
forests-and-trees,forests-and-trees
celebrations-and-festivals,celebrations-and-festivals
St.-Peter,St.-Peter
animals,animals
reading-and-writing,reading-and-writing
arts-and-crafts,arts-and-crafts
double-portraits,double-portraits
female-nude,female-nude
knights-and-warriors,knights-and-warriors
horses,horses
couples,couples
Annunciation,Annunciation
games-and-sport,games-and-sport
family-portraits,family-portraits
angels-and-archangels,angels-and-archangels
dogs,dogs
punishments-and-tortures,punishments-and-tortures
mother-and-child,mother-and-child
mealtimes,mealtimes
children,children
Old-Testament,Old-Testament
taverns-and-inns,taverns-and-inns
families,families
domestic-settings,domestic-settings
handwork,handwork
folk-architecture,folk-architecture
cliffs-and-rocks,cliffs-and-rocks
male-nude,male-nude
characters-and-emotions,characters-and-emotions
cottages-and-farmhouses,cottages-and-farmhouses
St.-Francis-of-Assisi,St.-Francis-of-Assisi
Holy-Family,Holy-Family
fruits-and-vegetables,fruits-and-vegetables
food-and-beverages,food-and-beverages
Aphrodite/Venus,Aphrodite/Venus
David,David
dishware-and-cutlery,dishware-and-cutlery
designs-and-sketches,designs-and-sketches
Bacchus/Dionysus,Bacchus/Dionysus
nymphs-and-satyrs,nymphs-and-satyrs
