motif,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
Christianity,0.470588,1487,0.04907,0.653846,0.61684,0.080399
saints-and-apostles,0.338235,1152,0.062913,0.581197,0.564942,0.059782
Jesus-Christ,0.220588,626,0.013382,0.548387,0.330555,0.031853
Virgin-Mary,0.176471,611,0.022976,0.507463,0.313114,0.030822
angels-and-archangels,0.25,395,0.064622,0.535433,0.225354,0.021913
male-portraits,0.382353,295,0.004229,0.618182,0.002941,0.04804
Virgin-and-Child,0.117647,260,0.0,0.441558,0.136517,0.013996
famous-people,0.308824,244,0.054669,0.576271,0.009907,0.037577
female-portraits,0.544118,230,0.073364,0.686869,0.006386,0.038983
Greek-and-Roman-Mythology,0.264706,200,0.05171,0.53125,0.000208,0.03758
animals,0.426471,184,0.042358,0.635514,0.00259,0.032647
Holy-Family,0.117647,175,0.0,0.441558,0.085535,0.010155
St. John the Baptist,0.117647,163,0.0,0.417178,0.09346,0.009531
forests-and-trees,0.220588,143,0.006681,0.507463,0.000295,0.025694
houses-and-buildings,0.264706,115,0.006102,0.519084,0.00017,0.022674
countryside,0.235294,98,0.00966,0.519084,0.000106,0.022915
boats-and-ships,0.279412,94,0.098002,0.535433,0.003022,0.018614
female-nude,0.161765,88,0.002512,0.478873,0.002811,0.016547
couples,0.294118,87,0.098976,0.544,0.000101,0.018007
gods-and-goddesses,0.117647,85,0.008272,0.419753,1.9e-05,0.016735
rivers-and-waterfalls,0.220588,82,0.005249,0.507463,0.000166,0.015606
group-portraits,0.308824,78,0.034518,0.586207,0.001596,0.015603
Crucifixion,0.117647,74,0.00698,0.417178,0.041149,0.00555
dishware-and-cutlery,0.117647,72,0.000752,0.453333,3.4e-05,0.014578
male-nude,0.147059,71,0.01379,0.433121,0.00013,0.014195
fruits-and-vegetables,0.102941,70,0.017592,0.450331,4.3e-05,0.014236
food-and-beverages,0.088235,70,0.0,0.435897,3.5e-05,0.014239
St.-Peter,0.132353,67,0.035315,0.453333,0.0418,0.005744
children portraits,0.264706,64,0.054635,0.511278,0.000258,0.01228
St.-Francis-of-Assisi,0.088235,64,0.001441,0.412121,0.040682,0.005086
dogs,0.235294,58,0.027974,0.503704,0.000157,0.011952
mealtimes,0.220588,55,0.016025,0.503704,0.000118,0.012715
Aphrodite/Venus,0.102941,54,0.001604,0.412121,1.4e-05,0.011154
families,0.205882,53,0.009727,0.503704,4.4e-05,0.012792
nymphs-and-satyrs,0.161765,52,0.002325,0.478873,3.1e-05,0.011174
Cupid-and-Psyche,0.147059,49,0.001791,0.472222,3.1e-05,0.010405
horses,0.176471,46,0.010905,0.53125,0.001609,0.008963
cows,0.161765,46,0.002441,0.48227,0.000111,0.009499
celebrations-and-festivals,0.132353,46,0.009587,0.53125,0.003069,0.010655
folk-architecture,0.205882,43,0.060562,0.48227,3.7e-05,0.011666
seas-and-oceans,0.088235,43,0.00101,0.456376,0.000857,0.009626
children,0.25,42,0.071929,0.566667,0.002262,0.01002
punishments-and-tortures,0.058824,42,0.0,0.43038,0.028814,0.004177
Annunciation,0.058824,42,0.0,0.407186,0.022226,0.004066
domestic-settings,0.191176,40,0.020728,0.492754,3.5e-05,0.01023
Old-Testament,0.102941,37,0.000151,0.492754,0.01583,0.005384
cliffs-and-rocks,0.147059,34,0.001727,0.468966,3.9e-05,0.008124
St.-Paul,0.044118,34,0.0,0.402367,0.023535,0.003762
allegories-and-symbols,0.235294,31,0.072469,0.561983,0.001158,0.007176
taverns-and-inns,0.161765,30,0.065196,0.5,2.5e-05,0.007985
Bacchus/Dionysus,0.117647,30,0.029408,0.427673,1.1e-05,0.007161
Venice,0.058824,29,0.0,0.388571,6.4e-05,0.007307
games-and-sport,0.220588,26,0.043614,0.548387,0.001558,0.006763
streets-and-squares,0.147059,26,0.048397,0.456376,3.2e-05,0.007055
military-and-soldiers,0.191176,25,0.094077,0.544,0.007647,0.004876
mother-and-child,0.191176,24,0.050783,0.548387,0.001472,0.006772
arts-and-crafts,0.176471,24,0.047613,0.5,0.000118,0.006136
reading-and-writing,0.161765,24,0.054103,0.503704,0.000103,0.006428
heroes,0.073529,23,0.010554,0.435897,0.002312,0.005525
double-portraits,0.073529,21,0.0,0.441558,0.000109,0.005261
furniture-and-decoration,0.191176,20,0.054542,0.548387,0.000782,0.006448
David,0.073529,19,0.005267,0.444444,0.009132,0.003675
designs-and-sketches,0.088235,18,0.000219,0.472222,8.2e-05,0.004868
cottages-and-farmhouses,0.117647,17,0.024631,0.450331,1.9e-05,0.005677
family-portraits,0.161765,16,0.060591,0.523077,0.000342,0.004709
knights-and-warriors,0.132353,16,0.02852,0.478873,4.9e-05,0.004724
handwork,0.117647,16,0.013662,0.465753,6e-06,0.005415
markets-and-shops,0.088235,14,0.001694,0.456376,5.6e-05,0.004306
characters-and-emotions,0.102941,9,0.016087,0.450331,2.9e-05,0.003788
