painting_id,motif,weight
painting::Artists2/Cornelis De Vos/Portrait Of A Nobleman And Three Children.jpg,group-portraits,1
painting::Artists2/Cornelis De Vos/Two Daughters Of The Painter.jpg,group-portraits,1
painting::Artists2/Cornelis De Vos/The Family Of The Artist 1635.jpg,group-portraits,1
painting::Artists2/Eustache Le Sueur/A Gathering Of Friends 1642.jpg,group-portraits,1
painting::Artists2/Cornelis De Vos/Family Portrait.jpg,group-portraits,1
painting::Artists2/Cornelis De Vos/Portrait Of Elisabeth Mertens And Her Late Husband.jpg,group-portraits,1
painting::Artists2/Cornelis De Vos/Portrait Of The Artist With His Family.jpg,group-portraits,1
painting::Artists2/Francesco Guardi/Hot Air Balloon Rising.jpg,group-portraits,1
painting::Artists2/Francesco Guardi/The Parlour Of The San Zaccaria Convent 1750.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/Beach At Scheveningen.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/View In Amsterdam.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/View Of The Ancient Castle Of The Dukes Of Burgundy In Brussels 1672.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/The Stone Bridge 1672.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/Cityscape With Drawbridge 1672.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/The Church Of St Severin In Cologne In A Fictive Setting 1672.jpg,group-portraits,1
painting::Artists2/Johannes Vermeer/A Lady And Two Gentlemen.jpg,group-portraits,1
painting::Artists2/Johannes Vermeer/The Procuress 1656.jpg,group-portraits,1
painting::Artists2/Johannes Vermeer/Diana And Her Companions.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/View Of Oudezijds Voorburgwal With The Oude Kerk In Amsterdam.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/The Martelaarsgracht In Amsterdam.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/Amusement On The Ice 1669.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/Golfers On The Ice Near Haarlem 1668.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/Frozen Canal With Skaters And Hockey Players 1668.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/Beach Scene.jpg,group-portraits,1
painting::Artists2/Adriaen Van De Velde/The Beach At Scheveningen 1658.jpg,group-portraits,1
painting::Artists2/Jan Steen/Rhetoricians 1668.jpg,group-portraits,1
painting::Artists2/Jan Steen/Marriage Contract.jpg,group-portraits,1
painting::Artists2/Jan Steen/Robbed Violin Player.jpg,group-portraits,1
painting::Artists2/Jan Steen/Quack.jpg,group-portraits,1
painting::Artists2/Jan Steen/Parrot Cage.jpg,group-portraits,1
painting::Artists2/Jan Steen/Merry Threesom 1672.jpg,group-portraits,1
painting::Artists2/Jan Steen/Wine Is A Mocker 1670.jpg,group-portraits,1
painting::Artists2/Jan Steen/Doctor S Visit 1670.jpg,group-portraits,1
painting::Artists2/Jan Steen/Cheated Groom 1670.jpg,group-portraits,1
painting::Artists2/Jan Steen/Little Collector 1665.jpg,group-portraits,1
