motif_a,motif_b,shared_paintings
group-portraits,animals,3
group-portraits,couples,2
group-portraits,Christianity,1
group-portraits,seas-and-oceans,3
group-portraits,streets-and-squares,1
group-portraits,houses-and-buildings,10
group-portraits,knights-and-warriors,6
group-portraits,markets-and-shops,2
group-portraits,boats-and-ships,6
group-portraits,saints-and-apostles,1
group-portraits,family-portraits,1
group-portraits,male-portraits,10
group-portraits,countryside,1
group-portraits,cliffs-and-rocks,2
group-portraits,celebrations-and-festivals,1
group-portraits,games-and-sport,3
group-portraits,rivers-and-waterfalls,3
group-portraits,female-portraits,2
group-portraits,military-and-soldiers,3
group-portraits,children portraits,5
group-portraits,forests-and-trees,12
female-portraits,Christianity,5
female-portraits,mother-and-child,3
female-portraits,arts-and-crafts,4
female-portraits,fruits-and-vegetables,5
female-portraits,children,1
female-portraits,food-and-beverages,4
female-portraits,domestic-settings,3
female-portraits,knights-and-warriors,1
female-portraits,markets-and-shops,4
female-portraits,taverns-and-inns,1
female-portraits,cows,6
female-portraits,double-portraits,6
female-portraits,allegories-and-symbols,3
female-portraits,designs-and-sketches,4
female-portraits,games-and-sport,2
female-portraits,mealtimes,5
female-portraits,reading-and-writing,8
female-portraits,forests-and-trees,16
female-portraits,Old-Testament,1
female-portraits,animals,19
female-portraits,couples,1
female-portraits,Virgin-Mary,1
female-portraits,houses-and-buildings,3
female-portraits,Greek-and-Roman-Mythology,2
female-portraits,Cupid-and-Psyche,2
female-portraits,dogs,5
female-portraits,angels-and-archangels,2
female-portraits,family-portraits,2
female-portraits,famous-people,47
female-portraits,male-portraits,31
female-portraits,dishware-and-cutlery,3
female-portraits,Jesus-Christ,2
female-portraits,families,1
female-portraits,rivers-and-waterfalls,8
female-portraits,horses,2
female-portraits,children portraits,15
children portraits,animals,10
children portraits,arts-and-crafts,1
children portraits,fruits-and-vegetables,1
children portraits,food-and-beverages,1
children portraits,dogs,4
children portraits,family-portraits,1
children portraits,double-portraits,2
children portraits,cows,1
children portraits,famous-people,5
children portraits,male-portraits,8
children portraits,dishware-and-cutlery,1
children portraits,rivers-and-waterfalls,2
children portraits,mealtimes,1
children portraits,horses,2
children portraits,reading-and-writing,1
children portraits,forests-and-trees,3
male-portraits,animals,19
male-portraits,couples,1
male-portraits,Christianity,1
male-portraits,characters-and-emotions,3
male-portraits,arts-and-crafts,6
male-portraits,houses-and-buildings,3
male-portraits,knights-and-warriors,3
male-portraits,taverns-and-inns,1
male-portraits,markets-and-shops,3
male-portraits,dogs,6
male-portraits,family-portraits,2
male-portraits,double-portraits,10
male-portraits,allegories-and-symbols,2
male-portraits,cows,2
male-portraits,famous-people,146
male-portraits,designs-and-sketches,7
male-portraits,reading-and-writing,5
male-portraits,games-and-sport,2
male-portraits,rivers-and-waterfalls,3
male-portraits,mealtimes,2
male-portraits,horses,9
male-portraits,military-and-soldiers,3
male-portraits,forests-and-trees,7
famous-people,animals,5
famous-people,Christianity,9
famous-people,cottages-and-farmhouses,1
famous-people,characters-and-emotions,1
famous-people,arts-and-crafts,5
famous-people,knights-and-warriors,1
famous-people,saints-and-apostles,3
famous-people,dogs,1
famous-people,family-portraits,3
famous-people,double-portraits,2
famous-people,allegories-and-symbols,4
famous-people,cliffs-and-rocks,1
famous-people,designs-and-sketches,2
famous-people,David,1
famous-people,celebrations-and-festivals,1
famous-people,furniture-and-decoration,1
famous-people,horses,4
famous-people,reading-and-writing,1
allegories-and-symbols,animals,4
allegories-and-symbols,Christianity,1
allegories-and-symbols,mother-and-child,2
allegories-and-symbols,arts-and-crafts,1
allegories-and-symbols,female-nude,4
allegories-and-symbols,domestic-settings,1
allegories-and-symbols,children,2
allegories-and-symbols,Greek-and-Roman-Mythology,1
allegories-and-symbols,Cupid-and-Psyche,2
allegories-and-symbols,taverns-and-inns,1
allegories-and-symbols,angels-and-archangels,1
allegories-and-symbols,mealtimes,1
allegories-and-symbols,male-nude,1
Christianity,mother-and-child,1
Christianity,seas-and-oceans,1
Christianity,female-nude,3
Christianity,children,2
Christianity,boats-and-ships,2
