source,target,weight
female-portraits,Pablo-Picasso,1
female-portraits,animals,4
female-portraits,cats,1
female-portraits,characters-and-emotions,4
female-portraits,fruits-and-vegetables,1
female-portraits,books-and-letters,1
female-portraits,birds,5
female-portraits,group-portraits,10
female-portraits,double-portraits,13
female-portraits,allegories-and-symbols,4
female-portraits,actors-and-performances,1
female-portraits,famous-people,8
female-portraits,male-portraits,8
female-portraits,designs-and-sketches,8
female-portraits,Marie-Thérèse Walter,17
female-portraits,furniture-and-decoration,1
female-portraits,horses,1
female-portraits,children portraits,4
female-portraits,flowers-and-plants,1
male-portraits,Pablo-Picasso,15
male-portraits,Harlequin,5
male-portraits,animals,6
male-portraits,cats,1
male-portraits,horsemen,1
male-portraits,characters-and-emotions,4
male-portraits,arts-and-crafts,4
male-portraits,group-portraits,7
male-portraits,double-portraits,3
male-portraits,actors-and-performances,15
male-portraits,allegories-and-symbols,5
male-portraits,famous-people,36
male-portraits,lamps-and-candles,1
male-portraits,designs-and-sketches,1
male-portraits,mealtimes,1
male-portraits,reading-and-writing,1
male-portraits,military-and-soldiers,2
male-portraits,children portraits,6
group-portraits,animals,1
group-portraits,family-portraits,7
group-portraits,famous-people,7
group-portraits,actors-and-performances,3
group-portraits,designs-and-sketches,1
children portraits,animals,2
children portraits,actors-and-performances,1
children portraits,horsemen,1
children portraits,fruits-and-vegetables,1
children portraits,birds,1
famous-people,Pablo-Picasso,24
famous-people,Harlequin,1
famous-people,animals,3
famous-people,couples,2
famous-people,cats,2
famous-people,mother-and-child,1
famous-people,arts-and-crafts,1
famous-people,fruits-and-vegetables,1
famous-people,walking,2
famous-people,female-nude,7
famous-people,children,2
famous-people,taverns-and-inns,1
famous-people,family-portraits,7
famous-people,actors-and-performances,2
famous-people,allegories-and-symbols,1
famous-people,families,1
famous-people,Marie-Thérèse Walter,1
famous-people,furniture-and-decoration,1
famous-people,male-nude,1
famous-people,flowers-and-plants,1
games-and-sport,actors-and-performances,1
games-and-sport,designs-and-sketches,3
games-and-sport,female-nude,1
games-and-sport,male-nude,1
games-and-sport,military-and-soldiers,1
games-and-sport,roads-and-vehicles,1
Harlequin,couples,1
Harlequin,actors-and-performances,11
Harlequin,horsemen,1
Harlequin,families,1
Pablo-Picasso,couples,1
Pablo-Picasso,arts-and-crafts,1
Pablo-Picasso,walking,2
Pablo-Picasso,female-nude,2
Pablo-Picasso,male-nude,1
Pablo-Picasso,taverns-and-inns,1
fruits-and-vegetables,cigarettes-and-pipes,1
fruits-and-vegetables,dishware-and-cutlery,37
fruits-and-vegetables,musical-instruments,9
fruits-and-vegetables,skeletons-and-skulls,1
fruits-and-vegetables,female-nude,1
fruits-and-vegetables,food-and-beverages,2
fruits-and-vegetables,newspapers,1
fruits-and-vegetables,flowers-and-plants,1
female-nude,animals,9
female-nude,couples,17
female-nude,women-and-mirrors,4
female-nude,Minotaur,2
female-nude,cats,5
female-nude,mother-and-child,1
female-nude,arts-and-crafts,7
female-nude,walking,2
female-nude,studios-and-workshops,1
female-nude,Greek-and-Roman-Mythology,3
female-nude,roads-and-vehicles,2
female-nude,leisure-and-sleep,11
female-nude,furniture-and-decoration,1
female-nude,conversations,5
female-nude,allegories-and-symbols,12
female-nude,actors-and-performances,1
female-nude,families,1
female-nude,designs-and-sketches,2
female-nude,Marie-Thérèse Walter,5
female-nude,mealtimes,3
female-nude,male-nude,22
female-nude,reading-and-writing,2
dishware-and-cutlery,musical-instruments,26
dishware-and-cutlery,arts-and-crafts,1
dishware-and-cutlery,books-and-letters,2
dishware-and-cutlery,skeletons-and-skulls,4
dishware-and-cutlery,birds,1
dishware-and-cutlery,studios-and-workshops,1
dishware-and-cutlery,instruments-and-mechanisms,8
dishware-and-cutlery,food-and-beverages,21
dishware-and-cutlery,taverns-and-inns,2
dishware-and-cutlery,words,4
dishware-and-cutlery,cigarettes-and-pipes,7
dishware-and-cutlery,allegories-and-symbols,2
dishware-and-cutlery,lamps-and-candles,3
dishware-and-cutlery,furniture-and-decoration,6
dishware-and-cutlery,newspapers,10
dishware-and-cutlery,flowers-and-plants,6
animals,Minotaur,3
animals,cats,11
animals,arts-and-crafts,4
animals,walking,1
animals,books-and-letters,1
animals,children,2
animals,food-and-beverages,1
animals,hunting-and-racing,11
animals,actors-and-performances,7
animals,allegories-and-symbols,3
animals,designs-and-sketches,2
animals,mealtimes,1
animals,male-nude,3
animals,couples,2
animals,horsemen,7
animals,birds,14
animals,studios-and-workshops,1
animals,Greek-and-Roman-Mythology,3
animals,leisure-and-sleep,1
animals,conversations,1
animals,bulls,31
animals,families,2
animals,lamps-and-candles,2
animals,furniture-and-decoration,2
animals,horses,20
animals,flowers-and-plants,1
birds,children,2
birds,allegories-and-symbols,12
birds,cats,2
birds,arts-and-crafts,7
birds,designs-and-sketches,2
birds,doors-and-windows,4
birds,studios-and-workshops,5
birds,horses,1
birds,flowers-and-plants,1
flowers-and-plants,arts-and-crafts,1
flowers-and-plants,lamps-and-candles,2
flowers-and-plants,food-and-beverages,1
flowers-and-plants,furniture-and-decoration,2
flowers-and-plants,newspapers,1
cats,couples,1
cats,conversations,1
cats,allegories-and-symbols,1
cats,food-and-beverages,1
cats,male-nude,1
houses-and-buildings,streets-and-squares,1
houses-and-buildings,designs-and-sketches,3
houses-and-buildings,forests-and-trees,4
houses-and-buildings,boats-and-ships,2
boats-and-ships,Minotaur,1
boats-and-ships,mother-and-child,1
boats-and-ships,walking,2
boats-and-ships,designs-and-sketches,1
boats-and-ships,Greek-and-Roman-Mythology,1
male-nude,couples,9
male-nude,allegories-and-symbols,5
male-nude,arts-and-crafts,1
male-nude,walking,1
male-nude,children,1
male-nude,mealtimes,1
male-nude,Greek-and-Roman-Mythology,1
Greek-and-Roman-Mythology,couples,1
Greek-and-Roman-Mythology,Minotaur,19
Greek-and-Roman-Mythology,bulls,1
Greek-and-Roman-Mythology,designs-and-sketches,1
Greek-and-Roman-Mythology,Marie-Thérèse Walter,1
Greek-and-Roman-Mythology,horses,3
Greek-and-Roman-Mythology,roads-and-vehicles,1
allegories-and-symbols,couples,6
allegories-and-symbols,musical-instruments,5
allegories-and-symbols,Minotaur,1
allegories-and-symbols,horsemen,2
allegories-and-symbols,mother-and-child,2
allegories-and-symbols,arts-and-crafts,8
allegories-and-symbols,walking,1
allegories-and-symbols,children,1
allegories-and-symbols,studios-and-workshops,5
allegories-and-symbols,roads-and-vehicles,1
allegories-and-symbols,words,1
allegories-and-symbols,conversations,3
allegories-and-symbols,families,1
allegories-and-symbols,mealtimes,4
allegories-and-symbols,horses,2
allegories-and-symbols,newspapers,1
books-and-letters,musical-instruments,3
books-and-letters,bulls,1
books-and-letters,arts-and-crafts,1
books-and-letters,lamps-and-candles,1
books-and-letters,furniture-and-decoration,1
conversations,walking,1
conversations,mealtimes,3
cigarettes-and-pipes,musical-instruments,2
cigarettes-and-pipes,food-and-beverages,4
cigarettes-and-pipes,newspapers,3
couples,Minotaur,1
couples,mother-and-child,1
couples,walking,2
couples,taverns-and-inns,1
couples,leisure-and-sleep,5
couples,actors-and-performances,2
couples,families,1
couples,designs-and-sketches,4
couples,mealtimes,2
couples,reading-and-writing,1
military-and-soldiers,horsemen,1
military-and-soldiers,designs-and-sketches,1
horsemen,actors-and-performances,2
horsemen,bulls,5
horsemen,horses,5
horsemen,hunting-and-racing,4
musical-instruments,furniture-and-decoration,2
musical-instruments,actors-and-performances,1
musical-instruments,arts-and-crafts,3
musical-instruments,lamps-and-candles,1
musical-instruments,doors-and-windows,3
musical-instruments,food-and-beverages,6
musical-instruments,newspapers,5
musical-instruments,words,2
roads-and-vehicles,leisure-and-sleep,1
roads-and-vehicles,Minotaur,1
roads-and-vehicles,walking,1
roads-and-vehicles,forests-and-trees,1
arts-and-crafts,mother-and-child,1
arts-and-crafts,studios-and-workshops,13
arts-and-crafts,bulls,3
arts-and-crafts,lamps-and-candles,3
arts-and-crafts,furniture-and-decoration,3
studios-and-workshops,doors-and-windows,1
studios-and-workshops,furniture-and-decoration,1
newspapers,furniture-and-decoration,1
newspapers,food-and-beverages,3
newspapers,reading-and-writing,1
