motif,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
animals,0.551724,162,0.078591,0.682353,0.387112,0.060476
dishware-and-cutlery,0.293103,141,0.005799,0.517857,0.133756,0.059973
female-nude,0.448276,129,0.055861,0.637363,0.261033,0.053185
male-portraits,0.327586,122,0.088455,0.58,0.384851,0.047395
famous-people,0.396552,113,0.090496,0.604167,0.377602,0.043275
female-portraits,0.327586,93,0.035395,0.591837,0.198686,0.038987
allegories-and-symbols,0.431034,89,0.060392,0.630435,0.201036,0.03582
musical-instruments,0.224138,68,0.004457,0.504348,0.095966,0.028879
bulls,0.172414,68,0.005543,0.491525,0.236423,0.025677
actors-and-performances,0.344828,65,0.053777,0.58,0.184327,0.027309
arts-and-crafts,0.293103,62,0.022331,0.568627,0.149293,0.025198
couples,0.327586,60,0.052058,0.568627,0.142806,0.025758
horses,0.224138,59,0.011919,0.522523,0.18668,0.023022
birds,0.224138,57,0.015116,0.537037,0.15526,0.02339
fruits-and-vegetables,0.189655,56,0.056259,0.517857,0.097068,0.023315
male-nude,0.224138,48,0.039444,0.527273,0.14358,0.020093
Pablo-Picasso,0.155172,48,0.005001,0.5,0.225408,0.01903
food-and-beverages,0.172414,41,0.008001,0.487395,0.061114,0.018182
group-portraits,0.12069,36,0.013201,0.495726,0.121364,0.015723
designs-and-sketches,0.275862,35,0.104668,0.552381,0.064293,0.020013
Greek-and-Roman-Mythology,0.189655,35,0.034143,0.504348,0.059885,0.016617
Minotaur,0.189655,34,0.036868,0.522523,0.057634,0.016217
hunting-and-racing,0.068966,34,0.0,0.423358,0.122088,0.013713
furniture-and-decoration,0.293103,32,0.054557,0.557692,0.048551,0.016132
horsemen,0.172414,29,0.050311,0.495726,0.092501,0.01277
Marie-Thérèse Walter,0.137931,28,0.01778,0.479339,0.073944,0.013018
studios-and-workshops,0.137931,28,0.043638,0.495726,0.063963,0.012439
cats,0.189655,27,0.037927,0.522523,0.109143,0.011733
newspapers,0.172414,27,0.014499,0.467742,0.034698,0.013159
walking,0.241379,23,0.028857,0.537037,0.047985,0.013574
families,0.224138,23,0.040913,0.517857,0.046395,0.011809
mealtimes,0.189655,23,0.030445,0.513274,0.047279,0.011633
leisure-and-sleep,0.12069,22,0.014228,0.5,0.059166,0.011046
Harlequin,0.103448,20,0.017784,0.453125,0.064543,0.009622
lamps-and-candles,0.189655,18,0.036231,0.517857,0.038549,0.009693
flowers-and-plants,0.189655,18,0.029763,0.513274,0.034119,0.009323
cigarettes-and-pipes,0.086207,17,0.000121,0.391892,0.022029,0.0089
mother-and-child,0.206897,16,0.04385,0.513274,0.028711,0.009282
children portraits,0.12069,16,0.020207,0.487395,0.061689,0.008017
double-portraits,0.034483,16,0.0,0.394558,0.052314,0.008165
conversations,0.103448,14,0.001401,0.47541,0.036313,0.007799
family-portraits,0.034483,14,0.0,0.389262,0.048889,0.00742
children,0.172414,13,0.017264,0.504348,0.035416,0.007422
doors-and-windows,0.068966,13,0.0,0.405594,0.017016,0.007541
characters-and-emotions,0.103448,12,0.004738,0.449612,0.036624,0.007163
books-and-letters,0.137931,11,0.027064,0.491525,0.022592,0.006575
words,0.103448,10,0.004073,0.449612,0.014392,0.006507
houses-and-buildings,0.068966,10,0.001081,0.374194,0.002896,0.011158
roads-and-vehicles,0.137931,9,0.0495,0.471545,0.013429,0.007213
instruments-and-mechanisms,0.034483,9,0.0,0.414286,0.015878,0.005921
reading-and-writing,0.12069,8,0.022951,0.483333,0.016955,0.005759
taverns-and-inns,0.12069,8,0.014963,0.467742,0.016231,0.005606
boats-and-ships,0.103448,8,0.032009,0.423358,0.004371,0.007231
games-and-sport,0.103448,8,0.028989,0.467742,0.011315,0.006555
women-and-mirrors,0.068966,8,0.000704,0.467742,0.019203,0.005595
skeletons-and-skulls,0.068966,7,0.004081,0.39726,0.010067,0.005229
streets-and-squares,0.051724,6,0.003938,0.39726,0.003855,0.005968
military-and-soldiers,0.068966,5,0.013817,0.426471,0.013127,0.00476
forests-and-trees,0.034483,5,0.0,0.33526,0.00035,0.007018
