painting_id,motif,weight
painting::Artists2/Richard Lindner/Woman.jpg,female-portraits,1
painting::Artists2/Richard Lindner/West 48Th Street.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Untitled No 1.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Three Und.jpg,female-portraits,1
painting::Artists2/Richard Lindner/The Corset.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Marilyn Was Here 1.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Marilyn Was Here.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Ice.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Hunting.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Hello.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Double Portrait.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Couple 2.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Anna.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Thank You.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Woman 1970.jpg,female-portraits,1
painting::Artists2/Richard Lindner/Untitled 1969.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Dedicated To Friends Of Montparnasse.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of A Stylist Germinal Rangel.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Young Woman.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of David Hodge And Girlfriend.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Two Girls.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Maria Holding A Bird.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified 1.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Marika With A Bouquet Of Flowers 1970.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Lady And The Animals 1966.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Peasant Woman With Chicken 1948.jpg,female-portraits,1
painting::Artists2/Marevna Marie Vorobieff/Self Portrait 1929.jpg,female-portraits,1
painting::Artists2/Olexandr Archipenko/Woman With Umbrella 1919.jpg,female-portraits,1
painting::Artists2/Georges Braque/Night 1951.jpg,female-portraits,1
painting::Artists2/Georges Braque/Figure Double.jpg,female-portraits,1
painting::Artists2/Georges Braque/Portrait Of A Woman.jpg,female-portraits,1
painting::Artists2/Georges Braque/A Girl.jpg,female-portraits,1
painting::Artists2/Georges Braque/Head Of A Woman 1909.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Woman In Blue 1902 1.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Head Of Woman.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Bust Of Young Woman From Avignon 1907.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Bust Of Woman 1907.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/A Girl From Avignon 1907.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Woman And Pears Fernande 1909.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman 1909.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Bust Of Woman With Flowers.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Woman Sitting In An Armchair.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Woman With Spanish Dress 1917.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Olga In A Mantilla 1917.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman Olga 1920.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Olga 1920.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Greek Woman 1924.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Woman In White 1923.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Untitled 1937 8.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman With Her Arms Folded Sarah Murphy 1923.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman 1923 1.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman 1923.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Olga 1923.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Head Of Woman 1923.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Head Of A Woman 1923.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman In A Red Armchair 1931.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Bust Of Woman 1931.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/A Lamp 1931.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Bust Of A Woman And Self Portrait.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Untitled 1929.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman 1930.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Woman With Cap 1934.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Woman Turned Right 1934.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Nusch Éluard 1937.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Marie Thérèse Walter With Garland 1937.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Marie Thérèse Walter 1937 1.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Marie Thérèse Walter 1937.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Marie Therese 1937.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Lee Miller As Arlesienne 1937.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Dora Maar 1937 2.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Dora Maar 1937 1.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Portrait Of Dora Maar 1937.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Leaning Woman 1937.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Untitled 1939.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/The Yellow Shirt Dora Maar 1939.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman With Blue And Red Hat 1939.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Seated Woman 1939.jpg,female-portraits,1
painting::Artists2/Pablo Picasso/Marie Therese Leaning 1939.jpg,female-portraits,1
