node_id,node_type,label,degree
painting::Artists2/Richard Lindner/Woman.jpg,painting,Woman,1
motif::female-portraits,motif,female-portraits,316
painting::Artists2/Richard Lindner/West 48Th Street.jpg,painting,West 48Th Street,1
painting::Artists2/Richard Lindner/Verlaine.jpg,painting,Verlaine,1
motif::male-portraits,motif,male-portraits,179
painting::Artists2/Richard Lindner/Untitled No 2.jpg,painting,Untitled No 2,1
motif::group-portraits,motif,group-portraits,45
painting::Artists2/Richard Lindner/Untitled No 1.jpg,painting,Untitled No 1,1
painting::Artists2/Richard Lindner/Two.jpg,painting,Two,1
painting::Artists2/Richard Lindner/Three Und.jpg,painting,Three Und,1
painting::Artists2/Richard Lindner/The Visitor 1.jpg,painting,The Visitor 1,1
painting::Artists2/Richard Lindner/The Visitor.jpg,painting,The Visitor,1
painting::Artists2/Richard Lindner/The Table.jpg,painting,The Table,1
painting::Artists2/Richard Lindner/The Smoker.jpg,painting,The Smoker,1
painting::Artists2/Richard Lindner/The Poet.jpg,painting,The Poet,1
painting::Artists2/Richard Lindner/The Meeting.jpg,painting,The Meeting,1
painting::Artists2/Richard Lindner/The Juggler.jpg,painting,The Juggler,1
painting::Artists2/Richard Lindner/The Gambler.jpg,painting,The Gambler,1
painting::Artists2/Richard Lindner/The Corset.jpg,painting,The Corset,1
painting::Artists2/Richard Lindner/The Child S Dream.jpg,painting,The Child S Dream,1
motif::children portraits,motif,children portraits,23
painting::Artists2/Richard Lindner/The Actor.jpg,painting,The Actor,1
painting::Artists2/Richard Lindner/Rear Window.jpg,painting,Rear Window,1
painting::Artists2/Richard Lindner/Pareja.jpg,painting,Pareja,1
painting::Artists2/Richard Lindner/New York City Iv.jpg,painting,New York City Iv,1
painting::Artists2/Richard Lindner/Napoleon Still Life.jpg,painting,Napoleon Still Life,1
painting::Artists2/Richard Lindner/Moon Over Alabama.jpg,painting,Moon Over Alabama,1
painting::Artists2/Richard Lindner/Marilyn Was Here 1.jpg,painting,Marilyn Was Here 1,1
painting::Artists2/Richard Lindner/Marilyn Was Here.jpg,painting,Marilyn Was Here,1
painting::Artists2/Richard Lindner/Marcel Proust.jpg,painting,Marcel Proust,2
motif::famous-people,motif,famous-people,78
painting::Artists2/Richard Lindner/Man With Parrot.jpg,painting,Man With Parrot,1
painting::Artists2/Richard Lindner/Louis Ii.jpg,painting,Louis Ii,2
painting::Artists2/Richard Lindner/Kiss.jpg,painting,Kiss,1
painting::Artists2/Richard Lindner/I Ii.jpg,painting,I Ii,1
painting::Artists2/Richard Lindner/Ice.jpg,painting,Ice,1
painting::Artists2/Richard Lindner/Hunting.jpg,painting,Hunting,1
painting::Artists2/Richard Lindner/Hello.jpg,painting,Hello,1
painting::Artists2/Richard Lindner/Head.jpg,painting,Head,1
painting::Artists2/Richard Lindner/Great Ideas Of Western Man.jpg,painting,Great Ideas Of Western Man,1
painting::Artists2/Richard Lindner/Fifth Avenue.jpg,painting,Fifth Avenue,1
painting::Artists2/Richard Lindner/F B I On East69Th Street.jpg,painting,F B I On East69Th Street,1
painting::Artists2/Richard Lindner/Double Portrait.jpg,painting,Double Portrait,1
painting::Artists2/Richard Lindner/Disneyland.jpg,painting,Disneyland,1
painting::Artists2/Richard Lindner/Couple 2.jpg,painting,Couple 2,1
painting::Artists2/Richard Lindner/Couple 1.jpg,painting,Couple 1,1
painting::Artists2/Richard Lindner/Couple.jpg,painting,Couple,1
painting::Artists2/Richard Lindner/Contact.jpg,painting,Contact,1
painting::Artists2/Richard Lindner/Boy And Machine.jpg,painting,Boy And Machine,1
painting::Artists2/Richard Lindner/Boy 1.jpg,painting,Boy 1,1
painting::Artists2/Richard Lindner/Boy.jpg,painting,Boy,1
painting::Artists2/Richard Lindner/Anna.jpg,painting,Anna,1
painting::Artists2/Richard Lindner/Angel In Me.jpg,painting,Angel In Me,1
painting::Artists2/Richard Lindner/A Letter From New York.jpg,painting,A Letter From New York,1
painting::Artists2/Richard Lindner/Ludwig Ii 1974.jpg,painting,Ludwig Ii 1974,2
painting::Artists2/Richard Lindner/The Ace Of Clubs 1973.jpg,painting,The Ace Of Clubs 1973,1
painting::Artists2/Richard Lindner/The Couple 1971.jpg,painting,The Couple 1971,1
painting::Artists2/Richard Lindner/Thank You.jpg,painting,Thank You,1
painting::Artists2/Richard Lindner/Woman 1970.jpg,painting,Woman 1970,1
painting::Artists2/Richard Lindner/Untitled 1969.jpg,painting,Untitled 1969,1
painting::Artists2/Richard Lindner/Rock Rock.jpg,painting,Rock Rock,1
painting::Artists2/Richard Lindner/The Street 1963.jpg,painting,The Street 1963,1
painting::Artists2/Richard Lindner/The Secret 1960.jpg,painting,The Secret 1960,1
painting::Artists2/Richard Lindner/The Billiard.jpg,painting,The Billiard,1
motif::games-and-sport,motif,games-and-sport,34
painting::Artists2/Richard Lindner/Boy With Machine.jpg,painting,Boy With Machine,1
painting::Artists2/Corneliu Michailescu/Harlequins.jpg,painting,Harlequins,1
motif::Harlequin,motif,Harlequin,13
painting::Artists2/Marevna Marie Vorobieff/The March Down Rue De La Gatti In Paris.jpg,painting,The March Down Rue De La Gatti In Paris,2
motif::Pablo-Picasso,motif,Pablo-Picasso,26
painting::Artists2/Marevna Marie Vorobieff/Self Portrait.jpg,painting,Self Portrait,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Ossip Zadkine.jpg,painting,Portrait Of Ossip Zadkine,1
painting::Artists2/Marevna Marie Vorobieff/The Atelier Of Diego Rivera In Rue Du D Part Diego Rivera Ehrenbourg And Juan Gris Paris In.jpg,painting,The Atelier Of Diego Rivera In Rue Du D Part Diego Rivera Ehrenbourg And Juan Gris Paris In,1
painting::Artists2/Marevna Marie Vorobieff/Dedicated To Friends Of Montparnasse.jpg,painting,Dedicated To Friends Of Montparnasse,3
painting::Artists2/Marevna Marie Vorobieff/Portrait Of A Stylist Germinal Rangel.jpg,painting,Portrait Of A Stylist Germinal Rangel,3
motif::fruits-and-vegetables,motif,fruits-and-vegetables,58
painting::Artists2/Marevna Marie Vorobieff/ 1.jpg,painting,1,1
motif::female-nude,motif,female-nude,240
painting::Artists2/Marevna Marie Vorobieff/Boy With Grapes.jpg,painting,Boy With Grapes,2
painting::Artists2/Marevna Marie Vorobieff/In The Caf Rotonde.jpg,painting,In The Caf Rotonde,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Osip Zadkine.jpg,painting,Portrait Of Osip Zadkine,2
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Young Woman.jpg,painting,Portrait Of Young Woman,1
painting::Artists2/Marevna Marie Vorobieff/Still Life Of Fish.jpg,painting,Still Life Of Fish,2
motif::dishware-and-cutlery,motif,dishware-and-cutlery,145
painting::Artists2/Marevna Marie Vorobieff/Not Identified 7.jpg,painting,Not Identified 7,1
painting::Artists2/Marevna Marie Vorobieff/Portrait.jpg,painting,Portrait,2
motif::animals,motif,animals,86
painting::Artists2/Marevna Marie Vorobieff/Portrait Of David Hodge And Girlfriend.jpg,painting,Portrait Of David Hodge And Girlfriend,3
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Catherine Dolan.jpg,painting,Portrait Of Catherine Dolan,2
painting::Artists2/Marevna Marie Vorobieff/Portrait Of The Artist S Daughter Marika Rivera Aged 23 With A Lover.jpg,painting,Portrait Of The Artist S Daughter Marika Rivera Aged 23 With A Lover,2
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Two Girls.jpg,painting,Portrait Of Two Girls,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified 8.jpg,painting,Not Identified 8,1
painting::Artists2/Marevna Marie Vorobieff/The Bathers.jpg,painting,The Bathers,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Girl.jpg,painting,Portrait Of Girl,1
painting::Artists2/Marevna Marie Vorobieff/Maria Holding A Bird.jpg,painting,Maria Holding A Bird,2
motif::birds,motif,birds,57
painting::Artists2/Marevna Marie Vorobieff/Dance.jpg,painting,Dance,1
painting::Artists2/Marevna Marie Vorobieff/Diego Modi Ehrenburg.jpg,painting,Diego Modi Ehrenburg,2
painting::Artists2/Marevna Marie Vorobieff/Not Identified 5.jpg,painting,Not Identified 5,1
painting::Artists2/Marevna Marie Vorobieff/Cubist Sunflowers.jpg,painting,Cubist Sunflowers,2
motif::flowers-and-plants,motif,flowers-and-plants,43
painting::Artists2/Marevna Marie Vorobieff/Claude Lamorrise With Two Tibetan Dogs.jpg,painting,Claude Lamorrise With Two Tibetan Dogs,2
painting::Artists2/Marevna Marie Vorobieff/Not Identified 4.jpg,painting,Not Identified 4,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified 6.jpg,painting,Not Identified 6,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified 3.jpg,painting,Not Identified 3,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified 2.jpg,painting,Not Identified 2,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified 1.jpg,painting,Not Identified 1,1
painting::Artists2/Marevna Marie Vorobieff/Not Identified.jpg,painting,Not Identified,1
painting::Artists2/Marevna Marie Vorobieff/Hasidic Dance During The Celebration Of Hanukkah 1970.jpg,painting,Hasidic Dance During The Celebration Of Hanukkah 1970,1
painting::Artists2/Marevna Marie Vorobieff/Marika With A Bouquet Of Flowers 1970.jpg,painting,Marika With A Bouquet Of Flowers 1970,3
painting::Artists2/Marevna Marie Vorobieff/Marika With Her Dog And Cats 1968.jpg,painting,Marika With Her Dog And Cats 1968,4
motif::cats,motif,cats,11
painting::Artists2/Marevna Marie Vorobieff/Lady And The Animals 1966.jpg,painting,Lady And The Animals 1966,2
painting::Artists2/Marevna Marie Vorobieff/Homage To Friends From Montparnasse 1962 1.jpg,painting,Homage To Friends From Montparnasse 1962 1,2
painting::Artists2/Marevna Marie Vorobieff/Homage To Friends From Montparnasse 1962.jpg,painting,Homage To Friends From Montparnasse 1962,2
painting::Artists2/Marevna Marie Vorobieff/Port Of Stockholm 1962.jpg,painting,Port Of Stockholm 1962,2
motif::houses-and-buildings,motif,houses-and-buildings,44
motif::boats-and-ships,motif,boats-and-ships,24
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Diego Rivera 1960.jpg,painting,Portrait Of Diego Rivera 1960,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Sergei Diaghilev 1956.jpg,painting,Portrait Of Sergei Diaghilev 1956,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Pablo Picasso 1956.jpg,painting,Portrait Of Pablo Picasso 1956,2
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Marc Chagall 1956.jpg,painting,Portrait Of Marc Chagall 1956,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Ilya Ehrenburg 1956.jpg,painting,Portrait Of Ilya Ehrenburg 1956,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Henri Matisse 1956.jpg,painting,Portrait Of Henri Matisse 1956,1
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Amedeo Modigliani 1955.jpg,painting,Portrait Of Amedeo Modigliani 1955,1
