motif,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
houses-and-buildings,0.641509,1278,0.0021,0.736111,0.604047,0.103081
forests-and-trees,0.773585,1142,0.040788,0.815385,0.29804,0.10793
streets-and-squares,0.45283,845,0.009062,0.646341,0.537005,0.065376
roads-and-vehicles,0.471698,656,0.025674,0.654321,0.439862,0.050571
boats-and-ships,0.773585,482,0.085162,0.815385,0.087725,0.049512
rivers-and-waterfalls,0.641509,471,0.020267,0.736111,0.128845,0.047288
seas-and-oceans,0.396226,299,0.031067,0.623529,0.036934,0.0309
Normandy,0.490566,287,0.013245,0.6625,0.040261,0.030698
cliffs-and-rocks,0.528302,282,0.056489,0.670886,0.050375,0.028707
winter,0.396226,262,0.023411,0.623529,0.132926,0.023522
female-portraits,0.641509,226,0.124034,0.736111,0.027106,0.032756
gardens-and-parks,0.490566,226,0.052583,0.6625,0.060498,0.024782
flowers-and-plants,0.509434,222,0.024957,0.670886,0.054532,0.026928
animals,0.54717,168,0.072067,0.688312,0.023788,0.020684
fields-and-plains,0.566038,159,0.050571,0.697368,0.036212,0.018506
male-portraits,0.377358,113,0.011586,0.616279,0.005516,0.017818
cows,0.358491,108,0.039188,0.609195,0.015185,0.013519
group-portraits,0.433962,106,0.015499,0.638554,0.034393,0.012879
moles-and-embankments,0.264151,93,0.011742,0.569892,0.023165,0.011452
autumn,0.358491,85,0.027531,0.609195,0.024896,0.010595
famous-people,0.09434,84,0.000484,0.477477,0.001461,0.013963
mountains,0.490566,80,0.084217,0.6625,0.018814,0.010463
countryside,0.415094,75,0.025882,0.630952,0.020721,0.009997
lakes-and-ponds,0.320755,64,0.010685,0.588889,0.013944,0.00962
Paris,0.132075,62,0.00242,0.509615,0.044479,0.007427
children portraits,0.377358,59,0.040738,0.616279,0.009374,0.009736
leisure-and-sleep,0.358491,55,0.022465,0.609195,0.004126,0.009392
handwork,0.169811,55,0.001704,0.524752,0.004736,0.009192
furniture-and-decoration,0.169811,52,0.000708,0.514563,0.001053,0.011659
snow-and-blizzard,0.264151,50,0.009013,0.569892,0.020666,0.006864
washing-and-laundry,0.09434,46,0.001481,0.490741,0.003877,0.008078
summer,0.339623,44,0.027886,0.602273,0.013206,0.0071
children,0.301887,44,0.039655,0.582418,0.002706,0.011228
cottages-and-farmhouses,0.188679,44,0.001453,0.535354,0.012702,0.006476
sunrise-and-sunset,0.207547,42,0.000907,0.540816,0.006337,0.006736
spring,0.150943,42,0.001657,0.535354,0.021091,0.006101
markets-and-shops,0.207547,41,0.049123,0.546392,0.021774,0.006056
reading-and-writing,0.264151,39,0.02103,0.576087,0.001413,0.008132
islands-and-bays,0.301887,37,0.066508,0.582418,0.004087,0.006382
mother-and-child,0.301887,36,0.00522,0.576087,0.000953,0.008504
twilight-and-night,0.339623,35,0.022424,0.602273,0.010184,0.006127
fruits-and-vegetables,0.113208,34,0.002091,0.514563,0.001432,0.009847
walking,0.245283,33,0.015636,0.546392,0.001419,0.006808
food-and-beverages,0.132075,33,0.010271,0.519608,0.000776,0.010025
bathing-and-swimming,0.150943,32,0.005215,0.504762,0.000376,0.009464
dishware-and-cutlery,0.075472,32,0.0,0.449153,0.000755,0.009288
mills-and-windmills,0.264151,29,0.020877,0.56383,0.010424,0.005519
doors-and-windows,0.169811,28,0.014696,0.535354,0.001285,0.007492
Limousin,0.169811,28,0.006305,0.5,0.003836,0.005531
arts-and-crafts,0.150943,21,0.003073,0.53,0.00086,0.005706
couples,0.169811,20,0.004074,0.53,0.003223,0.006749
fishing,0.169811,20,0.005043,0.514563,0.001721,0.004793
designs-and-sketches,0.09434,19,0.0,0.495327,0.003645,0.005419
female-nude,0.150943,17,0.008928,0.53,0.000278,0.006624
