painting_id,motif,weight
painting::Artists2/Max Slevogt/Portrait Of Alexa Pfeiffer.jpg,female-portraits,1
painting::Artists2/Max Slevogt/Portrait Of Nina And Wolfgang Slevogt Children In The Forest.jpg,female-portraits,1
painting::Artists2/Max Slevogt/Nini On Trellising.jpg,female-portraits,1
painting::Artists2/Max Slevogt/Lady In White Dress On Horseback Riding.jpg,female-portraits,1
painting::Artists2/Guy Rose/The Model.jpg,female-portraits,1
painting::Artists2/Guy Rose/The Lavalier.jpg,female-portraits,1
painting::Artists2/Guy Rose/Spring On The Riviera.jpg,female-portraits,1
painting::Artists2/Guy Rose/My Sister Maud.jpg,female-portraits,1
painting::Artists2/Guy Rose/Miss C.jpg,female-portraits,1
painting::Artists2/Guy Rose/Jade Beads.jpg,female-portraits,1
painting::Artists2/Guy Rose/Marion.jpg,female-portraits,1
painting::Artists2/Guy Rose/In The Studio.jpg,female-portraits,1
painting::Artists2/Guy Rose/Girl In A Wickford Garden New England.jpg,female-portraits,1
painting::Artists2/Guy Rose/Early Morning Summertime 1920.jpg,female-portraits,1
painting::Artists2/Guy Rose/In The Oak Grove 1919.jpg,female-portraits,1
painting::Artists2/Guy Rose/Marguerite 1918.jpg,female-portraits,1
painting::Artists2/Guy Rose/The Green Parasol 1911.jpg,female-portraits,1
painting::Artists2/Guy Rose/The Green Mirror 1911.jpg,female-portraits,1
painting::Artists2/Guy Rose/The Blue Kimono.jpg,female-portraits,1
painting::Artists2/Guy Rose/Warm Afternoon 1910.jpg,female-portraits,1
painting::Artists2/Guy Rose/The Difficult Reply 1910.jpg,female-portraits,1
painting::Artists2/Guy Rose/On The River S Edge 1910.jpg,female-portraits,1
painting::Artists2/Guy Rose/Five O Clock 1910.jpg,female-portraits,1
painting::Artists2/Guy Rose/The Potato Gatherers 1891.jpg,female-portraits,1
painting::Artists2/Guy Rose/The End Of The Day 1891.jpg,female-portraits,1
painting::Artists2/Guy Rose/La Mere Pichaud 1890.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Artist S Patio Cafe Novedades Seville 1915.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Traditional Dress From The Anso Valley 1914.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Portrait Of A Woman.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Portrait Of A Girl.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Girl With Flowers.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Portrait Of Dona Elena Ortúzar.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Clotilde With Hat.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Portrait Of Dona Elena Ortuzar Blasco Ibanez.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Asturian Girl.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/The Milkmaid.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Fisherwoman From Valencia 1916.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Queen Victoria Eugenia Of Spain 1911.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Maria With Hat 1910.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Clotidle Sitting On The Sofa 1910.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Clotilde In An Evening Dress 1910.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Elena In A Yellow Tunic 1909.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Sick Maria 1907.jpg,female-portraits,1
painting::Artists2/Joaqu N Sorolla/Maria Dressed As A Valencian Peasant Girl 1906.jpg,female-portraits,1
