node_id,node_type,label,degree
painting::Artists2/Max Slevogt/Portrait Of Alexa Pfeiffer.jpg,painting,Portrait Of Alexa Pfeiffer,1
motif::female-portraits,motif,female-portraits,566
painting::Artists2/Max Slevogt/Bathing House Havel.jpg,painting,Bathing House Havel,1
motif::seas-and-oceans,motif,seas-and-oceans,273
painting::Artists2/Max Slevogt/Artist S Children In Garden.jpg,painting,Artist S Children In Garden,2
motif::children,motif,children,76
motif::gardens-and-parks,motif,gardens-and-parks,199
painting::Artists2/Max Slevogt/Portrait Of Julius Freund.jpg,painting,Portrait Of Julius Freund,1
motif::male-portraits,motif,male-portraits,191
painting::Artists2/Max Slevogt/Portrait Of Nina And Wolfgang Slevogt Children In The Forest.jpg,painting,Portrait Of Nina And Wolfgang Slevogt Children In The Forest,2
motif::children portraits,motif,children portraits,131
painting::Artists2/Max Slevogt/The Nile At Aswan.jpg,painting,The Nile At Aswan,1
motif::rivers-and-waterfalls,motif,rivers-and-waterfalls,395
painting::Artists2/Max Slevogt/Unter Den Linden.jpg,painting,Unter Den Linden,2
motif::streets-and-squares,motif,streets-and-squares,517
motif::houses-and-buildings,motif,houses-and-buildings,883
painting::Artists2/Max Slevogt/Summer House Garden.jpg,painting,Summer House Garden,1
painting::Artists2/Max Slevogt/Nini On Trellising.jpg,painting,Nini On Trellising,1
painting::Artists2/Max Slevogt/Portrait Of Carl Steinbart.jpg,painting,Portrait Of Carl Steinbart,1
painting::Artists2/Max Slevogt/Lady In White Dress On Horseback Riding.jpg,painting,Lady In White Dress On Horseback Riding,1
painting::Artists2/Max Slevogt/Park Landscape In The Palatinate.jpg,painting,Park Landscape In The Palatinate,2
motif::forests-and-trees,motif,forests-and-trees,1068
painting::Artists2/Max Slevogt/Autumn Forest.jpg,painting,Autumn Forest,2
motif::autumn,motif,autumn,49
painting::Artists2/Max Slevogt/Francisco D Andrade Reading A Newspaper.jpg,painting,Francisco D Andrade Reading A Newspaper,2
motif::reading-and-writing,motif,reading-and-writing,35
painting::Artists2/Max Slevogt/Portrait Of Francisco D Andrade.jpg,painting,Portrait Of Francisco D Andrade,1
painting::Artists2/Max Slevogt/A Portrait Of The Artist.jpg,painting,A Portrait Of The Artist,2
motif::famous-people,motif,famous-people,84
painting::Artists2/Guy Rose/Lifting Fog Laguna.jpg,painting,Lifting Fog Laguna,2
motif::cliffs-and-rocks,motif,cliffs-and-rocks,276
painting::Artists2/Guy Rose/Winter.jpg,painting,Winter,4
motif::winter,motif,winter,144
painting::Artists2/Guy Rose/Windswept Trees Laguna.jpg,painting,Windswept Trees Laguna,1
painting::Artists2/Guy Rose/View Of Wood S Cove.jpg,painting,View Of Wood S Cove,2
painting::Artists2/Guy Rose/Twin Lakes High Sierra.jpg,painting,Twin Lakes High Sierra,3
motif::lakes-and-ponds,motif,lakes-and-ponds,55
motif::mountains,motif,mountains,92
painting::Artists2/Guy Rose/The Sea View Of Cliffs.jpg,painting,The Sea View Of Cliffs,2
painting::Artists2/Guy Rose/The Saine Valley Giverny.jpg,painting,The Saine Valley Giverny,3
painting::Artists2/Guy Rose/The Old Church At Cagnes.jpg,painting,The Old Church At Cagnes,1
painting::Artists2/Guy Rose/The Blue House 1.jpg,painting,The Blue House 1,2
painting::Artists2/Guy Rose/Tamarisk Trees In Early Sunlight.jpg,painting,Tamarisk Trees In Early Sunlight,2
motif::sunrise-and-sunset,motif,sunrise-and-sunset,28
painting::Artists2/Guy Rose/The Bridge At Vernon.jpg,painting,The Bridge At Vernon,2
motif::boats-and-ships,motif,boats-and-ships,544
painting::Artists2/Guy Rose/The Model.jpg,painting,The Model,1
painting::Artists2/Guy Rose/The Blue Pool Near Mt Whitney.jpg,painting,The Blue Pool Near Mt Whitney,3
motif::snow-and-blizzard,motif,snow-and-blizzard,24
painting::Artists2/Guy Rose/The Lavalier.jpg,painting,The Lavalier,1
painting::Artists2/Guy Rose/Spring On The Riviera.jpg,painting,Spring On The Riviera,4
motif::spring,motif,spring,29
painting::Artists2/Guy Rose/The Blue House.jpg,painting,The Blue House,2
painting::Artists2/Guy Rose/Standing Nude.jpg,painting,Standing Nude,1
motif::female-nude,motif,female-nude,67
painting::Artists2/Guy Rose/View In The San Gabriel Mountains.jpg,painting,View In The San Gabriel Mountains,2
painting::Artists2/Guy Rose/San Gabriel Mission.jpg,painting,San Gabriel Mission,2
painting::Artists2/Guy Rose/Rocks Point Reamer.jpg,painting,Rocks Point Reamer,2
painting::Artists2/Guy Rose/My Sister Maud.jpg,painting,My Sister Maud,1
painting::Artists2/Guy Rose/Out To Sea.jpg,painting,Out To Sea,3
painting::Artists2/Guy Rose/Morning Mist Also Known As Late Spring.jpg,painting,Morning Mist Also Known As Late Spring,2
painting::Artists2/Guy Rose/Morning Mist.jpg,painting,Morning Mist,1
painting::Artists2/Guy Rose/Miss C.jpg,painting,Miss C,1
painting::Artists2/Guy Rose/Jade Beads.jpg,painting,Jade Beads,3
motif::flowers-and-plants,motif,flowers-and-plants,237
motif::dishware-and-cutlery,motif,dishware-and-cutlery,26
painting::Artists2/Guy Rose/Marion.jpg,painting,Marion,1
painting::Artists2/Guy Rose/Laguna 1.jpg,painting,Laguna 1,2
painting::Artists2/Guy Rose/La Jolla Arbor.jpg,painting,La Jolla Arbor,2
painting::Artists2/Guy Rose/In The Studio.jpg,painting,In The Studio,3
painting::Artists2/Guy Rose/Carmel Dunes 1.jpg,painting,Carmel Dunes 1,2
painting::Artists2/Guy Rose/Sunset Glow Aka Sunset In The High Sierras.jpg,painting,Sunset Glow Aka Sunset In The High Sierras,3
painting::Artists2/Guy Rose/Spring.jpg,painting,Spring,2
painting::Artists2/Guy Rose/San Gabriel Road.jpg,painting,San Gabriel Road,3
motif::roads-and-vehicles,motif,roads-and-vehicles,358
painting::Artists2/Guy Rose/Study For The Cathedral Tours.jpg,painting,Study For The Cathedral Tours,1
painting::Artists2/Guy Rose/Provincial Olive Grove.jpg,painting,Provincial Olive Grove,1
painting::Artists2/Guy Rose/Point Lobos.jpg,painting,Point Lobos,3
painting::Artists2/Guy Rose/Path Along The Shore.jpg,painting,Path Along The Shore,2
painting::Artists2/Guy Rose/Palms.jpg,painting,Palms,2
painting::Artists2/Guy Rose/Off Mission Point Aka Point Lobos.jpg,painting,Off Mission Point Aka Point Lobos,2
painting::Artists2/Guy Rose/October Morning.jpg,painting,October Morning,2
painting::Artists2/Guy Rose/Notre Dame De Grasse At Honfleur.jpg,painting,Notre Dame De Grasse At Honfleur,2
motif::Normandy,motif,Normandy,236
painting::Artists2/Guy Rose/Notre Dame De Grace Honfleur.jpg,painting,Notre Dame De Grace Honfleur,2
painting::Artists2/Guy Rose/Monterey Cypress.jpg,painting,Monterey Cypress,3
painting::Artists2/Guy Rose/Misty Dunes Carmel.jpg,painting,Misty Dunes Carmel,2
painting::Artists2/Guy Rose/Low Tide Honfleur.jpg,painting,Low Tide Honfleur,3
painting::Artists2/Guy Rose/Mission Point.jpg,painting,Mission Point,2
painting::Artists2/Guy Rose/Lifting Fog Carmel.jpg,painting,Lifting Fog Carmel,3
painting::Artists2/Guy Rose/Laguna Beach.jpg,painting,Laguna Beach,2
painting::Artists2/Guy Rose/Laguna.jpg,painting,Laguna,2
painting::Artists2/Guy Rose/La Jolla Cove.jpg,painting,La Jolla Cove,2
painting::Artists2/Guy Rose/La Jolla Caves.jpg,painting,La Jolla Caves,2
painting::Artists2/Guy Rose/La Jolla Beach.jpg,painting,La Jolla Beach,2
painting::Artists2/Guy Rose/July Afternoon.jpg,painting,July Afternoon,3
motif::summer,motif,summer,26
motif::fields-and-plains,motif,fields-and-plains,159
painting::Artists2/Guy Rose/In The Sierra.jpg,painting,In The Sierra,3
painting::Artists2/Guy Rose/Grey Afternoon.jpg,painting,Grey Afternoon,2
painting::Artists2/Guy Rose/Girl In A Wickford Garden New England.jpg,painting,Girl In A Wickford Garden New England,2
painting::Artists2/Guy Rose/Gathering Storm High Seas.jpg,painting,Gathering Storm High Seas,2
painting::Artists2/Guy Rose/French Farm.jpg,painting,French Farm,2
motif::cottages-and-farmhouses,motif,cottages-and-farmhouses,42
painting::Artists2/Guy Rose/Country Landscape.jpg,painting,Country Landscape,2
painting::Artists2/Guy Rose/Coastline.jpg,painting,Coastline,2
painting::Artists2/Guy Rose/Carmel Seascape.jpg,painting,Carmel Seascape,2
painting::Artists2/Guy Rose/Carmel Dunes.jpg,painting,Carmel Dunes,2
painting::Artists2/Guy Rose/Carmel Beach.jpg,painting,Carmel Beach,1
painting::Artists2/Guy Rose/Blossoms And Wallflowers.jpg,painting,Blossoms And Wallflowers,2
painting::Artists2/Guy Rose/August Noon.jpg,painting,August Noon,2
painting::Artists2/Guy Rose/Arroyo Seco.jpg,painting,Arroyo Seco,2
painting::Artists2/Guy Rose/A Grey Day Carmel.jpg,painting,A Grey Day Carmel,1
painting::Artists2/Guy Rose/Early Morning Summertime 1920.jpg,painting,Early Morning Summertime 1920,1
painting::Artists2/Guy Rose/Carmel Hills 1920.jpg,painting,Carmel Hills 1920,2
painting::Artists2/Guy Rose/Vista From Point Lobos 1919.jpg,painting,Vista From Point Lobos 1919,3
painting::Artists2/Guy Rose/Point Lobos Trees 1919.jpg,painting,Point Lobos Trees 1919,3
painting::Artists2/Guy Rose/Oak Grove Carmel 1919.jpg,painting,Oak Grove Carmel 1919,1
painting::Artists2/Guy Rose/Monterey Forest 1919.jpg,painting,Monterey Forest 1919,2
painting::Artists2/Guy Rose/In The Oak Grove 1919.jpg,painting,In The Oak Grove 1919,2
painting::Artists2/Guy Rose/Carmel Shore 1919 1.jpg,painting,Carmel Shore 1919 1,2
painting::Artists2/Guy Rose/Carmel Shore 1919.jpg,painting,Carmel Shore 1919,2
painting::Artists2/Guy Rose/Carmel Coast 1919.jpg,painting,Carmel Coast 1919,1
painting::Artists2/Guy Rose/A Carmel Pine 1918.jpg,painting,A Carmel Pine 1918,2
painting::Artists2/Guy Rose/Mist Over Point Lobos 1918.jpg,painting,Mist Over Point Lobos 1918,3
painting::Artists2/Guy Rose/The Sycamores Pasadena 1918.jpg,painting,The Sycamores Pasadena 1918,2
painting::Artists2/Guy Rose/Marguerite 1918.jpg,painting,Marguerite 1918,3
painting::Artists2/Guy Rose/Point Lobos Oak Tree 1918.jpg,painting,Point Lobos Oak Tree 1918,3
painting::Artists2/Guy Rose/17 Mile Drive 1918.jpg,painting,17 Mile Drive 1918,1
painting::Artists2/Guy Rose/Laguna Eucalyptus 1917.jpg,painting,Laguna Eucalyptus 1917,2
painting::Artists2/Guy Rose/Incoming Tide 1917.jpg,painting,Incoming Tide 1917,2
painting::Artists2/Guy Rose/The Oak 1916.jpg,painting,The Oak 1916,1
painting::Artists2/Guy Rose/Laguna Shores 1916.jpg,painting,Laguna Shores 1916,3
painting::Artists2/Guy Rose/Laguna Rocks Low Tide 1916.jpg,painting,Laguna Rocks Low Tide 1916,2
painting::Artists2/Guy Rose/Indian Tobacco Trees La Jolla 1916.jpg,painting,Indian Tobacco Trees La Jolla 1916,3
painting::Artists2/Guy Rose/The Green Parasol 1911.jpg,painting,The Green Parasol 1911,2
painting::Artists2/Guy Rose/The Green Mirror 1911.jpg,painting,The Green Mirror 1911,2
motif::furniture-and-decoration,motif,furniture-and-decoration,85
painting::Artists2/Guy Rose/The Cathedral.jpg,painting,The Cathedral,1
painting::Artists2/Guy Rose/The Blue Kimono.jpg,painting,The Blue Kimono,3
painting::Artists2/Guy Rose/River Epte Giverny 1910 1.jpg,painting,River Epte Giverny 1910 1,3
painting::Artists2/Guy Rose/The Valley Of The Seine 1910.jpg,painting,The Valley Of The Seine 1910,5
painting::Artists2/Guy Rose/The Large Rock 1910.jpg,painting,The Large Rock 1910,3
painting::Artists2/Guy Rose/The Distant Town 1910.jpg,painting,The Distant Town 1910,4
painting::Artists2/Guy Rose/Warm Afternoon 1910.jpg,painting,Warm Afternoon 1910,2
painting::Artists2/Guy Rose/River Epte Giverny 1910.jpg,painting,River Epte Giverny 1910,3
painting::Artists2/Guy Rose/The Old Bridge France 1910.jpg,painting,The Old Bridge France 1910,3
painting::Artists2/Guy Rose/The Difficult Reply 1910.jpg,painting,The Difficult Reply 1910,3
