motif_a,motif_b,shared_paintings
female-portraits,mother-and-child,4
female-portraits,arts-and-crafts,6
female-portraits,fruits-and-vegetables,1
female-portraits,seas-and-oceans,1
female-portraits,female-nude,1
female-portraits,doors-and-windows,3
female-portraits,food-and-beverages,1
female-portraits,streets-and-squares,3
female-portraits,roads-and-vehicles,1
female-portraits,boats-and-ships,5
female-portraits,autumn,2
female-portraits,twilight-and-night,1
female-portraits,group-portraits,14
female-portraits,cows,1
female-portraits,countryside,1
female-portraits,designs-and-sketches,5
female-portraits,reading-and-writing,15
female-portraits,fields-and-plains,2
female-portraits,forests-and-trees,28
female-portraits,animals,11
female-portraits,mountains,1
female-portraits,houses-and-buildings,8
female-portraits,summer,1
female-portraits,leisure-and-sleep,6
female-portraits,winter,1
female-portraits,dishware-and-cutlery,3
female-portraits,famous-people,25
female-portraits,male-portraits,7
female-portraits,gardens-and-parks,10
female-portraits,spring,1
female-portraits,rivers-and-waterfalls,6
female-portraits,furniture-and-decoration,18
female-portraits,children portraits,17
female-portraits,flowers-and-plants,16
seas-and-oceans,fishing,1
seas-and-oceans,mother-and-child,1
seas-and-oceans,snow-and-blizzard,1
seas-and-oceans,bathing-and-swimming,1
seas-and-oceans,female-nude,1
seas-and-oceans,islands-and-bays,6
seas-and-oceans,mountains,11
seas-and-oceans,houses-and-buildings,9
seas-and-oceans,sunrise-and-sunset,8
seas-and-oceans,boats-and-ships,102
seas-and-oceans,summer,2
seas-and-oceans,leisure-and-sleep,1
seas-and-oceans,group-portraits,3
seas-and-oceans,cliffs-and-rocks,82
seas-and-oceans,gardens-and-parks,1
seas-and-oceans,reading-and-writing,2
seas-and-oceans,fields-and-plains,3
seas-and-oceans,forests-and-trees,18
seas-and-oceans,Normandy,39
seas-and-oceans,flowers-and-plants,6
children,animals,2
children,couples,1
children,mother-and-child,2
children,bathing-and-swimming,21
children,walking,1
children,female-nude,1
children,doors-and-windows,1
children,houses-and-buildings,1
children,streets-and-squares,1
children,boats-and-ships,4
children,leisure-and-sleep,1
children,cliffs-and-rocks,1
children,gardens-and-parks,2
children,rivers-and-waterfalls,1
children,reading-and-writing,2
children,fields-and-plains,2
gardens-and-parks,children portraits,1
gardens-and-parks,animals,1
gardens-and-parks,couples,1
gardens-and-parks,cottages-and-farmhouses,2
gardens-and-parks,mother-and-child,1
gardens-and-parks,arts-and-crafts,1
gardens-and-parks,walking,4
gardens-and-parks,snow-and-blizzard,1
gardens-and-parks,islands-and-bays,1
gardens-and-parks,mountains,2
gardens-and-parks,streets-and-squares,3
gardens-and-parks,houses-and-buildings,12
gardens-and-parks,boats-and-ships,1
gardens-and-parks,winter,5
gardens-and-parks,leisure-and-sleep,8
gardens-and-parks,group-portraits,3
gardens-and-parks,famous-people,1
gardens-and-parks,male-portraits,2
gardens-and-parks,countryside,2
gardens-and-parks,fields-and-plains,2
gardens-and-parks,forests-and-trees,100
gardens-and-parks,Normandy,5
gardens-and-parks,flowers-and-plants,54
male-portraits,children portraits,3
male-portraits,animals,5
male-portraits,arts-and-crafts,4
male-portraits,snow-and-blizzard,2
male-portraits,doors-and-windows,3
male-portraits,streets-and-squares,1
male-portraits,lakes-and-ponds,3
male-portraits,moles-and-embankments,1
male-portraits,boats-and-ships,10
male-portraits,winter,1
male-portraits,cows,1
male-portraits,group-portraits,1
male-portraits,famous-people,55
male-portraits,reading-and-writing,3
male-portraits,furniture-and-decoration,2
male-portraits,fields-and-plains,1
male-portraits,forests-and-trees,5
male-portraits,flowers-and-plants,3
children portraits,animals,8
children portraits,mother-and-child,2
children portraits,arts-and-crafts,1
children portraits,mountains,1
children portraits,streets-and-squares,1
children portraits,houses-and-buildings,4
children portraits,roads-and-vehicles,1
children portraits,boats-and-ships,1
children portraits,summer,1
children portraits,autumn,1
children portraits,group-portraits,3
children portraits,cliffs-and-rocks,1
children portraits,designs-and-sketches,3
children portraits,rivers-and-waterfalls,1
children portraits,reading-and-writing,1
children portraits,forests-and-trees,7
children portraits,flowers-and-plants,1
rivers-and-waterfalls,Limousin,13
rivers-and-waterfalls,handwork,17
rivers-and-waterfalls,snow-and-blizzard,1
rivers-and-waterfalls,streets-and-squares,6
rivers-and-waterfalls,roads-and-vehicles,4
rivers-and-waterfalls,moles-and-embankments,7
rivers-and-waterfalls,boats-and-ships,85
rivers-and-waterfalls,autumn,11
rivers-and-waterfalls,twilight-and-night,1
rivers-and-waterfalls,group-portraits,3
rivers-and-waterfalls,cows,8
rivers-and-waterfalls,countryside,5
rivers-and-waterfalls,cliffs-and-rocks,16
rivers-and-waterfalls,mills-and-windmills,1
rivers-and-waterfalls,fields-and-plains,2
rivers-and-waterfalls,sunrise-and-sunset,4
rivers-and-waterfalls,forests-and-trees,154
rivers-and-waterfalls,Normandy,9
rivers-and-waterfalls,Paris,1
rivers-and-waterfalls,animals,12
rivers-and-waterfalls,cottages-and-farmhouses,2
