id,label
Jesus-Christ,Jesus-Christ
Aphrodite/Venus,Aphrodite/Venus
Christianity,Christianity
female-portraits,female-portraits
Virgin-Mary,Virgin-Mary
allegories-and-symbols,allegories-and-symbols
God-the-Father,God-the-Father
forests-and-trees,forests-and-trees
mountains,mountains
sins-and-sinners,sins-and-sinners
punishments-and-tortures,punishments-and-tortures
male-portraits,male-portraits
famous-people,famous-people
executions,executions
arts-and-crafts,arts-and-crafts
group-portraits,group-portraits
military-and-soldiers,military-and-soldiers
St.-Paul,St.-Paul
Christmas,Christmas
St. John the Baptist,St. John the Baptist
knights-and-warriors,knights-and-warriors
rivers-and-waterfalls,rivers-and-waterfalls
animals,animals
Hell,Hell
birth-and-death,birth-and-death
Greek-and-Roman-Mythology,Greek-and-Roman-Mythology
angels-and-archangels,angels-and-archangels
houses-and-buildings,houses-and-buildings
battles-and-wars,battles-and-wars
Eve,Eve
Adam,Adam
Old-Testament,Old-Testament
children portraits,children portraits
saints-and-apostles,saints-and-apostles
designs-and-sketches,designs-and-sketches
Virgin-and-Child,Virgin-and-Child
birds,birds
skeletons-and-skulls,skeletons-and-skulls
priests-and-sacraments,priests-and-sacraments
Cupid-and-Psyche,Cupid-and-Psyche
St.-Peter,St.-Peter
female-nude,female-nude
beasts-and-dragons,beasts-and-dragons
St.-Christopher,St.-Christopher
horses,horses
male-nude,male-nude
Holy-Family,Holy-Family
Eden,Eden
couples,couples
historical-events,historical-events
castles-and-fortresses,castles-and-fortresses
Crucifixion,Crucifixion
Calvary/Golgotha,Calvary/Golgotha
cliffs-and-rocks,cliffs-and-rocks
Martin-Luther,Martin-Luther
devils-and-demons,devils-and-demons
St. Anne,St. Anne
St.-Anthony,St.-Anthony
Annunciation,Annunciation
Archangel-Gabriel,Archangel-Gabriel
flowers-and-plants,flowers-and-plants
double-portraits,double-portraits
friars-and-monks,friars-and-monks
