motif,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
Christianity,0.822581,2299,0.024133,0.826667,0.628455,0.175536
saints-and-apostles,0.693548,1188,0.014759,0.746988,0.489884,0.090598
Jesus-Christ,0.532258,855,0.095424,0.666667,0.38558,0.062098
Virgin-Mary,0.435484,708,0.060762,0.607843,0.307519,0.051211
angels-and-archangels,0.467742,458,0.01964,0.632653,0.181865,0.035455
Virgin-and-Child,0.33871,419,0.050556,0.590476,0.203872,0.031382
allegories-and-symbols,0.532258,304,0.070385,0.652632,0.104086,0.029282
Crucifixion,0.209677,218,0.006984,0.529915,0.103033,0.01702
male-portraits,0.354839,211,0.026954,0.596154,0.00747,0.031876
famous-people,0.322581,203,0.00626,0.568807,0.004064,0.031116
animals,0.483871,182,0.031456,0.645833,0.027194,0.023051
designs-and-sketches,0.548387,171,0.178735,0.673913,0.045308,0.022302
Annunciation,0.145161,141,0.002036,0.512397,0.057858,0.011896
Adam,0.258065,132,0.012795,0.53913,0.034843,0.013719
devils-and-demons,0.290323,111,0.058242,0.568807,0.039613,0.011365
punishments-and-tortures,0.274194,111,0.047161,0.568807,0.038005,0.011527
Eden,0.177419,106,0.00071,0.504065,0.022186,0.011836
military-and-soldiers,0.145161,106,0.008439,0.504065,0.055297,0.009634
sins-and-sinners,0.241935,102,0.010481,0.516667,0.032025,0.010618
Old-Testament,0.145161,102,0.001527,0.496,0.028103,0.011122
St. John the Baptist,0.225806,100,0.033858,0.534483,0.050317,0.009074
Eve,0.241935,85,0.033436,0.521008,0.017329,0.009839
Holy-Family,0.145161,77,0.001206,0.508197,0.036896,0.007622
female-portraits,0.354839,71,0.083289,0.607843,0.004668,0.011915
knights-and-warriors,0.274194,66,0.039619,0.553571,0.006695,0.012059
Calvary/Golgotha,0.16129,66,0.003785,0.516667,0.027362,0.006855
St.-Anthony,0.129032,65,0.010225,0.5,0.027862,0.007098
God-the-Father,0.241935,60,0.008998,0.534483,0.020911,0.006889
Archangel-Gabriel,0.096774,57,0.0,0.476923,0.019818,0.006137
horses,0.274194,55,0.031609,0.568807,0.00761,0.008693
Christmas,0.112903,54,0.0,0.492063,0.023195,0.005972
birth-and-death,0.193548,53,0.058333,0.525424,0.020299,0.00625
female-nude,0.274194,46,0.041172,0.553571,0.005115,0.007778
Greek-and-Roman-Mythology,0.080645,46,0.068775,0.427586,3e-05,0.016502
Hell,0.096774,44,0.001318,0.488189,0.011385,0.005898
St. Anne,0.177419,43,0.020309,0.512397,0.019076,0.005411
battles-and-wars,0.16129,41,0.021553,0.534483,0.001166,0.009
Aphrodite/Venus,0.032258,41,0.0,0.302439,1e-06,0.01508
priests-and-sacraments,0.209677,40,0.017872,0.534483,0.01471,0.005887
St.-Christopher,0.096774,39,0.002139,0.492063,0.021505,0.00494
beasts-and-dragons,0.241935,38,0.039599,0.558559,0.01078,0.006102
St.-Paul,0.145161,38,0.005046,0.508197,0.018557,0.005246
Cupid-and-Psyche,0.032258,38,0.0,0.302439,1e-06,0.014111
Martin-Luther,0.193548,37,0.063955,0.525424,0.001593,0.007259
St.-Peter,0.145161,36,0.008586,0.504065,0.018346,0.004841
skeletons-and-skulls,0.241935,35,0.026259,0.54386,0.004276,0.006034
birds,0.145161,31,0.005363,0.516667,0.003288,0.005689
historical-events,0.096774,30,0.002563,0.446043,0.000161,0.007316
couples,0.209677,28,0.021092,0.534483,0.001664,0.006354
children portraits,0.145161,28,0.027694,0.516667,0.000338,0.006432
male-nude,0.193548,27,0.032835,0.529915,0.001293,0.005605
executions,0.080645,27,0.002615,0.484375,0.01228,0.004604
mountains,0.16129,26,0.012265,0.521008,0.003717,0.009366
friars-and-monks,0.16129,25,0.008911,0.508197,0.008407,0.004746
group-portraits,0.096774,18,0.003932,0.418919,8.8e-05,0.005092
double-portraits,0.112903,17,0.003553,0.424658,7.9e-05,0.005023
forests-and-trees,0.145161,15,0.066804,0.525424,0.001457,0.006536
rivers-and-waterfalls,0.096774,14,0.002981,0.488189,0.000479,0.006415
arts-and-crafts,0.096774,12,0.001725,0.488189,0.004878,0.003346
castles-and-fortresses,0.064516,12,0.0,0.418919,0.000228,0.005523
houses-and-buildings,0.064516,11,0.0,0.427586,0.000164,0.005752
cliffs-and-rocks,0.112903,10,0.061877,0.508197,0.002574,0.00457
flowers-and-plants,0.016129,1,0.0,0.405229,5.1e-05,0.002492
