painting_id,motif,weight
painting::Artists2/Maarten De Vos/The Last Supper.jpg,Jesus-Christ,1
painting::Artists2/Maarten De Vos/Descent From The Cross.jpg,Jesus-Christ,1
painting::Artists2/Jan Van Hemessen/Christ Carrying The Cross.jpg,Jesus-Christ,1
painting::Artists2/Jan Van Hemessen/Virgin And Child.jpg,Jesus-Christ,1
painting::Artists2/Jan Van Hemessen/The Lamentation Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Jan Van Hemessen/The Descent From The Cross.jpg,Jesus-Christ,1
painting::Artists2/Jan Van Hemessen/The Mocking Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Jan Van Hemessen/Christ Driving Merchants From The Temple.jpg,Jesus-Christ,1
painting::Artists2/Pieter Bruegel The Elder/Christ And The Woman Taken In Adultery 1565 1.jpg,Jesus-Christ,1
painting::Artists2/Pieter Bruegel The Elder/The Adoration Of The Kings 1564.jpg,Jesus-Christ,1
painting::Artists2/Pieter Bruegel The Elder/Christ Carrying The Cross 1564.jpg,Jesus-Christ,1
painting::Artists2/Pieter Bruegel The Elder/The Resurrection Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/Christ As The True Light.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/The Last Supper.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/The Passion.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/Noli Me Tangere.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/Oberried Altarpiece Right Interior Wing The Birth Of Christ 1522.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/Oberried Altarpiece Left Interior Wing The Adoration Of The Magi 1522.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/The Body Of The Dead Christ In The Tomb 1521.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/Diptych With Christ And The Mater Dolorosa.jpg,Jesus-Christ,1
painting::Artists2/Hans Holbein The Younger/The Agony In The Garden.jpg,Jesus-Christ,1
painting::Artists2/Jan Van Hemessen/Jesus Summons Matthew To Leave The Tax Office.jpg,Jesus-Christ,1
painting::Artists2/Pieter Bruegel The Elder/The Adoration Of The Kings.jpg,Jesus-Christ,1
painting::Artists2/Pieter Bruegel The Elder/Landscape With Christ Appearing To The Apostles At The Sea Of Tiberias 1553.jpg,Jesus-Christ,1
painting::Artists2/Mabuse/Descent From The Cross.jpg,Jesus-Christ,1
painting::Artists2/Joachim Patinir/St Christopher Bearing The Christ Child.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Saint Peter.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/Christ As A Gardener Noli Me Tangere 1539.jpg,Jesus-Christ,1
painting::Artists2/Mabuse/Deesis.jpg,Jesus-Christ,1
painting::Artists2/Mabuse/The Mocking Of Christ The Man Of Sorrows.jpg,Jesus-Christ,1
painting::Artists2/Mabuse/Man Of Sorrow.jpg,Jesus-Christ,1
painting::Artists2/Mabuse/The Deposition.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Ascension Christ.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Crucifixion 1526.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Calvary 1526.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Christ Taking Leave Of His Mother 1520.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Christ On The Cross.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Resurrection Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Passion Of Christ 3.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/The Flagellation Of Christ 1518.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Entombment Of Christ 1518.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Passion Of Christ 4.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Passion Of Christ 2.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Passion Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/Stained Glass Windows In The Loch Family Chapel.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/Altar Of St John The Baptist 1520.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/These Stained Glass Windows In The Blumeneck Family Chapel.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/These Stained Glass Windows From The Eastern Side Of The Blumeneck Family Chapel.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/The Stained Glass Windows In The Home Hofer Family Chapel.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/Lamentation 1517.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/Lamentation 1515.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/The Trinity And Mystic Pieta.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/Man Of Sorrows 1511.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/Crucifixion 1511.jpg,Jesus-Christ,1
painting::Artists2/Mabuse/Christ On The Mount Of Olives.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Crucifixion Scene Christ On The Cross With Mary And John 1516.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Altdorfer/Passion Of Christ 1.jpg,Jesus-Christ,1
painting::Artists2/Joachim Patinir/The Penitence Of Saint Jerome.jpg,Jesus-Christ,1
painting::Artists2/Joachim Patinir/The Baptism Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/The Erection Of The Cross 1507.jpg,Jesus-Christ,1
painting::Artists2/Hans Baldung/The Dead Christ 1507.jpg,Jesus-Christ,1
painting::Artists2/Matthias Grunewald/The Resurrection Of Christ Detail From The Right Wing Of The Isenheim Altarpiece 1516.jpg,Jesus-Christ,1
painting::Artists2/Gerard David/The Lamentation.jpg,Jesus-Christ,1
painting::Artists2/Matthias Grunewald/Lamentation Of Christ Detail 1525.jpg,Jesus-Christ,1
painting::Artists2/Matthias Grunewald/Lamentation Of Christ 1525.jpg,Jesus-Christ,1
painting::Artists2/Matthias Grunewald/The Crucifixion 1524.jpg,Jesus-Christ,1
painting::Artists2/Matthias Grunewald/Christ Carrying The Cross 1524.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Cross Of Christ 2.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Arrest Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Flagellation.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ Crowned With Thorns.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Lamentation Over Christ 1507.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Title Page 1510.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Lamentation For Christ 1510.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Harrowing Of Hell Or Christ In Limbo From The Large Passion 1510.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Resurrection 1510.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Last Supper 1510.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Jesus Christ On The Mount Of Olives.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Ecce Homo 1510.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ Crowned With Thorns 1512.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ Before Pilate 1512.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ Before Caiaphas 1512.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Bearing Of The Cross 1512.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Small Passion Title Page.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Resurrection 1511.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Nativity 1511.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Mocking Of Christ 1511.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Agony In The Garden 1515.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Crucifixion 1519.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Study Of A Christ On The Mount Of Olives.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ On The Mount Of Olives.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ 1.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ On The Cross With Three Angels 1525.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ On The Mount Of Olives 4.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ On The Cross 2.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ On The Cross.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ Before Pilate 1.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ Before Pilate.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ Before Caiaphas.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ And Mary Magdalene.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Child S Head 1.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Calvary.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Blessing Savior.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Cross Of Christ 4.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Cross Of Christ 3.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Cross Of Christ 1.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Cross Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Study Of A Body Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Studies Of A Calvary.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/St Christopher Carrying The Christ Child.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Lamentation.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Ecce Homo 1.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ 2.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Arrest Of Christ 1.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Arrest Of Christ.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Way To Calvary 1527.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ On The Mount Of Olives 1524.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/The Last Supper.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Ecce Homo.jpg,Jesus-Christ,1
painting::Artists2/Albrecht Durer/Christ On The Cross 1.jpg,Jesus-Christ,1
