node_id,node_type,label,degree
painting::Artists2/Maarten De Vos/The Last Supper.jpg,painting,The Last Supper,1
motif::Jesus-Christ,motif,Jesus-Christ,380
painting::Artists2/Maarten De Vos/Venus And Adonis.jpg,painting,Venus And Adonis,1
motif::Aphrodite/Venus,motif,Aphrodite/Venus,24
painting::Artists2/Maarten De Vos/Descent From The Cross.jpg,painting,Descent From The Cross,1
painting::Artists2/Jan Van Hemessen/Tobias Restores His Father S Sight.jpg,painting,Tobias Restores His Father S Sight,1
motif::Christianity,motif,Christianity,1205
painting::Artists2/Jan Van Hemessen/Christ Carrying The Cross.jpg,painting,Christ Carrying The Cross,2
painting::Artists2/Jan Van Hemessen/Woman Weighing Gold.jpg,painting,Woman Weighing Gold,1
motif::female-portraits,motif,female-portraits,175
painting::Artists2/Jan Van Hemessen/Virgin And Child.jpg,painting,Virgin And Child,3
motif::Virgin-Mary,motif,Virgin-Mary,246
painting::Artists2/Pieter Bruegel The Elder/The Same God So That He Obtained Of The Magus Was By Demons Be Pulled In Pieces.jpg,painting,The Same God So That He Obtained Of The Magus Was By Demons Be Pulled In Pieces,3
motif::allegories-and-symbols,motif,allegories-and-symbols,187
motif::God-the-Father,motif,God-the-Father,20
painting::Artists2/Pieter Bruegel The Elder/The Cart The Belgic.jpg,painting,The Cart The Belgic,2
motif::forests-and-trees,motif,forests-and-trees,23
motif::mountains,motif,mountains,25
painting::Artists2/Pieter Bruegel The Elder/The Penitent Magdalene.jpg,painting,The Penitent Magdalene,2
painting::Artists2/Pieter Bruegel The Elder/The Alchemist.jpg,painting,The Alchemist,1
painting::Artists2/Pieter Bruegel The Elder/Running Away The Mother Of God Into Egypt.jpg,painting,Running Away The Mother Of God Into Egypt,2
painting::Artists2/Pieter Bruegel The Elder/Pray Were Swelling With Anger Veins Grow Black With Blood.jpg,painting,Pray Were Swelling With Anger Veins Grow Black With Blood,2
motif::sins-and-sinners,motif,sins-and-sinners,37
motif::punishments-and-tortures,motif,punishments-and-tortures,43
painting::Artists2/Pieter Bruegel The Elder/Pieter Bruegel The Elder.jpg,painting,Pieter Bruegel The Elder,2
motif::male-portraits,motif,male-portraits,363
motif::famous-people,motif,famous-people,161
painting::Artists2/Pieter Bruegel The Elder/Market For The Country.jpg,painting,Market For The Country,2
painting::Artists2/Pieter Bruegel The Elder/The Magpie On The Gallows 1568.jpg,painting,The Magpie On The Gallows 1568,2
motif::executions,motif,executions,15
painting::Artists2/Pieter Bruegel The Elder/The Beggars 1568.jpg,painting,The Beggars 1568,1
motif::arts-and-crafts,motif,arts-and-crafts,14
painting::Artists2/Jan Van Hemessen/The Lamentation Of Christ.jpg,painting,The Lamentation Of Christ,2
painting::Artists2/Jan Van Hemessen/The Descent From The Cross.jpg,painting,The Descent From The Cross,2
painting::Artists2/Jan Van Hemessen/Tarquin And Lucretia.jpg,painting,Tarquin And Lucretia,2
motif::group-portraits,motif,group-portraits,13
painting::Artists2/Jan Van Hemessen/St Jerome.jpg,painting,St Jerome,1
painting::Artists2/Jan Van Hemessen/San Girolamo In Preghiera.jpg,painting,San Girolamo In Preghiera,1
painting::Artists2/Jan Van Hemessen/Isaac Blessing Jacob.jpg,painting,Isaac Blessing Jacob,1
painting::Artists2/Jan Van Hemessen/The Mocking Of Christ.jpg,painting,The Mocking Of Christ,2
painting::Artists2/Jan Van Hemessen/Christ Driving Merchants From The Temple.jpg,painting,Christ Driving Merchants From The Temple,2
painting::Artists2/Pieter Bruegel The Elder/Peasant And Birdnester 1568.jpg,painting,Peasant And Birdnester 1568,1
painting::Artists2/Pieter Bruegel The Elder/Parable Of The Blind 1568.jpg,painting,Parable Of The Blind 1568,1
painting::Artists2/Pieter Bruegel The Elder/Three Soldiers 1558.jpg,painting,Three Soldiers 1558,1
motif::military-and-soldiers,motif,military-and-soldiers,53
painting::Artists2/Pieter Bruegel The Elder/Conversion Of St Paul 1567.jpg,painting,Conversion Of St Paul 1567,2
motif::St.-Paul,motif,St.-Paul,15
painting::Artists2/Pieter Bruegel The Elder/The Adoration Of The Kings In The Snow 1557.jpg,painting,The Adoration Of The Kings In The Snow 1557,2
motif::Christmas,motif,Christmas,13
painting::Artists2/Pieter Bruegel The Elder/Wooded Region 1566.jpg,painting,Wooded Region 1566,1
painting::Artists2/Pieter Bruegel The Elder/The Sermon Of St John The Baptist 1566.jpg,painting,The Sermon Of St John The Baptist 1566,2
motif::St. John the Baptist,motif,St. John the Baptist,36
