id,label
leisure-and-sleep,leisure-and-sleep
Christianity,Christianity
birds,birds
saints-and-apostles,saints-and-apostles
female-portraits,female-portraits
Greek-and-Roman-Mythology,Greek-and-Roman-Mythology
famous-people,famous-people
fictional-characters,fictional-characters
flowers-and-plants,flowers-and-plants
children portraits,children portraits
animals,animals
forests-and-trees,forests-and-trees
gardens-and-parks,gardens-and-parks
angels-and-archangels,angels-and-archangels
female-nude,female-nude
Dante,Dante
"Dante-Alighieri-""The-Divine-Comedy""","Dante-Alighieri-""The-Divine-Comedy"""
allegories-and-symbols,allegories-and-symbols
birth-and-death,birth-and-death
battles-and-wars,battles-and-wars
historical-events,historical-events
knights-and-warriors,knights-and-warriors
rivers-and-waterfalls,rivers-and-waterfalls
boats-and-ships,boats-and-ships
streets-and-squares,streets-and-squares
markets-and-shops,markets-and-shops
seas-and-oceans,seas-and-oceans
twilight-and-night,twilight-and-night
group-portraits,group-portraits
male-portraits,male-portraits
horses,horses
lakes-and-ponds,lakes-and-ponds
palaces-and-mausoleums,palaces-and-mausoleums
mountains,mountains
castles-and-fortresses,castles-and-fortresses
celebrations-and-festivals,celebrations-and-festivals
houses-and-buildings,houses-and-buildings
gates-and-towers,gates-and-towers
roads-and-vehicles,roads-and-vehicles
moles-and-embankments,moles-and-embankments
furniture-and-decoration,furniture-and-decoration
couples,couples
Jesus-Christ,Jesus-Christ
Venice,Venice
islands-and-bays,islands-and-bays
fields-and-plains,fields-and-plains
storm-and-tempest,storm-and-tempest
Don-Quixote,Don-Quixote
Rocinante,Rocinante
Sancho-Panza,Sancho-Panza
lions,lions
J-F.-Michaud-'Bibliotheque-des-Croisades',J-F.-Michaud-'Bibliotheque-des-Croisades'
sins-and-sinners,sins-and-sinners
Virgil,Virgil
military-and-soldiers,military-and-soldiers
"John-Milton-""Paradise-Lost""","John-Milton-""Paradise-Lost"""
ruins-and-columns,ruins-and-columns
mills-and-windmills,mills-and-windmills
cliffs-and-rocks,cliffs-and-rocks
sunrise-and-sunset,sunrise-and-sunset
deer,deer
valleys-and-hollows,valleys-and-hollows
hunting-and-racing,hunting-and-racing
dogs,dogs
arts-and-crafts,arts-and-crafts
countryside,countryside
cottages-and-farmhouses,cottages-and-farmhouses
Crimea,Crimea
Crimean-Mountains,Crimean-Mountains
folk-architecture,folk-architecture
horsemen,horsemen
sun-and-moon,sun-and-moon
designs-and-sketches,designs-and-sketches
