painting_id,motif,weight
painting::Artists2/David Wilkie/Village Politicians.jpg,leisure-and-sleep,1
painting::Artists2/John William Waterhouse/Its Sweet Doing Nothing 1880.jpg,leisure-and-sleep,1
painting::Artists2/John William Waterhouse/Its Sweet Doing Nothing 1879.jpg,leisure-and-sleep,1
painting::Artists2/Gustave Dore/Fulk Nerra Assailed By The Phantoms Of His Victims.jpg,leisure-and-sleep,1
painting::Artists2/Gustave Dore/Amateur From Garden.jpg,leisure-and-sleep,1
painting::Artists2/Arthur Hughes/Asleep In The Woods.jpg,leisure-and-sleep,1
painting::Artists2/Arthur Hughes/The Young Poet.jpg,leisure-and-sleep,1
painting::Artists2/Albert Bierstadt/Campfire Site Yosemite.jpg,leisure-and-sleep,1
painting::Artists2/Albert Bierstadt/Fishing Boats At Capri 1857.jpg,leisure-and-sleep,1
painting::Artists2/John Roddam Spencer Stanhope/Robin Of Modern Times 1860.jpg,leisure-and-sleep,1
painting::Artists2/Adolphe Joseph Thomas Monticelli/Elegant Gathering.jpg,leisure-and-sleep,1
painting::Artists2/Adolphe Joseph Thomas Monticelli/Rural Scene.jpg,leisure-and-sleep,1
painting::Artists2/Adolphe Joseph Thomas Monticelli/Gathering Of Elegant Women.jpg,leisure-and-sleep,1
painting::Artists2/Adolphe Joseph Thomas Monticelli/Elegant Women And Cupids.jpg,leisure-and-sleep,1
painting::Artists2/Adolphe Joseph Thomas Monticelli/The Terrace Of The Chateau De St Germain.jpg,leisure-and-sleep,1
painting::Artists2/David Wilkie/The Cotter S Saturday Night.jpg,leisure-and-sleep,1
painting::Artists2/Ivan Aivazovsky/In Cairo 1881.jpg,leisure-and-sleep,1
painting::Artists2/Ivan Aivazovsky/Chumaks Leisure 1885.jpg,leisure-and-sleep,1
painting::Artists2/Ivan Aivazovsky/View Of Tiflis 1869.jpg,leisure-and-sleep,1
painting::Artists2/Ivan Aivazovsky/View Of Constantinople By Evening Light 1846.jpg,leisure-and-sleep,1
painting::Artists2/Ivan Aivazovsky/Coffee House By The Ortaköy Mosque In Constantinople 1846.jpg,leisure-and-sleep,1
painting::Artists2/Ivan Aivazovsky/Mhitarists On Island Of St Lazarus 1843.jpg,leisure-and-sleep,1
painting::Artists2/Taras Shevchenko/Solitude In Her Own House 1859.jpg,leisure-and-sleep,1
painting::Artists2/Taras Shevchenko/In Kyiv 1844.jpg,leisure-and-sleep,1
painting::Artists2/Carl Spitzweg/The Picnic 1864.jpg,leisure-and-sleep,1
painting::Artists2/Carl Spitzweg/Resting On The Vine.jpg,leisure-and-sleep,1
painting::Artists2/Eugene Delacroix/Two_Moroccans Seated In The Countryside.jpg,leisure-and-sleep,1
painting::Artists2/Eugene Delacroix/Arabs Of Oran 1847.jpg,leisure-and-sleep,1
painting::Artists2/Eugene Delacroix/Yound Woman Leaning Over A Woman Stretched Out On The Ground 1840.jpg,leisure-and-sleep,1
painting::Artists2/Eugene Delacroix/Fan With Caricatures 1838.jpg,leisure-and-sleep,1
painting::Artists2/Eugene Delacroix/Turk Sitting Smoking On A Couch 1825.jpg,leisure-and-sleep,1
painting::Artists2/Francesco Hayez/Portrait Of Familie Stampa Di Soncino.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/Old Eating Soup 1823.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/Men Reading 1823.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/Majas On A Balcony.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/Vagabonds Resting In A Cave 1800.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/Sleep Overcomes Them 1799.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/The Swing.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/Couple With Parasol On The Paseo 1797.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/The Straw Manikin 1792.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/The Picnic 1788.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/The Fall Or The Accident 1787.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/The Military And Senora.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/The Swing 1779.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/The Kite 1778.jpg,leisure-and-sleep,1
painting::Artists2/Francisco Goya/Picnic On The Banks Of The Manzanares 1776.jpg,leisure-and-sleep,1
painting::Artists2/John William Waterhouse/Saint Eulalia 1885.jpg,Christianity,1
painting::Artists2/John William Waterhouse/Saint Eulalia 1885.jpg,birds,1
painting::Artists2/John William Waterhouse/Saint Eulalia 1885.jpg,saints-and-apostles,1
painting::Artists2/John William Waterhouse/St Joan.jpg,Christianity,1
painting::Artists2/John William Waterhouse/The Missal 1902.jpg,Christianity,1
painting::Artists2/John William Waterhouse/Saint Cecilia 1895.jpg,Christianity,1
painting::Artists2/John William Waterhouse/The Annunciation Ecce Ancilla Domini 1850.jpg,Christianity,1
painting::Artists2/Jan Matejko/St Stanislaus Killing.jpg,Christianity,1
painting::Artists2/Jan Matejko/Song.jpg,Christianity,1
painting::Artists2/Jan Matejko/Saint Casimir.jpg,Christianity,1
painting::Artists2/Jan Matejko/Our Lady.jpg,Christianity,1
painting::Artists2/Jan Matejko/Devil 1.jpg,Christianity,1
painting::Artists2/Jan Matejko/Devil 2.jpg,Christianity,1
painting::Artists2/Jan Matejko/Devil.jpg,Christianity,1
painting::Artists2/Jan Matejko/Cyril And Methodius.jpg,Christianity,1
painting::Artists2/Jan Matejko/Christ.jpg,Christianity,1
painting::Artists2/Jan Matejko/Angel With Flutes.jpg,Christianity,1
painting::Artists2/Jan Matejko/Angel Ii.jpg,Christianity,1
painting::Artists2/Jan Matejko/Angel With Harp.jpg,Christianity,1
painting::Artists2/Jan Matejko/Angel.jpg,Christianity,1
painting::Artists2/Jan Matejko/Angel Iii.jpg,Christianity,1
painting::Artists2/Arthur Hughes/The Nativity.jpg,Christianity,1
painting::Artists2/Gustave Dore/St Paulpreachingtothethessalonians.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Death Of Gideon S Sons.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Death Of Athaliah.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Death Of Ahab.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Death Of Eleazar.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Death Of Agag.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Death Of Absalom.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Daughter Of Herod Head Of John The Baptist.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Death Of Abimelech.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Darkness At The Crucifixion.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Crucifixion.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Crowned Virgin Vision Of John.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Crown Of Thorns.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Prophet Jeremiah.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Prophet Isaiah.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Prophet Ezekiel.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Prodigal Son In The Arms Of His Father.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Plague Of Jerusalem.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Prophet Amos.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Ninth Plague Darkness.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Nativity.jpg,Christianity,1
painting::Artists2/Gustave Dore/The New Jerusalem.jpg,Christianity,1
painting::Artists2/Gustave Dore/Tobias And The Angel.jpg,Christianity,1
painting::Artists2/Gustave Dore/Zechariah.jpg,Christianity,1
painting::Artists2/Gustave Dore/World Destroyed By Water.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Widow.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Wise Men Guided By The Star.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Walls Of Jericho Fall Down.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Wandering Jew.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Triumph Of Mordecai.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Transfiguration.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Temptation Of Jesus.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Tower Of Babel.jpg,Christianity,1
painting::Artists2/Gustave Dore/The Testing Of Abraham S Faith.jpg,Christianity,1
