motif_a,motif_b,shared_paintings
leisure-and-sleep,animals,3
leisure-and-sleep,couples,1
leisure-and-sleep,gates-and-towers,1
leisure-and-sleep,arts-and-crafts,1
leisure-and-sleep,seas-and-oceans,1
leisure-and-sleep,birds,2
leisure-and-sleep,fictional-characters,1
leisure-and-sleep,mountains,1
leisure-and-sleep,houses-and-buildings,2
leisure-and-sleep,J-F.-Michaud-'Bibliotheque-des-Croisades',1
leisure-and-sleep,knights-and-warriors,1
leisure-and-sleep,boats-and-ships,1
leisure-and-sleep,male-portraits,1
leisure-and-sleep,allegories-and-symbols,1
leisure-and-sleep,countryside,2
leisure-and-sleep,cliffs-and-rocks,1
leisure-and-sleep,celebrations-and-festivals,1
leisure-and-sleep,rivers-and-waterfalls,2
leisure-and-sleep,female-portraits,1
leisure-and-sleep,forests-and-trees,2
Christianity,battles-and-wars,8
Christianity,animals,7
Christianity,sins-and-sinners,1
Christianity,birth-and-death,12
Christianity,gates-and-towers,4
Christianity,seas-and-oceans,2
Christianity,female-nude,4
Christianity,birds,1
Christianity,mountains,1
Christianity,lions,5
Christianity,knights-and-warriors,13
Christianity,moles-and-embankments,1
Christianity,boats-and-ships,1
Christianity,saints-and-apostles,54
Christianity,angels-and-archangels,40
Christianity,famous-people,3
Christianity,Jesus-Christ,60
Christianity,allegories-and-symbols,1
Christianity,male-portraits,4
Christianity,rivers-and-waterfalls,1
Christianity,ruins-and-columns,4
Christianity,female-portraits,2
Christianity,military-and-soldiers,9
birds,animals,4
birds,seas-and-oceans,2
birds,fictional-characters,2
birds,mountains,1
birds,forests-and-trees,1
birds,houses-and-buildings,1
birds,lakes-and-ponds,1
birds,boats-and-ships,1
birds,saints-and-apostles,1
birds,dogs,1
birds,group-portraits,2
birds,"John-Milton-""Paradise-Lost""",1
birds,cliffs-and-rocks,1
birds,gardens-and-parks,1
birds,furniture-and-decoration,1
birds,female-portraits,4
birds,children portraits,1
birds,"Dante-Alighieri-""The-Divine-Comedy""",1
saints-and-apostles,seas-and-oceans,1
saints-and-apostles,fictional-characters,4
saints-and-apostles,Dante,1
saints-and-apostles,female-nude,1
saints-and-apostles,mountains,1
saints-and-apostles,J-F.-Michaud-'Bibliotheque-des-Croisades',3
saints-and-apostles,knights-and-warriors,2
saints-and-apostles,boats-and-ships,1
saints-and-apostles,angels-and-archangels,4
saints-and-apostles,famous-people,1
saints-and-apostles,Jesus-Christ,21
saints-and-apostles,male-portraits,4
saints-and-apostles,designs-and-sketches,1
saints-and-apostles,military-and-soldiers,1
saints-and-apostles,"Dante-Alighieri-""The-Divine-Comedy""",1
female-portraits,storm-and-tempest,3
female-portraits,birth-and-death,1
female-portraits,arts-and-crafts,8
female-portraits,seas-and-oceans,7
female-portraits,female-nude,1
female-portraits,streets-and-squares,1
female-portraits,palaces-and-mausoleums,1
female-portraits,lakes-and-ponds,1
female-portraits,knights-and-warriors,1
female-portraits,moles-and-embankments,1
female-portraits,boats-and-ships,5
female-portraits,twilight-and-night,2
female-portraits,group-portraits,12
female-portraits,designs-and-sketches,17
female-portraits,mills-and-windmills,2
female-portraits,fields-and-plains,2
female-portraits,forests-and-trees,3
female-portraits,animals,5
female-portraits,fictional-characters,1
female-portraits,houses-and-buildings,1
female-portraits,dogs,4
female-portraits,famous-people,40
female-portraits,male-portraits,16
female-portraits,Jesus-Christ,1
female-portraits,gardens-and-parks,7
female-portraits,celebrations-and-festivals,1
female-portraits,furniture-and-decoration,20
female-portraits,children portraits,10
female-portraits,flowers-and-plants,9
Greek-and-Roman-Mythology,animals,2
Greek-and-Roman-Mythology,angels-and-archangels,2
Greek-and-Roman-Mythology,birth-and-death,1
Greek-and-Roman-Mythology,seas-and-oceans,1
Greek-and-Roman-Mythology,Virgil,3
Greek-and-Roman-Mythology,female-nude,3
Greek-and-Roman-Mythology,fictional-characters,5
Greek-and-Roman-Mythology,mountains,1
Greek-and-Roman-Mythology,Dante,3
Greek-and-Roman-Mythology,"Dante-Alighieri-""The-Divine-Comedy""",4
Greek-and-Roman-Mythology,forests-and-trees,1
Greek-and-Roman-Mythology,flowers-and-plants,1
famous-people,storm-and-tempest,1
famous-people,birth-and-death,5
famous-people,seas-and-oceans,12
famous-people,Virgil,2
famous-people,female-nude,1
famous-people,streets-and-squares,1
famous-people,palaces-and-mausoleums,4
famous-people,knights-and-warriors,35
famous-people,markets-and-shops,1
famous-people,Crimea,4
famous-people,boats-and-ships,6
famous-people,twilight-and-night,2
famous-people,group-portraits,10
famous-people,Venice,1
famous-people,forests-and-trees,2
famous-people,"Dante-Alighieri-""The-Divine-Comedy""",3
famous-people,sunrise-and-sunset,1
famous-people,battles-and-wars,22
famous-people,animals,3
famous-people,couples,1
famous-people,Crimean-Mountains,4
famous-people,historical-events,5
famous-people,fictional-characters,16
famous-people,Dante,2
famous-people,mountains,5
famous-people,J-F.-Michaud-'Bibliotheque-des-Croisades',15
famous-people,dogs,1
famous-people,male-portraits,218
famous-people,gardens-and-parks,1
famous-people,rivers-and-waterfalls,2
famous-people,furniture-and-decoration,1
famous-people,horses,4
famous-people,military-and-soldiers,2
famous-people,children portraits,4
fictional-characters,sins-and-sinners,43
fictional-characters,Sancho-Panza,73
fictional-characters,birth-and-death,5
fictional-characters,seas-and-oceans,1
fictional-characters,Virgil,110
fictional-characters,knights-and-warriors,96
fictional-characters,boats-and-ships,11
fictional-characters,Rocinante,65
fictional-characters,mills-and-windmills,2
fictional-characters,"Dante-Alighieri-""The-Divine-Comedy""",168
fictional-characters,forests-and-trees,6
fictional-characters,battles-and-wars,42
fictional-characters,animals,85
fictional-characters,couples,7
fictional-characters,castles-and-fortresses,1
fictional-characters,gates-and-towers,1
fictional-characters,Dante,118
fictional-characters,mountains,4
fictional-characters,lions,2
fictional-characters,J-F.-Michaud-'Bibliotheque-des-Croisades',93
fictional-characters,Don-Quixote,158
fictional-characters,angels-and-archangels,42
fictional-characters,"John-Milton-""Paradise-Lost""",39
fictional-characters,male-portraits,1
fictional-characters,gardens-and-parks,1
fictional-characters,rivers-and-waterfalls,5
fictional-characters,horses,73
fictional-characters,flowers-and-plants,4
flowers-and-plants,animals,1
flowers-and-plants,angels-and-archangels,1
flowers-and-plants,group-portraits,1
flowers-and-plants,gardens-and-parks,6
flowers-and-plants,female-nude,1
flowers-and-plants,streets-and-squares,1
flowers-and-plants,forests-and-trees,3
flowers-and-plants,markets-and-shops,2
children portraits,storm-and-tempest,1
children portraits,animals,3
children portraits,seas-and-oceans,2
children portraits,moles-and-embankments,1
children portraits,dogs,2
children portraits,twilight-and-night,1
children portraits,group-portraits,1
children portraits,male-portraits,2
children portraits,gardens-and-parks,1
children portraits,celebrations-and-festivals,1
children portraits,rivers-and-waterfalls,1
children portraits,furniture-and-decoration,3
children portraits,horses,1
children portraits,military-and-soldiers,2
children portraits,fields-and-plains,1
children portraits,forests-and-trees,2
animals,storm-and-tempest,4
animals,sins-and-sinners,1
animals,Sancho-Panza,50
animals,birth-and-death,1
animals,arts-and-crafts,2
animals,seas-and-oceans,19
animals,deer,24
animals,streets-and-squares,7
animals,hunting-and-racing,15
animals,palaces-and-mausoleums,14
animals,roads-and-vehicles,26
animals,knights-and-warriors,9
animals,markets-and-shops,7
animals,boats-and-ships,13
animals,lakes-and-ponds,3
animals,Rocinante,65
animals,twilight-and-night,2
animals,group-portraits,68
animals,countryside,10
